pdbid,logka,cluster,pll,head
1a30,4.3,9,-3.064164,5.733731
1bcu,3.28,34,-2.024215,4.383120
1bzc,4.92,25,-4.090694,6.476852
1c5z,4.01,37,-1.160120,4.581573
1e66,9.89,16,-4.650807,8.310654
1eby,9.7,9,-3.454241,8.195428
1g2k,7.96,9,-3.349074,8.734120
1gpk,5.37,16,-5.022449,6.834948
1gpn,6.48,16,-4.643988,6.968969
1h22,9.1,16,-3.741485,7.486326
1h23,8.35,16,-5.812041,7.759617
1k1i,6.58,47,-2.960512,6.958908
1lpg,7.09,45,-3.802345,9.127600
1mq6,11.15,45,-2.402885,9.171622
1nc1,6.12,46,-2.200692,6.696961
1nc3,5.0,46,-1.315596,6.033527
1nvq,8.25,32,-3.072927,9.193850
1o0h,5.92,57,-3.051275,6.034572
1o3f,7.96,47,-1.468219,7.314113
1o5b,5.77,37,-4.297462,6.181819
1owh,7.4,37,-1.215712,6.858403
1oyt,7.24,34,-2.090344,7.942183
1p1n,6.8,41,-5.431645,5.318960
1p1q,4.89,41,-4.589632,6.710345
1ps3,2.28,11,-3.176208,4.650608
1pxn,7.15,29,-2.304375,7.864432
1q8t,4.76,26,-2.053831,5.813262
1q8u,5.96,26,-1.664954,7.553664
1qf1,7.32,27,-2.794006,6.549143
1qkt,9.04,44,-0.786711,8.431737
1r5y,6.46,21,-0.981625,5.517983
1s38,5.15,21,-1.060789,5.656625
1sqa,9.21,37,-1.328502,8.197941
1syi,5.44,41,-5.978015,6.537576
1u1b,7.8,57,-3.663369,6.700865
1uto,2.27,47,-2.079753,3.177557
1vso,4.72,43,-8.024408,5.358449
1w4o,5.22,57,-4.024184,4.788877
1y6r,10.11,46,-1.481586,9.704556
1yc1,6.17,39,-2.674276,8.051987
1ydr,5.52,26,-1.066694,6.846581
1ydt,7.32,26,-1.974809,7.508467
1z6e,9.72,45,-4.477789,9.000197
1z95,7.12,40,-1.460837,8.155578
1z9g,5.64,27,-3.157372,4.013135
2al5,8.4,41,-3.092561,7.624348
2br1,5.14,32,-1.381744,7.070865
2brb,4.86,32,-4.385916,6.259019
2c3i,7.6,6,-2.085729,7.116007
2cbv,5.48,18,-3.093540,5.195447
2cet,8.02,18,-1.579372,8.264878
2fvd,8.52,29,-1.486680,7.736064
2fxs,6.06,48,-2.550553,6.771386
2hb1,3.8,25,-7.594691,4.561708
2iwx,6.68,48,-2.303907,7.099749
2j78,6.42,18,-4.564757,5.628901
2j7h,7.19,18,-4.566128,6.895384
2p15,10.3,44,-1.651605,9.305436
2p4y,9.0,35,-2.761555,8.596745
2pog,9.54,44,-1.753100,7.747932
2qbp,8.4,25,-3.014911,7.400537
2qbq,7.44,25,-4.008009,7.046186
2qbr,6.33,25,-3.928049,7.103456
2qe4,7.96,44,-1.557475,8.293629
2qnq,6.11,9,-3.045489,9.164308
2r9w,5.1,24,-2.117854,6.225756
2v00,3.66,2,-4.663646,3.736492
2v7a,8.3,7,-5.139126,7.977942
2vkm,8.74,19,-1.269532,8.705490
2vvn,7.3,13,-3.622665,7.144958
2vw5,8.52,48,-2.088990,7.213520
2w4x,4.85,13,-2.357922,4.921242
2w66,4.05,13,-2.378788,5.990999
2wbg,4.45,18,-2.059235,6.466046
2wca,5.6,13,-1.696610,7.838485
2weg,6.5,38,-2.309166,6.906805
2wer,7.05,48,-2.273111,8.249708
2wn9,8.52,50,-1.967331,6.973332
2wnc,6.32,50,-6.616575,6.762739
2wtv,8.74,36,-3.785450,8.285415
2wvt,6.12,20,-2.050495,5.057438
2x00,11.33,50,-4.349456,8.320753
2xb8,7.59,53,-2.760467,6.975401
2xbv,8.43,45,-4.176909,9.573081
2xdl,3.1,39,-4.515340,5.910143
2xii,7.2,20,-1.567783,6.749111
2xj7,6.66,13,-3.265885,6.419785
2xnb,6.83,29,-1.602366,6.739574
2xys,7.42,50,-1.902649,8.571337
2y5h,5.79,45,-3.925493,8.040277
2yfe,6.63,35,-2.652377,7.400470
2yge,5.06,48,-3.632367,7.615957
2yki,9.46,39,-6.236409,7.875632
2ymd,3.16,50,-1.305574,5.657778
2zb1,6.32,22,-1.692300,8.073013
2zcq,8.82,33,-3.090714,5.926197
2zcr,6.87,33,-2.816514,7.242809
2zda,8.4,34,-3.537186,7.412071
2zy1,7.4,33,-2.430278,7.557793
3acw,4.76,33,-4.388300,6.728980
3ag9,8.05,26,-3.768943,6.602794
3ao4,2.07,52,-1.807621,5.159592
3arp,7.15,14,-4.071358,8.133608
3arq,6.4,14,-2.810410,7.464306
3aru,3.22,14,-1.590438,4.778326
3arv,5.64,14,-5.556257,6.770483
3ary,6.0,14,-3.156641,5.935020
3b1m,8.48,35,-3.462616,7.865269
3b27,5.16,39,-1.537760,6.603708
3b5r,8.77,40,-1.355640,7.321992
3b65,9.27,40,-1.847018,6.637979
3b68,8.4,40,-1.714021,7.084485
3bgz,6.26,6,-3.427596,7.049665
3bv9,5.36,34,-3.671499,6.863232
3cj4,6.51,15,-2.603386,6.289582
3coy,6.02,28,-5.340023,7.300172
3coz,5.57,28,-2.725665,6.712972
3d4z,4.89,11,-5.585110,5.999486
3d6q,3.76,57,-4.126076,4.734407
3dd0,9.0,38,-3.958705,8.975478
3dx1,3.58,11,-3.622493,5.979192
3dx2,6.82,11,-3.334292,7.039329
3dxg,2.4,57,-2.794743,4.303460
3e5a,8.23,36,-1.693904,8.198482
3e92,8.0,22,-2.061293,8.274799
3e93,8.85,22,-2.315494,8.273879
3ebp,5.91,12,-1.699214,5.879623
3ehy,5.85,56,-1.855377,6.819032
3ejr,8.57,11,-2.751088,5.829117
3f3a,4.19,17,-3.168816,4.416282
3f3c,6.02,17,-2.958075,4.274983
3f3d,7.16,17,-3.727170,4.002500
3f3e,7.7,17,-3.974216,4.817091
3fcq,2.77,27,-3.386760,5.210863
3fur,8.0,35,-1.705079,7.866936
3fv1,9.3,43,-4.486098,8.592444
3fv2,8.11,43,-3.799939,6.663344
3g0w,9.52,40,-3.555568,8.412107
3g2n,4.09,12,-0.972361,3.871542
3g2z,2.36,42,-2.796779,3.985852
3g31,2.89,42,-5.303399,5.286249
3gbb,6.9,43,-5.187659,6.573420
3gc5,7.26,21,-3.268624,6.629231
3ge7,8.7,21,-3.369896,7.545466
3gnw,9.1,15,-1.746427,8.377224
3gr2,2.52,24,-3.207236,4.148900
3gv9,2.12,24,-3.549585,4.823378
3gy4,5.1,47,-2.443470,3.914494
3ivg,4.3,28,-7.450369,6.532889
3jvr,5.72,32,-4.857114,5.557582
3jvs,6.54,32,-5.468484,5.986662
3jya,6.89,6,-3.482067,6.860115
3k5v,6.3,7,-1.042557,7.978628
3kgp,2.57,37,-5.115887,4.033888
3kr8,8.1,49,-3.404256,7.981663
3kwa,4.08,38,-4.217130,6.948073
3l7b,2.4,12,-4.502583,4.028216
3lka,2.82,56,-6.485655,4.509907
3mss,4.66,7,-1.789417,4.805562
3myg,10.7,36,-8.156132,8.008149
3n76,6.85,53,-3.635079,6.038420
3n7a,3.7,53,-6.273830,5.729655
3n86,5.64,53,-6.305190,5.827997
3nq9,4.03,55,-4.045794,4.571563
3nw9,9.0,51,-4.481995,7.790534
3nx7,8.1,56,-1.259087,8.576656
3o9i,11.82,9,-2.384386,9.123894
3oe4,7.47,51,-4.590539,6.429064
3oe5,6.88,51,-4.237862,5.830503
3ozs,5.33,51,-5.625400,6.917762
3ozt,4.13,51,-4.631262,5.793682
3p5o,7.3,10,-2.366182,7.301141
3prs,7.82,2,-3.683341,7.721039
3pww,7.32,2,-3.476827,8.109129
3pxf,4.43,29,-2.090596,5.208200
3pyy,6.86,7,-4.482595,7.987161
3qgy,7.8,3,-2.842345,7.583922
3qqs,5.82,23,-4.854659,5.531985
3r88,4.82,23,-6.261862,4.670113
3rlr,7.52,39,-6.653643,8.087717
