pdbid,logka,cluster,pll,head
1a30,4.3,9,-3.064164,6.167501
1bcu,3.28,34,-2.024215,4.754645
1bzc,4.92,25,-4.090694,6.414697
1c5z,4.01,37,-1.160120,3.960767
1e66,9.89,16,-4.650807,7.745697
1eby,9.7,9,-3.454241,8.386983
1g2k,7.96,9,-3.349074,8.416088
1gpk,5.37,16,-5.022449,6.947575
1gpn,6.48,16,-4.643988,7.337924
1h22,9.1,16,-3.741485,7.388189
1h23,8.35,16,-5.812041,8.457860
1k1i,6.58,47,-2.960512,7.095643
1lpg,7.09,45,-3.802345,9.286203
1mq6,11.15,45,-2.402885,8.940713
1nc1,6.12,46,-2.200692,6.290326
1nc3,5.0,46,-1.353046,4.787204
1nvq,8.25,32,-3.072887,8.404635
1o0h,5.92,57,-3.051275,5.503341
1o3f,7.96,47,-1.468219,7.983337
1o5b,5.77,37,-4.297462,5.984585
1owh,7.4,37,-1.215712,7.210350
1oyt,7.24,34,-2.121755,8.099051
1p1n,6.8,41,-5.431614,4.870572
1p1q,4.89,41,-4.589632,6.568612
1ps3,2.28,11,-3.176208,5.241463
1pxn,7.15,29,-2.305476,7.508084
1q8t,4.76,26,-2.053831,5.590136
1q8u,5.96,26,-1.664954,7.765707
1qf1,7.32,27,-2.794006,6.505255
1qkt,9.04,44,-0.786711,9.039832
1r5y,6.46,21,-0.981625,6.319511
1s38,5.15,21,-1.060789,5.302343
1sqa,9.21,37,-1.328502,7.585226
1syi,5.44,41,-5.978015,6.348238
1u1b,7.8,57,-3.663407,6.813351
1uto,2.27,47,-2.079753,3.667071
1vso,4.72,43,-8.024408,5.399103
1w4o,5.22,57,-4.024184,5.570793
1y6r,10.11,46,-1.481586,9.268767
1yc1,6.17,39,-2.674276,7.332583
1ydr,5.52,26,-1.066694,6.557681
1ydt,7.32,26,-1.974809,7.198128
1z6e,9.72,45,-4.477789,8.997626
1z95,7.12,40,-1.457570,6.883154
1z9g,5.64,27,-3.157372,5.256623
2al5,8.4,41,-3.092561,7.175986
2br1,5.14,32,-1.381744,6.723012
2brb,4.86,32,-4.385916,6.175224
2c3i,7.6,6,-2.080628,7.651682
2cbv,5.48,18,-3.093540,5.656976
2cet,8.02,18,-1.579372,8.343697
2fvd,8.52,29,-1.486680,7.148879
2fxs,6.06,48,-2.550553,6.592051
2hb1,3.8,25,-7.594691,5.728959
2iwx,6.68,48,-2.303907,5.779727
2j78,6.42,18,-4.564757,5.885861
2j7h,7.19,18,-4.566128,6.406554
2p15,10.3,44,-1.689359,9.140293
2p4y,9.0,35,-2.761476,7.877068
2pog,9.54,44,-1.753100,6.811940
2qbp,8.4,25,-3.014911,8.102687
2qbq,7.44,25,-4.008009,7.282178
2qbr,6.33,25,-3.892487,7.207275
2qe4,7.96,44,-1.581558,7.155069
2qnq,6.11,9,-3.045489,7.955074
2r9w,5.1,24,-2.117854,5.338882
2v00,3.66,2,-4.663646,4.224178
2v7a,8.3,7,-5.139126,7.788933
2vkm,8.74,19,-1.269530,8.004850
2vvn,7.3,13,-3.622665,7.499881
2vw5,8.52,48,-2.088990,6.286764
2w4x,4.85,13,-2.357922,5.211959
2w66,4.05,13,-2.378788,5.867836
2wbg,4.45,18,-2.059235,6.232010
2wca,5.6,13,-1.696610,7.870634
2weg,6.5,38,-2.314738,6.253456
2wer,7.05,48,-2.272874,7.100060
2wn9,8.52,50,-1.967331,6.412280
2wnc,6.32,50,-6.616575,6.645240
2wtv,8.74,36,-3.785450,8.179197
2wvt,6.12,20,-2.050495,4.780990
2x00,11.33,50,-4.349456,7.474146
2xb8,7.59,53,-2.962981,5.729968
2xbv,8.43,45,-4.176909,9.363924
2xdl,3.1,39,-4.515340,5.118984
2xii,7.2,20,-1.568084,6.393416
2xj7,6.66,13,-3.265885,5.616195
2xnb,6.83,29,-1.602366,6.029960
2xys,7.42,50,-1.902649,7.184894
2y5h,5.79,45,-3.998623,7.780758
2yfe,6.63,35,-2.652377,6.796327
2yge,5.06,48,-3.632367,6.754372
2yki,9.46,39,-6.236409,7.881438
2ymd,3.16,50,-1.305574,5.709954
2zb1,6.32,22,-1.692300,8.436182
2zcq,8.82,33,-3.090714,6.119511
2zcr,6.87,33,-2.816514,6.841744
2zda,8.4,34,-3.536958,7.461936
2zy1,7.4,33,-2.430278,6.354026
