pdbid,logka,cluster,pll,head
1a30,4.3,9,-3.064164,6.173869
1bcu,3.28,34,-2.024215,5.750496
1bzc,4.92,25,-4.090694,6.696089
1c5z,4.01,37,-1.160120,4.121591
1e66,9.89,16,-4.650807,7.641740
1eby,9.7,9,-3.454241,8.747128
1g2k,7.96,9,-3.349074,9.165813
1gpk,5.37,16,-5.022449,6.908507
1gpn,6.48,16,-4.643988,7.390044
1h22,9.1,16,-3.741485,7.771339
1h23,8.35,16,-5.812041,8.534623
1k1i,6.58,47,-2.960512,7.085985
1lpg,7.09,45,-3.802345,8.952324
1mq6,11.15,45,-2.402885,8.170714
1nc1,6.12,46,-2.200692,7.152862
1nc3,5.0,46,-1.315596,5.965503
1nvq,8.25,32,-3.072927,7.583123
1o0h,5.92,57,-3.051275,6.238288
1o3f,7.96,47,-1.468219,7.969552
1o5b,5.77,37,-4.297462,6.870491
1owh,7.4,37,-1.215712,7.417304
1oyt,7.24,34,-2.090344,7.464368
1p1n,6.8,41,-5.431645,5.975909
1p1q,4.89,41,-4.589632,7.258286
1ps3,2.28,11,-3.176208,5.396870
1pxn,7.15,29,-2.304375,7.642190
1q8t,4.76,26,-2.053831,5.747405
1q8u,5.96,26,-1.664954,7.593110
1qf1,7.32,27,-2.794006,6.313157
1qkt,9.04,44,-0.786711,8.601704
1r5y,6.46,21,-0.981625,6.317333
1s38,5.15,21,-1.060789,6.316173
1sqa,9.21,37,-1.328502,7.360446
1syi,5.44,41,-5.978015,6.806614
1u1b,7.8,57,-3.663369,7.482082
1uto,2.27,47,-2.079753,4.299997
1vso,4.72,43,-8.024408,5.936591
1w4o,5.22,57,-4.024184,5.699509
1y6r,10.11,46,-1.481586,9.901864
1yc1,6.17,39,-2.674276,7.438528
1ydr,5.52,26,-1.066694,6.763131
1ydt,7.32,26,-1.974809,7.510172
1z6e,9.72,45,-4.477789,8.054183
1z95,7.12,40,-1.460837,8.158498
1z9g,5.64,27,-3.157372,4.971346
2al5,8.4,41,-3.092561,7.832044
2br1,5.14,32,-1.381744,7.774860
2brb,4.86,32,-4.385916,7.016913
2c3i,7.6,6,-2.085729,7.286495
2cbv,5.48,18,-3.093540,6.340000
2cet,8.02,18,-1.579372,8.510082
2fvd,8.52,29,-1.486680,8.922626
2fxs,6.06,48,-2.550553,7.111466
2hb1,3.8,25,-7.594691,5.496192
2iwx,6.68,48,-2.303907,7.642333
2j78,6.42,18,-4.564757,6.009522
2j7h,7.19,18,-4.566128,6.971202
2p15,10.3,44,-1.651605,7.568515
2p4y,9.0,35,-2.761555,9.735886
2pog,9.54,44,-1.753100,6.589775
2qbp,8.4,25,-3.014911,7.469570
2qbq,7.44,25,-4.008009,6.228734
2qbr,6.33,25,-3.928049,6.264336
2qe4,7.96,44,-1.557475,8.343984
2qnq,6.11,9,-3.045489,9.239109
2r9w,5.1,24,-2.117854,5.352141
2v00,3.66,2,-4.663646,4.928888
2v7a,8.3,7,-5.139126,8.028109
2vkm,8.74,19,-1.269532,8.529726
2vvn,7.3,13,-3.622665,7.240090
