pdbid,logka,cluster,pll,head
1a30,4.3,9,-3.064164,6.300059
1bcu,3.28,34,-2.024215,5.111349
1bzc,4.92,25,-4.090694,5.696356
1c5z,4.01,37,-1.160120,3.988736
1e66,9.89,16,-4.650807,7.799660
1eby,9.7,9,-3.454241,7.944320
1g2k,7.96,9,-3.349074,8.920539
1gpk,5.37,16,-5.022449,6.603254
1gpn,6.48,16,-4.643988,6.826467
1h22,9.1,16,-3.741485,8.121592
1h23,8.35,16,-5.812041,7.971355
1k1i,6.58,47,-2.960512,6.899274
1lpg,7.09,45,-3.802345,8.960964
1mq6,11.15,45,-2.402885,9.070499
1nc1,6.12,46,-2.200692,6.546106
1nc3,5.0,46,-1.315596,5.416563
1nvq,8.25,32,-3.072927,7.744176
1o0h,5.92,57,-3.051275,5.594478
1o3f,7.96,47,-1.468219,7.322254
1o5b,5.77,37,-4.297462,6.577968
1owh,7.4,37,-1.215712,7.182322
1oyt,7.24,34,-2.090344,7.989502
1p1n,6.8,41,-5.431645,5.521654
1p1q,4.89,41,-4.589632,6.585434
1ps3,2.28,11,-3.176208,4.949887
1pxn,7.15,29,-2.304375,8.067160
1q8t,4.76,26,-2.053831,5.528393
1q8u,5.96,26,-1.664954,7.447155
1qf1,7.32,27,-2.794006,7.749475
1qkt,9.04,44,-0.786711,7.866563
1r5y,6.46,21,-0.981625,6.371339
1s38,5.15,21,-1.060789,6.017983
1sqa,9.21,37,-1.328502,7.648870
1syi,5.44,41,-5.978015,5.855053
1u1b,7.8,57,-3.663369,6.979715
1uto,2.27,47,-2.079753,3.527358
1vso,4.72,43,-8.024408,5.285311
1w4o,5.22,57,-4.024184,6.220123
1y6r,10.11,46,-1.481586,8.477100
1yc1,6.17,39,-2.674276,7.609906
1ydr,5.52,26,-1.066694,7.041083
1ydt,7.32,26,-1.974809,8.393866
1z6e,9.72,45,-4.477789,8.552036
1z95,7.12,40,-1.460837,7.903180
1z9g,5.64,27,-3.157372,5.365201
2al5,8.4,41,-3.092561,7.665177
2br1,5.14,32,-1.381744,7.697973
2brb,4.86,32,-4.385916,7.088521
2c3i,7.6,6,-2.085729,7.406229
2cbv,5.48,18,-3.093540,5.650652
2cet,8.02,18,-1.579372,8.965374
2fvd,8.52,29,-1.486680,8.705462
2fxs,6.06,48,-2.550553,7.453502
2hb1,3.8,25,-7.594691,5.461411
2iwx,6.68,48,-2.303907,7.321989
2j78,6.42,18,-4.564757,6.043803
2j7h,7.19,18,-4.566128,7.028746
2p15,10.3,44,-1.651605,7.907476
2p4y,9.0,35,-2.761555,9.457994
2pog,9.54,44,-1.753100,7.076937
2qbp,8.4,25,-3.014911,7.034025
2qbq,7.44,25,-4.008009,6.685715
2qbr,6.33,25,-3.928049,6.646070
2qe4,7.96,44,-1.557475,8.226435
2qnq,6.11,9,-3.045489,9.100254
2r9w,5.1,24,-2.117854,5.475805
2v00,3.66,2,-4.663646,4.927432
2v7a,8.3,7,-5.139126,8.173279
2vkm,8.74,19,-1.269532,8.887310
2vvn,7.3,13,-3.622665,7.960942
2vw5,8.52,48,-2.088990,6.712052
2w4x,4.85,13,-2.357922,5.751056
2w66,4.05,13,-2.378788,5.152177
2wbg,4.45,18,-2.059235,6.023654
2wca,5.6,13,-1.696610,7.890524
2weg,6.5,38,-2.309166,6.942964
2wer,7.05,48,-2.273111,7.528484
2wn9,8.52,50,-1.967331,5.438728
2wnc,6.32,50,-6.616575,5.791038
2wtv,8.74,36,-3.785450,7.935426
2wvt,6.12,20,-2.050495,5.931441
2x00,11.33,50,-4.349456,7.825192
2xb8,7.59,53,-2.760467,5.836672
2xbv,8.43,45,-4.176909,9.164284
2xdl,3.1,39,-4.515340,6.179244
2xii,7.2,20,-1.567783,7.200553
2xj7,6.66,13,-3.265885,5.696396
2xnb,6.83,29,-1.602366,6.232577
2xys,7.42,50,-1.902649,7.910875
2y5h,5.79,45,-3.925493,8.401227
2yfe,6.63,35,-2.652377,7.001410
2yge,5.06,48,-3.632367,7.108706
2yki,9.46,39,-6.236409,7.952412
2ymd,3.16,50,-1.305574,6.534982
2zb1,6.32,22,-1.692300,7.802212
2zcq,8.82,33,-3.090714,6.850508
2zcr,6.87,33,-2.816514,7.125365
2zda,8.4,34,-3.537186,8.478026
2zy1,7.4,33,-2.430278,7.083566
3acw,4.76,33,-4.388300,7.289385
3ag9,8.05,26,-3.768943,6.889208
3ao4,2.07,52,-1.807621,5.106853
3arp,7.15,14,-4.071358,6.921545
3arq,6.4,14,-2.810410,7.453472
3aru,3.22,14,-1.590438,5.005757
3arv,5.64,14,-5.556257,5.832376
3ary,6.0,14,-3.156641,5.518803
3b1m,8.48,35,-3.462616,7.776567
3b27,5.16,39,-1.537760,6.272281
3b5r,8.77,40,-1.355640,7.414130
3b65,9.27,40,-1.847018,6.594189
3b68,8.4,40,-1.714021,7.195844
