pdbid,logka,cluster,pll,head
1a30,4.3,9,-3.064163794884315,6.585725784301758
1bcu,3.28,34,-2.024214744567871,4.936049461364746
1bzc,4.92,25,-4.090694032866379,6.904911994934082
1c5z,4.01,37,-1.1601202223036025,4.3853535652160645
1e66,9.89,16,-4.650806608654204,7.709778308868408
1eby,9.7,9,-3.4542414347330728,8.486735343933105
1g2k,7.96,9,-3.3490736219618054,8.422616004943848
1gpk,5.37,16,-5.022449069552952,6.537299633026123
1gpn,6.48,16,-4.6439879567999585,6.663127422332764
1h22,9.1,16,-3.7414851469152115,7.633277416229248
1h23,8.35,16,-5.812040540907118,8.291860580444336
1k1i,6.58,47,-2.960511949327257,7.304290771484375
1lpg,7.09,45,-3.8023450897961126,8.657401084899902
1mq6,11.15,45,-2.402884589301215,8.883212089538574
1nc1,6.12,46,-2.2006916046142577,6.387142181396484
1nc3,5.0,46,-1.3155962291516756,5.899407386779785
1nvq,8.25,32,-3.072927051120334,8.057318687438965
1o0h,5.92,57,-3.051274617513021,5.187118053436279
1o3f,7.96,47,-1.468218994140625,6.619383335113525
1o5b,5.77,37,-4.297462169940655,6.541656494140625
1owh,7.4,37,-1.2157119909922283,6.563300132751465
1oyt,7.24,34,-2.0903444925944012,8.15640640258789
1p1n,6.8,41,-5.431644694010417,6.3703083992004395
1p1q,4.89,41,-4.589631594144381,7.062106609344482
1ps3,2.28,11,-3.17620849609375,5.310747146606445
1pxn,7.15,29,-2.304374868219549,7.362748622894287
1q8t,4.76,26,-2.053831100463867,5.905643939971924
1q8u,5.96,26,-1.6649540987881748,8.120200157165527
1qf1,7.32,27,-2.79400634765625,6.266608238220215
1qkt,9.04,44,-0.7867114067077636,8.156331062316895
1r5y,6.46,21,-0.9816251901479868,5.930781364440918
1s38,5.15,21,-1.0607893283550556,6.273494243621826
1sqa,9.21,37,-1.3285024089197959,8.046296119689941
1syi,5.44,41,-5.978015226476333,7.113653182983398
1u1b,7.8,57,-3.663368973077512,6.209342002868652
1uto,2.27,47,-2.0797526041666665,3.674624443054199
1vso,4.72,43,-8.024408249627976,7.170862197875977
1w4o,5.22,57,-4.024184454055059,4.914663314819336
1y6r,10.11,46,-1.4815861701965332,7.688127040863037
1yc1,6.17,39,-2.674276281286169,7.700243949890137
1ydr,5.52,26,-1.0666938781738282,6.597668647766113
1ydt,7.32,26,-1.9748088695384838,7.073548793792725
1z6e,9.72,45,-4.477788824784128,7.716018199920654
1z95,7.12,40,-1.4608370024582435,7.605860233306885
1z9g,5.64,27,-3.1573724185719207,5.613509654998779
2al5,8.4,41,-3.0925610860188804,7.92228364944458
2br1,5.14,32,-1.381744384765625,6.4654459953308105
2brb,4.86,32,-4.38591552734375,6.211226940155029
2c3i,7.6,6,-2.085729184358016,7.3205718994140625
2cbv,5.48,18,-3.093539555867513,5.822402477264404
2cet,8.02,18,-1.579372232610529,8.153833389282227
2fvd,8.52,29,-1.4866798400878907,8.66549015045166
2fxs,6.06,48,-2.5505529131208147,6.755905628204346
2hb1,3.8,25,-7.594690595354352,5.165556907653809
2iwx,6.68,48,-2.3039073944091797,7.129218578338623
2j78,6.42,18,-4.564756540151743,5.768341064453125
2j7h,7.19,18,-4.566127777099609,7.169318199157715
2p15,10.3,44,-1.6516047716140747,7.90603494644165
2p4y,9.0,35,-2.761554718017578,9.057929039001465
2pog,9.54,44,-1.7531002589634486,6.449331760406494
2qbp,8.4,25,-3.0149107237119934,8.21428394317627
2qbq,7.44,25,-4.0080088953818045,8.04533863067627
2qbr,6.33,25,-3.928048542567662,7.912659645080566
2qe4,7.96,44,-1.5574754079182942,7.181018829345703
2qnq,6.11,9,-3.0454888692716273,8.691258430480957
2r9w,5.1,24,-2.117854414315059,5.4341511726379395
2v00,3.66,2,-4.6636457443237305,4.107179164886475
2v7a,8.3,7,-5.139126150948661,8.192941665649414
2vkm,8.74,19,-1.2695323051290308,8.471065521240234
2vvn,7.3,13,-3.6226649284362793,7.390739440917969
2vw5,8.52,48,-2.0889901055230036,7.5049147605896
2w4x,4.85,13,-2.3579220241970487,6.334471225738525
2w66,4.05,13,-2.3787875175476074,6.3764119148254395
2wbg,4.45,18,-2.059234619140625,6.042527675628662
2wca,5.6,13,-1.6966100622106481,6.179821014404297
2weg,6.5,38,-2.309165607799183,6.556240081787109
2wer,7.05,48,-2.273111114501953,8.115009307861328
2wn9,8.52,50,-1.9673314528031782,5.783997535705566
2wnc,6.32,50,-6.616574968610491,6.644564628601074
2wtv,8.74,36,-3.7854497572954964,7.760903835296631
2wvt,6.12,20,-2.0504950009859524,4.885423183441162
2x00,11.33,50,-4.349455549910262,8.266026496887207
2xb8,7.59,53,-2.7604671825062144,6.13132905960083
2xbv,8.43,45,-4.176908704969618,8.808493614196777
2xdl,3.1,39,-4.5153398513793945,6.183454990386963
2xii,7.2,20,-1.5677825382777624,5.936432361602783
2xj7,6.66,13,-3.2658846378326416,6.1167097091674805
2xnb,6.83,29,-1.6023659882722077,6.649568557739258
2xys,7.42,50,-1.90264892578125,7.644135475158691
2y5h,5.79,45,-3.9254925635553177,8.526379585266113
2yfe,6.63,35,-2.652376708984375,6.359627723693848
2yge,5.06,48,-3.632366943359375,7.399304389953613
2yki,9.46,39,-6.236408906824448,8.065811157226562
2ymd,3.16,50,-1.3055744171142578,5.752923011779785
2zb1,6.32,22,-1.6923003563514123,7.540106296539307
2zcq,8.82,33,-3.0907135009765625,7.167215824127197
2zcr,6.87,33,-2.816513878958566,6.966695785522461
2zda,8.4,34,-3.5371861951104524,7.939947605133057
2zy1,7.4,33,-2.4302775065104165,6.6574811935424805
3acw,4.76,33,-4.388299851190476,7.453911304473877
3ag9,8.05,26,-3.768943293813313,5.109699249267578
3ao4,2.07,52,-1.8076211214065552,5.924256801605225
3arp,7.15,14,-4.071357727050781,7.1888747215271
3arq,6.4,14,-2.8104099697536893,6.673280715942383
3aru,3.22,14,-1.5904377937316894,5.723994255065918
3arv,5.64,14,-5.55625732421875,6.143019676208496
3ary,6.0,14,-3.1566406698787914,6.103154182434082
3b1m,8.48,35,-3.462615966796875,7.403543949127197
3b27,5.16,39,-1.5377603769302368,5.385653018951416
3b5r,8.77,40,-1.355639866420201,6.861111640930176
3b65,9.27,40,-1.8470175170898437,6.842254638671875
3b68,8.4,40,-1.714021498157132,7.10078763961792
3bgz,6.26,6,-3.42759641011556,6.795003414154053
3bv9,5.36,34,-3.6714994417910543,6.015406131744385
3cj4,6.51,15,-2.60338623046875,4.723827362060547
3coy,6.02,28,-5.3400234099357355,6.776697158813477
3coz,5.57,28,-2.725665283203125,6.606233596801758
3d4z,4.89,11,-5.585110255650112,5.555327415466309
3d6q,3.76,57,-4.126076091419566,4.986085414886475
3dd0,9.0,38,-3.958705186843872,8.751349449157715
3dx1,3.58,11,-3.6224933200412326,5.907964706420898
3dx2,6.82,11,-3.3342917760213218,6.054769039154053
3dxg,2.4,57,-2.7947434924897694,4.347143173217773
3e5a,8.23,36,-1.6939042987245503,8.112475395202637
3e92,8.0,22,-2.0612930884728065,7.293457508087158
3e93,8.85,22,-2.315493815654033,8.013995170593262
3ebp,5.91,12,-1.6992135729108537,5.2068562507629395
3ehy,5.85,56,-1.8553767484777115,6.946893215179443
3ejr,8.57,11,-2.7510882568359376,7.398627758026123
3f3a,4.19,17,-3.1688161214192707,6.130090713500977
3f3c,6.02,17,-2.958075009859525,6.124801158905029
3f3d,7.16,17,-3.7271703084309897,6.67284631729126
3f3e,7.7,17,-3.974215613471137,5.20034122467041
3fcq,2.77,27,-3.3867604391915456,4.752042293548584
3fur,8.0,35,-1.705079355547505,7.250097274780273
3fv1,9.3,43,-4.486097789946056,8.187499046325684
3fv2,8.11,43,-3.7999393463134767,8.138944625854492
3g0w,9.52,40,-3.555568059285482,8.111026763916016
3g2n,4.09,12,-0.9723606109619141,4.384469032287598
3g2z,2.36,42,-2.7967793391301083,3.7091245651245117
3g31,2.89,42,-5.303399478687959,7.209174156188965
3gbb,6.9,43,-5.187659369574653,8.034965515136719
3gc5,7.26,21,-3.268624496459961,6.81326150894165
3ge7,8.7,21,-3.3698956416203427,8.881874084472656
3gnw,9.1,15,-1.7464273626154119,9.039624214172363
3gr2,2.52,24,-3.2072356087820872,3.665682554244995
3gv9,2.12,24,-3.549584706624349,4.006171703338623
3gy4,5.1,47,-2.4434696197509767,4.905050277709961
3ivg,4.3,28,-7.450368946996228,7.029565811157227
3jvr,5.72,32,-4.857114045516305,5.995929718017578
3jvs,6.54,32,-5.46848398844401,7.918341159820557
3jya,6.89,6,-3.482067346572876,7.210638523101807
3k5v,6.3,7,-1.0425571159080222,6.655976295471191
3kgp,2.57,37,-5.115887035023082,3.3282558917999268
3kr8,8.1,49,-3.4042561848958335,6.723453044891357
3kwa,4.08,38,-4.217129843575614,6.671692848205566
3l7b,2.4,12,-4.502582750822368,3.9835689067840576
3lka,2.82,56,-6.485654830932617,3.8189358711242676
3mss,4.66,7,-1.7894170851934523,5.225377559661865
3myg,10.7,36,-8.156131998697917,7.318233966827393
3n76,6.85,53,-3.635078776966442,6.52665901184082
3n7a,3.7,53,-6.273830413818359,6.197278022766113
3n86,5.64,53,-6.305190376613451,5.688560962677002
3nq9,4.03,55,-4.045793533325195,3.771394729614258
3nw9,9.0,51,-4.481995432000411,6.750776290893555
3nx7,8.1,56,-1.259087371826172,7.630807876586914
3o9i,11.82,9,-2.3843856084914434,8.670334815979004
3oe4,7.47,51,-4.590539180871212,6.577215194702148
3oe5,6.88,51,-4.2378623716292845,6.236560821533203
3ozs,5.33,51,-5.625399965228456,6.788674831390381
3ozt,4.13,51,-4.6312615179246475,6.7506303787231445
3p5o,7.3,10,-2.3661819458007813,7.494469165802002
3prs,7.82,2,-3.6833412347250425,6.158078670501709
3pww,7.32,2,-3.4768270854077308,6.342073917388916
3pxf,4.43,29,-2.0905959719703313,5.459043979644775
3pyy,6.86,7,-4.48259521484375,6.565181732177734
3qgy,7.8,3,-2.8423449198404946,7.427891254425049
3qqs,5.82,23,-4.8546592310855265,5.994725704193115
3r88,4.82,23,-6.261862073625837,5.228041172027588
3rlr,7.52,39,-6.653643400772758,7.743298053741455
3rr4,4.55,21,-3.971403333875868,6.921596050262451
3rsx,4.41,19,-4.908296585083008,4.8479413986206055
3ryj,7.8,38,-5.597696092393663,7.98696756362915
3syr,5.1,12,-3.1542877197265624,4.8738555908203125
3tsk,7.17,56,-4.350531005859375,8.132071495056152
3twp,3.92,23,-2.0965742111206054,3.708679676055908
3u5j,5.61,10,-1.5783478129993787,5.69244384765625
3u8k,8.66,8,-2.0705878734588623,6.710785388946533
3u8n,10.17,8,-3.162704018985524,7.383316516876221
3u9q,4.38,35,-3.3412726720174155,4.059148788452148
3udh,2.85,19,-5.674595424107143,4.381555557250977
3ueu,5.24,55,-3.9267300197056363,6.958158016204834
3uev,5.89,55,-3.0254549980163574,6.892549991607666
3uew,6.31,55,-2.5426033867730036,7.122097969055176
3uex,6.92,55,-2.6274375915527344,7.041042804718018
3ui7,9.0,1,-5.068904876708984,7.374396324157715
3uo4,6.52,36,-2.753552403943292,7.650774002075195
3up2,7.4,36,-3.170457567487444,8.067474365234375
3uri,9.0,2,-3.1237863916339297,5.435901165008545
3utu,10.92,34,-4.320672217835772,9.135416030883789
3uuo,7.96,1,-5.139882626740829,5.792947292327881
3wtj,6.53,8,-2.32352352142334,8.18555736541748
3wz8,5.82,2,-1.3052256035082268,6.392601013183594
3zdg,7.1,8,-7.026458153357873,5.802770614624023
3zso,5.12,52,-7.21271445534446,8.04372787475586
3zsx,3.28,52,-6.324023078469669,7.455804824829102
3zt2,2.84,52,-6.47563768469769,6.63956880569458
4abg,3.57,47,-3.890009307861328,4.732069969177246
4agn,3.97,5,-6.282895406087239,5.271172523498535
4agp,4.69,5,-6.665825398763021,6.096258640289307
4agq,5.01,5,-8.119246419270834,6.065852642059326
4bkt,3.62,54,-4.290001317074425,5.421942234039307
4cig,3.67,52,-6.852882591453758,7.384190559387207
