pdbid,logka,cluster,pll,head
1a30,4.3,9,-3.17090812096229,4.725361347198486
1bcu,3.28,34,-1.4749677181243896,5.756039619445801
1bzc,4.92,25,-4.534900533741918,6.482015609741211
1c5z,4.01,37,-3.7482596503363714,4.254326343536377
1e66,9.89,16,-3.2955213274274553,7.891970157623291
1eby,9.7,9,-3.338994026184082,9.799759864807129
1g2k,7.96,9,-2.869009738498264,9.860820770263672
1gpk,5.37,16,-4.425032297770183,5.4476637840271
1gpn,6.48,16,-4.434613278037624,7.3699951171875
1h22,9.1,16,-4.321928136488971,8.992956161499023
1h23,8.35,16,-5.310021718343099,8.108620643615723
1k1i,6.58,47,-3.2679559919569225,6.523325443267822
1lpg,7.09,45,-3.409644150152439,8.10427474975586
1mq6,11.15,45,-2.616693284776476,9.086106300354004
1nc1,6.12,46,-1.8733966827392579,7.193828105926514
1nc3,5.0,46,-0.9513710423519737,5.814947128295898
1nvq,8.25,32,-2.2726258171929254,8.394110679626465
1o0h,5.92,57,-2.232426961263021,5.793428897857666
1o3f,7.96,47,-1.611014862060547,7.678956508636475
1o5b,5.77,37,-4.502246563251202,6.646018981933594
1owh,7.4,37,-1.465528170267741,7.0033183097839355
1oyt,7.24,34,-2.270646667480469,7.795393943786621
1p1n,6.8,41,-6.377441914876302,5.0813727378845215
1p1q,4.89,41,-3.90553225003756,6.385835647583008
1ps3,2.28,11,-2.2243051528930664,7.068856239318848
1pxn,7.15,29,-1.9380571191961116,7.359430313110352
1q8t,4.76,26,-1.712472915649414,6.024349212646484
1q8u,5.96,26,-1.747951334173029,8.385452270507812
1qf1,7.32,27,-3.1921976529634914,6.775882720947266
1qkt,9.04,44,-0.9689549446105957,8.41229248046875
1r5y,6.46,21,-1.46191039452186,5.988909721374512
1s38,5.15,21,-1.7857707096980169,6.103079795837402
1sqa,9.21,37,-1.9679084285613029,8.108628273010254
1syi,5.44,41,-3.6572631387149586,6.63613748550415
1u1b,7.8,57,-2.520480286841299,6.524621963500977
1uto,2.27,47,-1.7776756286621094,3.8712048530578613
1vso,4.72,43,-7.867034912109375,5.3457512855529785
1w4o,5.22,57,-3.954406011672247,4.877076148986816
1y6r,10.11,46,-1.6678062438964845,7.635609149932861
1yc1,6.17,39,-2.4685061419451677,8.01736068725586
1ydr,5.52,26,-1.0903444290161133,7.14033317565918
1ydt,7.32,26,-2.2066414444534868,6.663576126098633
1z6e,9.72,45,-4.111755772640831,10.141519546508789
1z95,7.12,40,-0.9433272789264547,8.474376678466797
1z9g,5.64,27,-3.7574260936063877,6.071401119232178
2al5,8.4,41,-2.970198567708333,6.791286945343018
2br1,5.14,32,-1.7909559052566002,7.340843200683594
2brb,4.86,32,-3.7592779541015626,6.568938732147217
2c3i,7.6,6,-2.305140619692595,8.400215148925781
2cbv,5.48,18,-3.0008792877197266,5.852384567260742
2cet,8.02,18,-1.8796598261052913,8.129514694213867
2fvd,8.52,29,-1.2083873748779297,9.080748558044434
2fxs,6.06,48,-2.071000235421317,6.922187805175781
2hb1,3.8,25,-5.492166246686663,4.886169910430908
2iwx,6.68,48,-2.499276320139567,6.990117073059082
2j78,6.42,18,-2.9051812978891225,6.447238922119141
2j7h,7.19,18,-3.68824462890625,7.301257133483887
2p15,10.3,44,-1.4355731010437012,7.71370267868042
2p4y,9.0,35,-2.451456642150879,9.900166511535645
2pog,9.54,44,-1.2654773167201452,7.9881205558776855
2qbp,8.4,25,-3.0507567122175887,7.692933082580566
2qbq,7.44,25,-3.556123302828881,7.182037353515625
2qbr,6.33,25,-2.770603724888393,7.081721305847168
2qe4,7.96,44,-1.6184290250142415,8.47580623626709
2qnq,6.11,9,-1.9848554657726754,10.435443878173828
2r9w,5.1,24,-2.730818912900727,5.863385200500488
2v00,3.66,2,-2.8286662101745605,4.475222110748291
2v7a,8.3,7,-5.050764683314732,9.038491249084473
2vkm,8.74,19,-1.5637372605344082,9.65830135345459
2vvn,7.3,13,-3.792755603790283,7.068326950073242
2vw5,8.52,48,-2.040400822957357,6.435819149017334
2w4x,4.85,13,-2.3865377638075085,6.4072089195251465
2w66,4.05,13,-2.717355966567993,5.583614826202393
2wbg,4.45,18,-2.525917400013317,5.631781578063965
2wca,5.6,13,-2.0257658781828702,8.129863739013672
2weg,6.5,38,-1.9056876789439807,6.707116603851318
2wer,7.05,48,-2.7031704711914064,8.266183853149414
2wn9,8.52,50,-2.833651455965909,6.530665874481201
2wnc,6.32,50,-5.668564932686942,7.058873653411865
2wtv,8.74,36,-3.1062761194565716,8.881231307983398
2wvt,6.12,20,-2.960245572603666,5.341362953186035
2x00,11.33,50,-4.217968914959882,8.601977348327637
2xb8,7.59,53,-3.455954811789773,6.54038667678833
2xbv,8.43,45,-4.030519273546007,9.484204292297363
2xdl,3.1,39,-4.175778865814209,6.309817790985107
2xii,7.2,20,-1.7182110377720423,7.427314758300781
2xj7,6.66,13,-3.013950824737549,5.343947887420654
2xnb,6.83,29,-1.705840781882957,7.500288963317871
2xys,7.42,50,-3.4860409545898436,9.500011444091797
2y5h,5.79,45,-3.2344188074911795,7.169386386871338
