pdbid,logka,cluster,vina_score
1a30,4.3,9,4.9990
1bcu,3.28,34,6.5660
1bzc,4.92,25,8.6410
1c5z,4.01,37,5.4340
1e66,9.89,16,11.6870
1eby,9.7,9,11.7280
1g2k,7.96,9,11.4800
1gpk,5.37,16,10.1290
1gpn,6.48,16,10.0130
1h22,9.1,16,9.7140
1h23,8.35,16,9.6670
1k1i,6.58,47,7.7650
1lpg,7.09,45,7.9940
1mq6,11.15,45,10.0990
1nc1,6.12,46,7.5200
1nc3,5.0,46,9.3570
1nvq,8.25,32,13.1950
1o0h,5.92,57,6.3030
1o3f,7.96,47,7.8310
1o5b,5.77,37,5.8550
1owh,7.4,37,7.4460
1oyt,7.24,34,10.8510
1p1n,6.8,41,7.1950
1p1q,4.89,41,4.8820
1ps3,2.28,11,6.9700
1pxn,7.15,29,8.7100
1q8t,4.76,26,6.4470
1q8u,5.96,26,8.2730
1qf1,7.32,27,6.7450
1qkt,9.04,44,9.2010
1r5y,6.46,21,7.0890
1s38,5.15,21,8.1510
1sqa,9.21,37,8.1330
1syi,5.44,41,8.7810
1u1b,7.8,57,7.3930
1uto,2.27,47,4.1820
1vso,4.72,43,5.6950
1w4o,5.22,57,5.2510
1y6r,10.11,46,9.3410
1yc1,6.17,39,9.4360
1ydr,5.52,26,7.5610
1ydt,7.32,26,8.3410
1z6e,9.72,45,10.9170
1z95,7.12,40,9.8940
1z9g,5.64,27,4.8660
2al5,8.4,41,8.5410
2br1,5.14,32,7.8240
2brb,4.86,32,7.8790
2c3i,7.6,6,8.8770
2cbv,5.48,18,6.5150
2cet,8.02,18,7.8360
2fvd,8.52,29,8.8880
2fxs,6.06,48,5.3620
2hb1,3.8,25,5.5670
2iwx,6.68,48,8.6230
2j78,6.42,18,6.8090
2j7h,7.19,18,5.7310
2p15,10.3,44,13.7440
2p4y,9.0,35,10.8360
2pog,9.54,44,9.5520
2qbp,8.4,25,8.6040
2qbq,7.44,25,8.0150
2qbr,6.33,25,7.4660
2qe4,7.96,44,9.1290
2qnq,6.11,9,8.8760
2r9w,5.1,24,7.6790
2v00,3.66,2,6.8950
2v7a,8.3,7,9.9770
2vkm,8.74,19,10.4150
2vvn,7.3,13,7.5410
2vw5,8.52,48,9.8330
2w4x,4.85,13,5.8570
2w66,4.05,13,6.4520
2wbg,4.45,18,7.1770
2wca,5.6,13,6.1180
2weg,6.5,38,5.0650
2wer,7.05,48,8.6190
2wn9,8.52,50,7.0220
2wnc,6.32,50,7.5670
2wtv,8.74,36,11.0020
2wvt,6.12,20,5.0070
2x00,11.33,50,13.4680
2xb8,7.59,53,9.6700
2xbv,8.43,45,11.4620
2xdl,3.1,39,6.2730
2xii,7.2,20,9.0220
2xj7,6.66,13,8.2470
2xnb,6.83,29,9.7450
2xys,7.42,50,10.2850
2y5h,5.79,45,7.6460
2yfe,6.63,35,7.4800
2yge,5.06,48,8.9970
2yki,9.46,39,15.3060
2ymd,3.16,50,6.8570
2zb1,6.32,22,10.5200
2zcq,8.82,33,8.1050
2zcr,6.87,33,8.6590
2zda,8.4,34,9.6490
2zy1,7.4,33,8.6150
3acw,4.76,33,10.2400
3ag9,8.05,26,5.4150
3ao4,2.07,52,6.0270
3arp,7.15,14,8.7570
3arq,6.4,14,8.7590
3aru,3.22,14,5.5240
3arv,5.64,14,8.2290
3ary,6.0,14,5.4990
3b1m,8.48,35,10.4960
3b27,5.16,39,6.8880
3b5r,8.77,40,9.8080
3b65,9.27,40,9.6970
