target_id,vina_dock,vina_score,pb_valid,connected,qed,sa,hac,n_arom_rings,strain,clashfree,hit
ABL2_HUMAN_274_551_0,-7.91838,-6.9125,0.2826086956521739,0.32978723404255317,0.2422589502538959,6.557640896164699,23.0,0.20212765957446807,2202.0947366251517,0.96,0.0
ACE_HUMAN_650_1230_0,-4.94452,-3.81337,1.0,1.0,0.27821951178905746,4.105729679543517,9.0,0.0,246.4250147913603,1.0,0.0
AK1BA_HUMAN_1_316_0,,,0.43,0.4,0.6320312499602849,4.022973962997299,14.66,0.03,1551.289515433233,0.98,0.0
AKT1_HUMAN_1_137_0,-8.84877,-4.4244200000000005,0.08080808080808081,0.9595959595959596,0.5011427029358035,7.0925565596172895,22.656565656565657,0.9595959595959596,1552.42995549255,0.53,0.0
AROE_THET8_1_263_0,-5.81992,-1.72409,0.7526881720430108,0.84375,0.31831484000406607,4.365385843682351,11.916666666666666,0.0,500.24205644695184,0.7,0.01
ATS5_HUMAN_262_480_0,-6.4610199999999995,-3.4393000000000002,0.5612244897959183,0.1919191919191919,0.26053037155332204,5.198259789251046,15.95959595959596,0.04040404040404041,1364.8357809281406,0.19,0.0
BACE2_HUMAN_76_460_0,,,0.33,0.9,0.2364287272203541,5.222045710281314,35.97,0.22,2212.640207635511,0.8,0.0
BAPA_SPHXN_30_402_0,,,0.20408163265306123,0.6122448979591837,0.381251752358572,6.241604881199802,13.418367346938776,0.04081632653061224,1587.452697283112,0.23,0.0
BAZ2A_HUMAN_1795_1898_0,-5.07953,-2.22768,0.07446808510638298,0.6702127659574468,0.4483344489382682,6.221429858087975,10.829787234042554,0.010638297872340425,1960.5543747885758,0.93,0.0
BGAT_HUMAN_63_353_0,,,0.21,0.49,0.26135712518770815,6.0612636683951475,14.39,0.0,1927.3827824485306,0.61,0.0
BGL07_ORYSJ_25_504_0,-6.81858,-1.42578,0.1875,0.8020833333333334,0.3553082536207086,6.585166051218384,15.875,0.020833333333333332,1101.801537078194,0.16,0.0
BSD_ASPTE_1_130_0,,,0.2857142857142857,0.5408163265306123,0.2559065323498024,5.956829215029233,18.448979591836736,0.16326530612244897,1193.9550238165048,0.03,0.0
BTRN_BACCI_2_250_0,-8.15617,-4.90613,0.5252525252525253,0.3939393939393939,0.17754915573926633,6.288311707664391,21.737373737373737,0.050505050505050504,1197.46047063694,0.76,0.0
CAT_ECOLX_1_219_0,-6.62754,-3.3574200000000003,0.6224489795918368,0.36363636363636365,0.2544895724453814,4.938433787243749,13.777777777777779,0.06060606060606061,837.5996877999885,0.73,0.0
CCPR_YEAST_69_361_0,-5.220848484848485,-1.889171717171717,0.59,0.65,0.4600228247795558,4.158484988028274,10.14,0.01,460.1546552817952,0.73,0.09
CD38_HUMAN_44_300_0,-6.45470707070707,-0.8695151515151516,0.17204301075268819,0.6774193548387096,0.340834198949854,6.601823904295611,15.763440860215054,0.021505376344086023,1668.350548257539,0.32,0.0
CDK6_HUMAN_1_312_0__2f2c_B_rec,-8.74405,-7.08847,0.61,0.99,0.43399938167013397,4.669371511322205,20.77,0.02,1001.0572878305674,0.99,0.4
CDK6_HUMAN_1_312_0__4aua_A_rec,-6.64696,-3.68715,0.2916666666666667,0.7731958762886598,0.48214835031529585,5.797462941553312,14.041237113402062,0.18556701030927836,1178.0973578402384,0.82,0.05
CHIA_SERMA_19_563_0,,,1.0,0.99,0.4344175636478985,2.1625923051542926,5.99,0.0,47.59420946690351,1.0,0.0
CHIB1_ASPFM_39_433_0,,,0.9183673469387755,0.94,0.2857041623201711,4.633204071022665,8.7,0.0,211.47323365758956,0.85,0.0
CHIB_SERMA_1_499_0__1h0i_A_rec,,,0.40860215053763443,0.7422680412371134,0.4661106081560436,4.485708196108187,10.639175257731958,0.0,682.4541207916103,0.44,0.0
CHIB_SERMA_1_499_0__4z2g_A_rec,-6.63269,-3.4149000000000003,0.5555555555555556,0.11,0.09358700443602244,5.902513637334823,23.45,0.0,2661.744420243511,0.92,0.0
CHOD_BREST_46_552_0,-5.50734,-2.15699,0.20618556701030927,0.6836734693877551,0.4952269335517187,6.216385761359621,10.928571428571429,0.030612244897959183,1215.9349905345694,0.62,0.0
COAA_MYCTU_1_312_0,-8.1792,-4.34243,0.4897959183673469,0.673469387755102,0.22973627058006557,6.775484879324752,23.908163265306122,0.19387755102040816,569.508516944666,0.82,0.0
CONA_CANCT_1_237_0,-4.97564,-2.28661,0.48,0.36,0.32581821235064845,4.900946965475457,12.52,0.02,1167.047502956197,0.81,0.0
COTA_BACSU_1_513_0,-4.98932,-2.7789300000000003,0.30927835051546393,0.7959183673469388,0.433211008093317,5.53450820198007,12.112244897959183,0.030612244897959183,947.9197523457542,0.85,0.06
CPXB_BACMB_2_464_0,-7.3051111111111116,-4.295757575757576,0.2916666666666667,0.6666666666666666,0.4505030883025623,5.630699751237342,18.041666666666668,0.08333333333333333,1568.7527369025656,0.58,0.05
DFPA_LOLVU_2_314_0,-5.04291,-3.35658,0.78,0.45,0.5822176903228309,3.840204187498517,10.91,0.0,460.31057795375904,0.96,0.14
DHAK_ECOLI_1_356_0,-3.6976565656565654,-1.034040404040404,0.8686868686868687,0.84,0.38018162391895965,2.9785126541976155,6.48,0.0,135.65616907953304,0.87,0.09
DIDH_RAT_1_319_0,-6.83898,-3.2793900000000002,0.3125,0.6632653061224489,0.49343424642111644,5.389830600038329,14.295918367346939,0.01020408163265306,1042.588629389554,0.86,0.0
DPO4_SULSO_1_347_0,-3.9668799999999997,-0.82402,0.39,0.56,0.38757992665923574,5.2747169463907175,9.6,0.0,703.7806104058104,0.82,0.0
DPP2_HUMAN_27_492_0,-5.10947,-1.21935,0.6060606060606061,0.6464646464646465,0.33979803132461034,4.670772251926359,10.93939393939394,0.0,480.02173407517046,0.48,0.01
DYRK2_HUMAN_145_550_0,-9.33594,-7.69478,0.6464646464646465,0.86,0.3699290991672002,6.2556825242710445,26.26,0.2,1567.4983783674859,0.97,0.0
EFTU1_ECOLI_2_178_0,,,0.5454545454545454,0.6404494382022472,0.17999174762641618,6.54213519623852,23.06741573033708,0.011235955056179775,491.1241669493798,0.27,0.0
EXG1_CANAL_41_438_0,,,0.57,0.74,0.3620198593463443,3.87909058451782,12.48,0.0,551.6675900203624,0.92,0.0
F16P1_HUMAN_1_338_0,-6.13073,2.02535,0.37894736842105264,0.6,0.3011536236931027,6.415540627899163,14.273684210526316,0.010526315789473684,1576.1213231293157,0.27,0.0
FKB1A_HUMAN_2_108_0,-5.95148,-1.92041,0.24742268041237114,0.5714285714285714,0.3270604975860202,6.372929116311338,20.255102040816325,0.1326530612244898,2135.0643748547122,0.6,0.0
GLMU_STRPN_2_459_0,-5.11461,-0.8003199999999999,0.2916666666666667,0.625,0.3743153452856211,5.621943120526679,10.614583333333334,0.0,843.1626948652918,0.62,0.0
GRK4_HUMAN_1_578_0,-6.524500000000001,-4.8610500000000005,0.5154639175257731,0.5979381443298969,0.3234911822780099,6.761333237405766,20.54639175257732,0.6907216494845361,303.350024017077,0.91,0.0
GSTP1_HUMAN_2_210_0,-7.75437,-5.778289999999999,0.69,0.97,0.37119248247216113,5.0056881069665335,21.88,0.0,1244.6122558644963,1.0,0.0
GUX1_HYPJE_18_451_0,,,0.67,0.93,0.7077826758496174,3.752945673267815,18.39,0.0,901.1669929800096,0.98,0.0
HDAC8_HUMAN_1_377_0,,,0.031914893617021274,0.9042553191489362,0.415681862330822,6.822373778014584,10.680851063829786,0.0,1855.2036474501404,0.36,0.0
HDHA_ECOLI_1_255_0,-5.54414,0.0101400000000001,0.23469387755102042,0.47959183673469385,0.45134277347223045,5.580371672709481,13.224489795918368,0.02040816326530612,1368.8569054951654,0.35,0.0
HMD_METJA_1_358_0,-6.906960000000001,-1.4172300000000002,0.17204301075268819,0.6021505376344086,0.2722674799153814,6.708752542858203,21.602150537634408,0.10752688172043011,1275.72430655073,0.28,0.0
IDHP_HUMAN_40_452_0,,,0.08695652173913043,0.7526881720430108,0.4262718461837445,6.571263478702888,15.53763440860215,0.1827956989247312,1644.4243907869468,0.02,0.0
IMA1_HUMAN_68_497_0,,,0.20618556701030927,0.845360824742268,0.41739722523627604,6.43482410325184,11.092783505154639,0.0,1103.0813535968273,0.86,0.0
IPMK_HUMAN_49_416_0,,,0.5894736842105263,0.5894736842105263,0.3692593990472235,6.65499922972046,15.136842105263158,0.6842105263157895,312.08339830991093,0.77,0.0
KS6A3_HUMAN_41_357_0,-7.8706700000000005,-5.72673,0.4375,0.6666666666666666,0.3156717524758072,6.802323481578138,22.208333333333332,0.5625,375.43104107757637,0.77,0.0
LAT_MYCTU_1_449_0,-6.87732,-4.02564,0.77,0.8,0.297963842508106,5.638762121507648,15.14,0.01,303.2672500085274,0.89,0.0
LMBL1_HUMAN_198_526_0__2pqw_A_rec,-4.91829,-2.85149,0.4631578947368421,0.7263157894736842,0.41738897680455284,4.5174472157917815,10.978947368421053,0.010526315789473684,565.6067535008838,0.87,0.15
LMBL1_HUMAN_198_526_0__2rhy_A_rec,-4.26525,-2.0055899999999998,0.2988505747126437,0.7613636363636364,0.41622825725318696,5.9001930784632926,9.318181818181818,0.056818181818181816,714.4075955866983,0.99,0.0
M3K14_HUMAN_321_678_0,-6.44777,-0.8462099999999999,0.1797752808988764,0.8695652173913043,0.4135272233534509,6.275606446787419,17.119565217391305,0.07608695652173914,1740.260275458032,0.43,0.02
MCCF_ECOLX_1_344_0,,,0.09473684210526316,0.7916666666666666,0.37705621241599346,6.712593199601436,13.59375,0.010416666666666666,1460.9260415024164,0.46,0.0
MENE_BACSU_2_486_0,-7.51086,-1.38261,0.21839080459770116,0.6551724137931034,0.2625273814365744,6.6773401236146785,20.022988505747126,0.1839080459770115,1550.0635025186293,0.31,0.0
MURA_ECOLI_1_419_catalytic_0,-6.39694,-0.23006999999999997,0.40404040404040403,0.48484848484848486,0.34413979715251036,5.237204417717446,15.808080808080808,0.06060606060606061,1057.0594980568612,0.39,0.0
NAGZ_VIBCH_1_330_0,-6.2159,-0.4642699999999999,0.6262626262626263,0.5959595959595959,0.2125661020242604,4.906537251292414,20.717171717171716,0.0,1113.3282695189962,0.52,0.0
NEP_HUMAN_54_750_0,-6.649220000000001,-3.4745299999999997,0.3157894736842105,0.4421052631578947,0.36259389092641975,5.486373170708224,13.74736842105263,0.09473684210526316,1170.0327291003573,0.33,0.01
NOS1_HUMAN_302_723_0__3tym_A_rec,-7.15414,-1.0685200000000001,0.17346938775510204,0.6868686868686869,0.2764637129662679,6.435163834441197,19.767676767676768,0.12121212121212122,956.0286230369254,0.48,0.0
NOS1_HUMAN_302_723_0__4d7o_A_rec,-6.81987,6.15097,0.15463917525773196,0.6530612244897959,0.3848796876245483,6.169567400745849,15.295918367346939,0.05102040816326531,1595.1086810783863,0.17,0.0
NOS2_HUMAN_78_505_0,-5.33646,-1.31072,0.6836734693877551,0.6868686868686869,0.34455507038678185,4.109689181082012,11.1010101010101,0.010101010101010102,397.84944117396697,0.75,0.05
NOS3_HUMAN_65_480_0__1rs9_A_rec,-5.222808080808081,-1.8953737373737374,0.25274725274725274,0.84375,0.43061860755061415,4.154807686171655,8.760416666666666,0.010416666666666666,349.2400073804469,0.87,0.13
NOS3_HUMAN_65_480_0__4kcq_A_rec,-7.068737373737373,0.22265656565656564,0.2872340425531915,0.49473684210526314,0.23162229488415667,6.076142525209995,20.96842105263158,0.05263157894736842,1651.8059713126283,0.52,0.0
NPD_THEMA_1_246_0,,,0.1595744680851064,0.6736842105263158,0.4695816934336892,6.048304228759115,10.547368421052632,0.031578947368421054,1725.156512328147,0.77,0.0
