arm,label,kind,vina_score,median,pb_valid,n_atoms
x24_p2c110,"physics: PATH2 relaxation, x24 (best)",physics,-6.596,-6.643,0.197,25.11
fin_rec115,"physics: PATH2 c1.15 receptor, fin",physics,-6.532,-6.465,0.274,23.58
fin_p2w100c11,"physics: PATH2 relaxation, fin",physics,-6.512,-6.512,0.293,23.58
jx24_p2c110,"physics: PATH2, joint_x24",physics,-6.41,-6.38,0.166,23.53
cs800_p2w100c11,"physics: PATH2 relaxation, cs800",physics,-6.372,-6.303,0.375,22.44
jfin_p2w100c11,"physics: PATH2, joint_fin",physics,-6.299,-6.232,0.226,22.44
FINAL2_ml_std_r3,ML only: distilled refiner x3 (teacher PATH2),ML,-5.181,-5.392,0.096,22.44
FINAL_ml_cs_r3,ML only: distilled refiner x3 (teacher v1),ML,-5.025,-5.242,0.254,20.99
FINAL2_ml_b10_r3,ML only: distilled + bond loss x3 (teacher PATH2),ML,-5.015,-5.344,0.237,22.44
sep4096_cs,baseline as-is (session start),none,-2.922,-3.811,0.44,20.99
