model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean
own,BSD_ASPTE_1_130_0,100,1.0,1.0,0.39315404303976803,6.660224972243724,-1.2195601999999999,1.0,0.15,0.77,0.0,1.2,0.72,3307.7639911028537,0.06313108713301747,100,1.0,0.8733551802516533,0.96,,,,,0.0,0.0,,
own,LAT_MYCTU_1_449_0,100,1.0,1.0,0.5452167581242381,6.2842579478786975,0.036667699999999866,1.0,0.98,0.99,0.67,0.33,0.9,357.55195282602017,0.1017603714510158,100,0.28,0.5067674197352037,0.15,,-6.276,,,0.0,0.0,-6.462,-5.77263
own,GUX1_HYPJE_18_451_0,100,1.0,1.0,0.7164686955584207,7.582505549046151,1.2016449000000007,1.0,1.0,1.0,0.22,0.0,1.0,494.4222855112588,0.04702896200053491,100,0.24,0.36921001557387545,0.09,,,,,0.0,0.0,,
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.5473016339490343,6.732544099608225,-0.34871390000000024,0.97,0.13,0.99,0.30612244897959184,0.43,0.78,773.5849204631879,0.10740372379986435,100,0.74,0.6567052893363479,0.53,,-7.182,,,0.0,0.0,-5.621,-5.264060606060607
own,IMA1_HUMAN_68_497_0,100,1.0,1.0,0.4173993113980808,6.489356313611447,-0.7872931,1.0,0.68,0.9,0.02,0.0,1.0,1438.127542722913,0.01801869165043187,100,1.0,0.8854477131487584,0.76,,,,,0.0,0.0,,
own,CCPR_YEAST_69_361_0,100,1.0,1.0,0.5652839867075956,6.481991119985671,0.11427969999999982,0.99,0.44,0.96,0.29591836734693877,0.97,0.65,612.4765349427671,0.03112973933199492,100,0.8,0.82162429171838,0.6,,-4.53,,,0.0,0.0,-5.1225000000000005,-3.5624899999999995
own,DPO4_SULSO_1_347_0,100,1.0,1.0,0.4946242333028551,6.707344143205026,-0.6437960000000003,1.0,0.44,0.96,0.020833333333333332,0.63,0.86,1570.5648032416982,0.07182069100253546,100,1.0,0.8621992707337858,0.83,,-3.699,,,0.0,0.0,-1.9685000000000001,-0.6489599999999998
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.4595634468836664,6.127612203503584,-1.07526,1.0,1.0,1.0,0.012987012987012988,0.0,1.0,632.3575841252698,0.030545544018917927,100,0.28,0.6110746612359353,0.26,,,,,0.0,0.0,,
own,UBE2T_HUMAN_1_156_0,100,1.0,1.0,0.5913762622284137,7.311354855304838,0.9641387,1.0,1.0,1.0,0.21052631578947367,0.19,0.94,410.1494530847025,0.06814972137140717,100,0.54,0.7797641493538614,0.41,,-4.231,,,0.0,0.0,-3.6075,-3.0415499999999995
own,CHOD_BREST_46_552_0,100,1.0,1.0,0.6610516591634576,6.484007065889913,-0.2919026999999999,1.0,0.78,1.0,0.5454545454545454,0.76,0.65,525.4767208448063,0.04707967093670238,100,0.63,0.7860818543668335,0.39,,-9.593,,,0.0,0.0,-4.8515,-3.84742
