model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.5473016339490343,6.732544099608225,-0.34871390000000024,0.97,0.13,0.99,-5.634,-5.230171717171718,0.25252525252525254,0.35,0.82,823.7172343323322,0.10740372379986435,100,0.73,0.6567052893363479,0.53,,-7.182,,,0.0,0.0
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.5303583131896538,6.220826078969587,0.2982741999999999,1.0,0.05,0.92,,,0.09090909090909091,0.13,0.96,1105.5541315852688,0.08845328513562635,100,0.72,0.6728785923538525,0.49,,,,,0.0,0.0
own,NQO1_HUMAN_2_274_0__1dxo_C_rec,100,1.0,1.0,0.43098607943840045,6.514697405679683,-0.5886273000000002,1.0,0.55,0.9,-1.7485,-1.50826,0.06060606060606061,0.15,0.95,1253.8157096264727,0.04715297605384963,100,1.0,0.8749284383791637,0.71,,-3.341,,,0.0,0.0
own,EFTU1_ECOLI_2_178_0,100,1.0,1.0,0.46707340064115116,6.610822122326322,-0.5491885,1.0,0.0,1.0,,,0.03,0.06,0.94,1019.2316850694763,0.11309383045251357,100,0.41,0.5117428120623673,0.3,,,,,0.0,0.0
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.30783247183200385,6.906235009785309,-0.2992619,0.97,0.16,0.83,-6.907500000000001,-6.8401,0.04040404040404041,0.17,0.92,2295.010140285282,0.05610765475303139,100,1.0,0.8512324233860336,0.94,,-10.768,,,0.0,0.0
own,XANLY_BACGL_26_777_0,100,1.0,1.0,0.49161941958061933,6.329805381122969,-0.9773101000000003,1.0,0.88,0.92,-4.281000000000001,-3.2276499999999997,0.36363636363636365,0.63,0.66,547.3625594400676,0.07759053905394343,100,0.87,0.82145968119406,0.71,,-6.218,,,0.0,0.0
own,PAC_ECOLX_27_846_0,100,1.0,1.0,0.49497286814000235,6.66364740213826,-0.2282407000000001,1.0,0.99,0.99,-4.503500000000001,-3.9398899999999992,0.1326530612244898,0.36,0.95,830.055287626611,0.07514934148741281,100,0.97,0.8581698295351636,0.52,,-6.871,,,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.4601705825677744,6.474103870934496,-0.9956873,1.0,0.97,0.99,-4.2895,-4.321070000000001,0.2727272727272727,0.0,1.0,556.9657280101451,0.06071097155649053,100,0.84,0.8471312197647934,0.43,,-3.697,,,0.0,0.0
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.5082184351270684,6.429547939793715,0.3055192,1.0,0.95,0.98,-3.8305,-2.69774,0.14285714285714285,0.77,0.74,809.3572792971904,0.05961871789514747,100,0.79,0.8343568636684306,0.61,,-4.563,,,0.0,0.0
own,IDHP_HUMAN_40_452_0,100,1.0,1.0,0.49789521158969213,7.091450664831408,0.5084690000000001,1.0,0.85,0.94,,,0.010416666666666666,2.19,0.56,2415.8089483118183,0.043157049647654454,100,1.0,0.9056945782168089,0.95,,,,,0.0,0.0
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.3590609259904548,6.401438529551687,-1.0305101,1.0,1.0,0.99,,,0.45454545454545453,0.0,1.0,305.4551482062883,0.07103647970330097,100,0.3,0.6800438014805377,0.24,,,,,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,1.0,0.510177421698806,5.774353756218404,-0.5453624,1.0,0.99,0.98,-5.080500000000001,-4.76215,0.82,0.06,0.99,253.79955564932771,0.09144135194290874,100,0.22,0.6462706297582352,0.17,,-5.533,,,0.0,0.0
own,RIBB_VIBCH_2_218_0,100,1.0,1.0,0.4688044874082687,5.387263302175654,-0.08199230000000003,1.0,0.01,0.99,,,0.31,0.38,0.65,686.223361541575,0.13646531762810832,100,0.11,0.28281094680228136,0.01,,,,,0.0,0.0
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.5183671679413709,6.849616046736416,-0.6761111999999997,1.0,0.67,0.98,-2.8810000000000002,2.006650000000001,0.1,3.56,0.36,1389.272128558372,0.05940324507328572,100,0.92,0.8837422020938548,0.82,,-9.723,,,0.0,0.0
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.5265927850173032,7.095737863523999,0.5000896000000001,1.0,1.0,0.68,,,0.3804347826086957,0.0,1.0,517.1753799615935,0.07053569825848932,100,0.37,0.4571949592167476,0.36,,,,,0.0,0.0
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3460044803237507,7.35895464582997,0.4433108999999999,1.0,0.97,1.0,,,0.01,0.02,0.99,1380.729322757787,0.12188631831532103,100,0.51,0.4700371805723754,0.39,,,,,0.0,0.0
