model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
diffsbdd,ABL2_HUMAN_274_551_0,99,1.0,1.0,0.5856797754467685,4.701441452358169,1.806431414141415,0.98989898989899,0.9090909090909092,0.9696969696969696,-6.486,-6.559141414141413,-7.164,-7.346191919191919,-8.05,-8.068383838383836,0.5151515151515151,0.1717171717171717,0.8888888888888888,387.9263881081352,0.1016600177519105,99,1.0,0.9077423932522974,0.9595959595959596,,-8.209,-8.216,-8.614,0.0808080808080808,0.0808080808080808
diffsbdd,ACE_HUMAN_650_1230_0,98,1.0,1.0,0.4815897032720245,4.664971665328258,0.1182632653061229,0.9591836734693876,0.826530612244898,0.9591836734693876,-5.1595,-4.721071428571428,-6.1370000000000005,-6.142081632653063,-7.2485,-7.157826530612245,0.5612244897959183,0.4285714285714285,0.8061224489795918,375.0067518193853,0.0977533722151767,98,1.0,0.9034351107504864,0.826530612244898,,-4.487,-4.446,-4.68,0.2448979591836734,0.2040816326530612
diffsbdd,AK1BA_HUMAN_1_316_0,98,1.0,1.0,0.5531268736139028,4.269039713465373,1.9267505102040825,0.979591836734694,0.9489795918367347,0.9591836734693876,,,,,,,0.5714285714285714,0.3979591836734694,0.8367346938775511,327.74454700210504,0.0999936423206499,98,1.0,0.903103025179527,0.8469387755102041,,,,,0.0,0.0
diffsbdd,AKT1_HUMAN_1_137_0,99,1.0,1.0,0.3978024032912923,4.873376668207053,2.211733333333335,0.8888888888888888,0.6363636363636364,0.9696969696969696,-7.842,-7.58869696969697,-8.476,-8.28550505050505,-9.602,-9.494969696969696,0.4343434343434343,0.1818181818181818,0.9292929292929292,436.1998867560127,0.0864917737857179,99,1.0,0.9058414588485094,0.9393939393939394,,-14.151,-14.334,-15.144,0.0,0.0
diffsbdd,AROE_THET8_1_263_0,99,1.0,1.0,0.4116447754510552,4.92709215666948,-0.4389082828282822,0.9494949494949496,0.7171717171717171,0.9595959595959596,-2.84,3.609515151515153,-5.348,-4.943909090909092,-7.272,-7.12820202020202,0.5252525252525253,3.525252525252525,0.4444444444444444,498.6285867439884,0.1261177161006731,99,1.0,0.8946449021849029,0.8585858585858586,,-5.533,-5.587,-6.263,0.1111111111111111,0.1111111111111111
diffsbdd,ATS5_HUMAN_262_480_0,98,1.0,1.0,0.4624419569516928,4.284310314626227,0.4341380612244902,0.9897959183673468,0.826530612244898,0.979591836734694,-5.461,-4.958234693877551,-6.314500000000001,-6.174428571428572,-7.3185,-7.266438775510204,0.673469387755102,1.1020408163265305,0.4183673469387755,256.5735941726241,0.1084836361519355,98,1.0,0.9073526232895024,0.7216494845360825,,-7.591,-7.975,-8.684,0.0204081632653061,0.0204081632653061
diffsbdd,BACE2_HUMAN_76_460_0,97,1.0,1.0,0.3941557665241865,4.991791004928028,1.0104326804123729,0.8865979381443299,0.5979381443298969,0.9587628865979382,,,,,,,0.4742268041237113,0.1649484536082474,0.8969072164948454,547.5894371763512,0.0894987462283865,97,1.0,0.9000179703977135,0.8969072164948454,,,,,0.0,0.0
diffsbdd,BAPA_SPHXN_30_402_0,96,1.0,1.0,0.4976102569498415,4.50227306458711,0.7653732291666673,0.9895833333333334,0.8333333333333334,0.9791666666666666,,,,,,,0.6354166666666666,0.3854166666666667,0.84375,269.3171394752336,0.1128948783427978,96,1.0,0.9031541141286404,0.8315789473684211,,,,,0.0,0.0
diffsbdd,BAZ2A_HUMAN_1795_1898_0,100,1.0,1.0,0.5780539451831577,3.750010186033933,1.1438713000000005,1.0,0.99,0.97,-4.055,-3.2699090909090915,-4.901,-4.89929292929293,-5.779,-5.852373737373737,0.71,0.49,0.84,136.30581347927233,0.1025682665273987,100,1.0,0.9263066956046272,0.78,,-4.114,-4.138,-5.463,0.28,0.21
diffsbdd,BGAT_HUMAN_63_353_0,99,1.0,1.0,0.4961539983920643,3.821348078197791,0.0559177777777778,1.0,1.0,0.9595959595959596,,,,,,,0.7171717171717171,1.3737373737373737,0.8181818181818182,125.0740405038085,0.0792180488509408,99,1.0,0.9265470926669324,0.6464646464646465,,,,,0.0,0.0
