model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.5473016339490343,6.732544099608225,-0.34871390000000024,0.97,0.13,0.99,-6.384,-6.637303030303029,-6.72,-6.874545454545455,0.5816326530612245,0.0,1.0,559.5978043830496,0.10740372379986435,100,0.73,0.6567052893363479,0.53,,-7.182,-7.475,,0.0,0.0
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.5303583131896538,6.220826078969587,0.2982741999999999,1.0,0.05,0.92,,,,,0.35,0.0,1.0,755.423609552228,0.08845328513562635,100,0.7,0.6728785923538525,0.49,,,,,0.0,0.0
own,NQO1_HUMAN_2_274_0__1dxo_C_rec,100,1.0,1.0,0.4163998432316292,6.565103969972157,-0.6238130000000001,1.0,0.38,0.91,-2.0525,-2.1225600000000004,-2.85,-2.9986999999999995,0.10101010101010101,0.0,1.0,1095.0555842615627,0.04866289979854552,100,1.0,0.8727442061840183,0.72,,-3.341,-3.251,,0.0,0.0
own,EFTU1_ECOLI_2_178_0,100,1.0,1.0,0.46707340064115116,6.610822122326322,-0.5491885,1.0,0.0,1.0,,,,,0.6666666666666666,0.0,1.0,746.6653761727584,0.11309383045251357,100,0.41,0.5117428120623673,0.3,,,,,0.0,0.0
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.2516880343441475,6.962221425323429,-0.4216893000000001,0.97,0.07,0.79,-8.650500000000001,-8.718510000000002,-8.5185,-8.615839999999999,0.07,0.04,0.99,2058.580156408658,0.05531375306030037,100,1.0,0.85392221003463,0.95,,-10.768,-10.77,,0.0,0.0
own,XANLY_BACGL_26_777_0,100,1.0,1.0,0.46938187540360027,6.419033126581422,-0.9922921000000001,1.0,0.68,0.87,-5.359,-5.40698,-5.504,-5.571610000000001,0.29,0.0,1.0,713.4964964200549,0.070989700737811,100,0.99,0.8602010516385736,0.82,,-6.218,-6.287,,0.0,0.0
own,PAC_ECOLX_27_846_0,100,1.0,1.0,0.5190797287035478,6.818611551638113,-0.3089053000000001,1.0,0.99,0.99,-5.8865,-6.02216,-5.8175,-5.869910000000001,0.2828282828282828,0.0,1.0,705.6213053908225,0.07075864914151887,100,0.98,0.8657901748010267,0.74,,-6.871,-6.932,,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.49734235041377944,6.803930649577052,-1.1325036999999996,1.0,0.8,1.0,-5.132,-5.15775,-5.1055,-5.12179,0.3,0.0,1.0,692.2556815377723,0.05248480051098384,100,0.97,0.8672544546484323,0.71,,-3.697,-3.697,,0.0,0.0
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.5237692679173191,6.25973150184357,0.5343001,1.0,0.94,0.99,-4.7385,-4.91526,-4.6850000000000005,-4.79957,0.3333333333333333,0.0,1.0,497.604251349768,0.06358666672307717,100,0.57,0.6586335043053759,0.38,,-4.563,-4.542,,0.0,0.0
own,IDHP_HUMAN_40_452_0,100,1.0,1.0,0.4577825459574829,7.167903759844676,0.7466331000000003,1.0,0.67,0.96,,,,,0.042105263157894736,0.12,0.96,2888.0662974533598,0.04456378760125472,100,1.0,0.8975936221588235,0.97,,,,,0.0,0.0
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.4595634468836664,6.127612203503584,-1.07526,1.0,1.0,1.0,,,,,0.01,0.0,1.0,411.7317346408845,0.030545544018917927,100,0.29,0.6110746612359353,0.26,,,,,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,1.0,0.5007384290702709,5.914796423176348,-0.5625701000000001,1.0,0.97,0.94,-5.218500000000001,-5.20206,-5.699,-5.4069,0.61,0.0,1.0,241.53109121669095,0.08369482250617781,100,0.55,0.7785576149573162,0.39,,-5.533,-5.587,,0.0,0.0
own,RIBB_VIBCH_2_218_0,100,1.0,1.0,0.4688044874082687,5.387263302175654,-0.08199230000000003,1.0,0.01,0.99,,,,,0.96,0.0,1.0,325.98372187234963,0.13646531762810832,100,0.11,0.28281094680228136,0.01,,,,,0.0,0.0
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.4860991208954318,6.899765614672329,-0.9860082999999997,1.0,0.53,0.98,-7.157,-7.253140000000002,-6.8645,-6.97018,0.1111111111111111,0.01,0.99,1342.8629851466972,0.06017424860660689,100,1.0,0.8910538132146579,0.898989898989899,,-9.723,-9.795,,0.0,0.0
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.5265927850173032,7.095737863523999,0.5000896000000001,1.0,1.0,0.68,,,,,0.6666666666666666,0.0,1.0,312.03508246559966,0.07053569825848932,100,0.37,0.4571949592167476,0.36,,,,,0.0,0.0
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3460044803237507,7.35895464582997,0.4433108999999999,1.0,0.97,1.0,,,,,0.03,0.0,1.0,915.1985893751319,0.12188631831532103,100,0.5,0.4700371805723754,0.39,,,,,0.0,0.0
own,BACE2_HUMAN_76_460_0,100,1.0,1.0,0.3573180141746883,6.8983250944350765,0.5065123000000002,1.0,0.48,0.96,,,,,0.4444444444444444,0.0,1.0,819.4872210370602,0.046081572522410734,100,0.88,0.7701604485759631,0.84,,,,,0.0,0.0
own,TRAR_RHIRD_1_234_0,100,1.0,1.0,0.5262036884403484,7.189069661639277,0.3599159,1.0,0.97,1.0,-10.066500000000001,-10.18182,-9.822500000000002,-9.79214,0.08080808080808081,0.04,0.99,1392.1792679048012,0.06021859417018304,100,1.0,0.898666891784824,0.93,,-7.622,-7.597,,0.0,0.0
