model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean
own,IDHP_HUMAN_40_452_0,100,1.0,1.0,0.49789521158969213,7.091450664831408,0.5084690000000001,1.0,0.85,0.94,0.020618556701030927,2.41,0.48,2086.554761604575,0.043157049647654454,100,1.0,0.9056945782168089,0.95,,,,,0.0,0.0,,
own,AROE_THET8_1_263_0,100,1.0,1.0,0.510177421698806,5.774353756218404,-0.5453624,1.0,0.99,0.98,0.55,0.09,0.99,367.77430112733066,0.09144135194290874,100,0.23,0.6462706297582352,0.17,,-5.533,,,0.0,0.0,-4.8675,-4.59067
own,P2Y12_HUMAN_1_342_0,100,1.0,1.0,0.3902355362932967,7.101770925333567,0.558125,1.0,0.5,0.98,0.061224489795918366,1.06,0.62,1809.9566734232449,0.05281287902084083,100,1.0,0.8960209057390145,0.84,,-10.428,,,0.0,0.0,-6.061999999999999,-4.6881699999999995
own,BAZ2A_HUMAN_1795_1898_0,100,1.0,1.0,0.5156035785332516,6.941257629792039,0.13586739999999994,1.0,0.99,0.98,0.18181818181818182,0.05,0.99,826.5967359738227,0.06020763754666221,100,0.94,0.90325436715198,0.68,,-4.114,,,0.0,0.0,-3.8834999999999997,-3.7182200000000005
own,SIR3_HUMAN_117_398_0,100,1.0,1.0,0.5272735200771185,7.101265202230256,0.35459640000000014,1.0,0.86,0.98,0.05263157894736842,0.43,0.76,1524.2736329569602,0.05565593739831712,100,1.0,0.9009591663275143,0.98,,,,,0.0,0.0,,
own,NQO1_HUMAN_2_274_0__1gg5_A_rec,100,1.0,1.0,0.5403738054993501,7.2028564802575135,0.37973910000000005,1.0,0.88,0.95,0.031914893617021274,0.07,0.94,1605.9548023009995,0.0663020570679683,100,0.99,0.8871066532833297,0.9696969696969697,,-5.798,,,0.0,0.0,-5.5525,-5.3497900000000005
own,NOS3_HUMAN_65_480_0__1rs9_A_rec,100,1.0,1.0,0.45771313904166155,6.628014157791062,-0.3699087000000001,1.0,1.0,0.99,0.3939393939393939,0.0,1.0,349.7433515652948,0.01698771526167442,100,0.94,0.8877776586693001,0.43,,-3.024,,,0.0,0.0,-3.071,-2.997079999999999
own,NEP_HUMAN_54_750_0,100,1.0,1.0,0.47698100308991526,6.956824302296785,-0.5915212,1.0,0.63,0.99,0.14285714285714285,0.14,0.86,1138.7945080718248,0.059489788605488085,100,0.93,0.8386432124804275,0.54,,-8.689,,,0.0,0.0,-6.747,-6.769439999999999
own,CONA_CANCT_1_237_0,100,1.0,1.0,0.5503388970705135,6.124555959980661,-0.08990750000000008,1.0,0.89,0.89,0.21212121212121213,0.0,1.0,749.8844500083524,0.12211060333101977,100,0.41,0.4482053346727243,0.35,,-5.215,,,0.0,0.0,-4.6735,-4.54351
own,MCCF_ECOLX_1_344_0,100,1.0,1.0,0.3401360573976393,6.8455596170214355,-1.2727854,1.0,0.1,0.88,0.07216494845360824,0.7,0.73,1626.1518926007686,0.06750553774408476,100,1.0,0.8695547212423261,0.94,,,,,0.0,0.0,,
