model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.460590928214319,6.984753967547662,0.02221799999999988,1.0,0.15,1.0,-6.5335,-6.631709999999999,-6.764,-6.934540000000001,0.15463917525773196,0.0,1.0,1029.4964203450922,0.10122863704384587,100,0.9,0.7686757240868836,0.69,,-7.182,-7.475,,0.0,0.0
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.532347114044415,6.277683218550543,-0.29925350000000006,1.0,0.09,0.97,,,,,0.2828282828282828,0.0,1.0,761.4662302549239,0.07583435764449488,100,0.81,0.7502244520978669,0.66,,,,,0.0,0.0
own,NQO1_HUMAN_2_274_0__1dxo_C_rec,100,1.0,1.0,0.405489471464649,6.456628482542928,-0.573272,1.0,0.34,0.95,-1.7915,-1.9138400000000002,-2.8745,-2.8736300000000004,0.11,0.0,1.0,1142.4942810763887,0.04856305168029081,100,1.0,0.8589411853765404,0.73,,-3.341,-3.251,,0.0,0.0
own,EFTU1_ECOLI_2_178_0,100,1.0,1.0,0.35814460949276083,6.636189701364856,-0.5781059000000002,1.0,0.0,1.0,,,,,0.45,0.0,1.0,729.8590138077775,0.12297449805458588,100,0.44,0.5252838504348735,0.21,,,,,0.0,0.0
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.24719934282058179,6.892450542396615,-1.793685199999999,0.99,0.09,0.91,-7.0905000000000005,-7.391149999999999,-6.999,-7.359649999999999,0.07142857142857142,0.0,1.0,1735.1389195521785,0.05376090922891346,100,1.0,0.877256526899475,0.79,,-10.768,-10.77,,0.0,0.0
own,XANLY_BACGL_26_777_0,100,1.0,1.0,0.45223070327276416,6.561099787862605,-0.7454034,1.0,0.43,0.9,-5.707000000000001,-5.662919999999999,-6.007,-5.9944,0.07,0.0,1.0,902.6268661639233,0.06747230752777461,100,1.0,0.8759695571682136,0.89,,-6.218,-6.287,,0.0,0.0
own,PAC_ECOLX_27_846_0,100,1.0,1.0,0.5489939986527065,7.062047783417033,0.4264412,1.0,1.0,0.97,-7.4155,-7.30324,-7.1135,-6.995139999999999,0.10101010101010101,0.01,0.99,1387.394353587159,0.04620050364732005,100,1.0,0.9039328253799069,0.99,,-6.871,-6.932,,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.572638185565889,6.763432901807955,-1.0608173,1.0,0.89,0.96,-6.477,-6.41627,-6.2844999999999995,-6.232329999999999,0.2708333333333333,0.0,1.0,771.5500409170497,0.031643016875671615,100,0.81,0.7795871830593788,0.59,,-3.697,-3.697,,0.0,0.0
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.5544929563059331,6.929714721384683,0.47172619999999993,1.0,0.96,0.95,-5.0535,-5.0501,-5.092499999999999,-5.04267,0.16161616161616163,0.0,1.0,1174.8973783634005,0.06250952654535308,100,0.99,0.9061842352175644,0.9,,-4.563,-4.542,,0.0,0.0
own,IDHP_HUMAN_40_452_0,100,1.0,1.0,0.38374648780301285,7.21101179724404,0.8804549,1.0,0.59,0.98,,,,,0.020833333333333332,0.09,0.98,2798.0723427294024,0.04434978670761937,100,1.0,0.8923745492711337,0.98989898989899,,,,,0.0,0.0
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.37762427178457286,6.662609129008137,-1.1904116999999999,1.0,0.99,1.0,,,,,0.31,0.0,1.0,491.65521666586494,0.06472362124115418,100,0.84,0.7939413756944766,0.44,,,,,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,1.0,0.44357562029365355,6.669481093270167,-0.29779560000000005,1.0,0.93,0.93,-6.109,-6.145300000000001,-5.858499999999999,-5.99458,0.08163265306122448,0.01,0.99,999.2847584574713,0.05595929662149483,100,1.0,0.8789500857112337,0.73,,-5.533,-5.587,,0.0,0.0
own,RIBB_VIBCH_2_218_0,100,1.0,1.0,0.46263928324412723,5.983764335883669,0.09496779999999988,1.0,0.3,0.93,,,,,0.62,0.05,0.96,407.82687760320323,0.11707479048518264,100,0.52,0.609655399745109,0.27,,,,,0.0,0.0
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.5373150792193081,6.992374960893019,0.3910251999999999,1.0,0.75,0.99,-8.157,-7.803420000000001,-7.714,-7.711189999999999,0.18,0.13,0.98,1394.0254864017159,0.05838474958987729,100,1.0,0.8821147999858787,0.96,,-9.723,-9.795,,0.0,0.0
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.5705076810523139,7.177220890026578,0.7661559000000002,1.0,1.0,0.87,,,,,0.7272727272727273,0.0,1.0,369.1826746564467,0.07060832698891434,100,0.58,0.5461449186835481,0.57,,,,,0.0,0.0
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3311056173483948,7.273536485369807,-0.6199513,1.0,0.69,1.0,,,,,0.05,0.01,0.99,1214.0247347614106,0.08502538080076472,100,1.0,0.7072572756746469,0.93,,,,,0.0,0.0
own,BACE2_HUMAN_76_460_0,100,1.0,1.0,0.4081137852434255,5.9498488604603335,1.0099632999999997,1.0,0.38,1.0,,,,,0.19,0.0,1.0,815.841799630321,0.04401125136308301,100,0.98,0.6589442713877354,0.9292929292929293,,,,,0.0,0.0
own,TRAR_RHIRD_1_234_0,100,1.0,1.0,0.5294152636284216,7.099208708811307,0.6082630000000001,1.0,0.97,0.95,-11.001999999999999,-10.82127,-10.850999999999999,-10.348120000000002,0.08,0.0,1.0,1424.7686020300966,0.06731587436120677,100,1.0,0.8975547571332539,0.94,,-7.622,-7.597,,0.0,0.0
own,CD38_HUMAN_44_300_0,100,1.0,1.0,0.3450691873722613,6.960331086180727,-0.21565520000000007,1.0,0.17,0.92,-7.487,-7.744080000000001,-7.461,-7.7215,0.03,0.0,1.0,1162.507519670837,0.055006274992084415,100,0.93,0.8428658321225772,0.7777777777777778,,-9.943,-9.841,,0.0,0.0
own,HDAC8_HUMAN_1_377_0,100,1.0,1.0,0.387968861337495,7.0227234726014816,0.04807359999999988,1.0,0.74,0.94,,,,,0.020202020202020204,0.0,1.0,2234.166647184033,0.028216675179904404,100,1.0,0.8910402471123677,0.74,,,,,0.0,0.0
own,PA21B_PIG_23_146_0,100,1.0,1.0,0.5512764260500177,7.1134640004557275,0.8092358999999999,1.0,0.81,1.0,,,,,0.29,0.0,1.0,834.2037535627733,0.046185716729002756,100,0.98,0.8088086905558082,0.71,,,,,0.0,0.0
own,P2Y12_HUMAN_1_342_0,100,1.0,1.0,0.39459757043935734,7.066175196263772,-0.5068724999999997,1.0,0.49,0.95,-8.751000000000001,-8.897129999999999,-8.2375,-8.4113,0.05102040816326531,0.01,0.99,1720.4684020464329,0.046686919735585496,100,1.0,0.8822498264073971,0.88,,-10.428,-10.513,,0.0,0.0
own,DIDH_RAT_1_319_0,100,1.0,1.0,0.5508297536086517,6.822421175139369,0.2343344999999999,1.0,0.75,0.96,-6.169,-6.31897,-6.25,-6.44216,0.31,0.0,1.0,674.3829458361547,0.05821275286684235,100,0.99,0.8727340340382096,0.86,,-8.816,-8.838,,0.0,0.0
own,GSTP1_HUMAN_2_210_0,100,1.0,1.0,0.5808761497867779,6.731567631255273,0.007692599999999854,1.0,0.7,0.78,-5.720000000000001,-5.641089999999999,-5.683999999999999,-5.787140000000002,0.67,0.0,1.0,427.352500616833,0.08655880704079433,100,0.38,0.613323412848318,0.21,,-7.102,-7.094,,0.0,0.0
own,BSD_ASPTE_1_130_0,100,1.0,1.0,0.47424189836821656,6.882765935867966,-1.2270091,1.0,0.02,0.96,,,,,0.023529411764705882,0.11,0.9,10083.971015673385,0.07940360119513651,100,0.96,0.7650409549559309,0.79,,,,,0.0,0.0
own,PLCD1_RAT_134_756_0,100,1.0,1.0,0.5487917057077635,5.6901191222137175,0.35007249999999984,1.0,0.0,0.83,-4.871,-4.84567,-5.5975,-5.57909,0.46,0.0,1.0,577.761292662175,0.11969647481347435,100,0.54,0.6589956242460129,0.24,,-5.501,-5.586,,0.0,0.0
own,BGAT_HUMAN_63_353_0,100,1.0,1.0,0.35372361322207235,6.613866183837756,-0.9392043,1.0,0.14,0.9,,,,,0.07,0.0,1.0,1212.1571344257995,0.08112105877912143,100,1.0,0.8487080314570244,0.7,,,,,0.0,0.0
own,UBE2T_HUMAN_1_156_0,100,1.0,1.0,0.47960659346218504,7.153433747297682,0.6963066000000001,1.0,1.0,0.79,-4.558,-3.834800000000001,-4.4535,-4.37426,0.17346938775510204,0.34,0.98,920.1566831749001,0.027073442860268422,100,0.98,0.9068126009046122,0.82,,-4.231,-4.195,,0.0,0.0
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.4772926178352719,6.305763627572013,-0.6562536000000003,1.0,0.91,0.98,-4.0555,-4.2657300000000005,-4.3325,-4.496099999999999,0.49,0.0,1.0,457.07351673589665,0.07639514995770086,100,0.85,0.8085288708633209,0.34,,-2.969,-3.129,,0.0,0.0
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.3792401685206107,7.2157687229390115,0.8214682000000003,0.99,0.0,0.94,,,,,0.06060606060606061,0.0,1.0,935.1609937006691,0.10095313877831062,100,0.98,0.6791559113167887,0.65,,,,,0.0,0.0
own,IPMK_HUMAN_49_416_0,100,1.0,1.0,0.476971002279193,6.89810356639098,0.5513333999999999,1.0,0.0,0.98,,,,,0.18,0.0,1.0,799.1368767633357,0.10334335274199546,100,0.87,0.6784106937657632,0.46,,,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,100,1.0,1.0,0.5068989362631067,7.275806129939567,0.14139129999999991,1.0,0.96,0.98,-4.633,-4.358340000000001,-4.9215,-4.700100000000001,0.04,0.0,1.0,1667.2233845372707,0.05021256938014532,100,1.0,0.898305691577802,0.9,,-4.114,-4.138,,0.0,0.0
own,CHOD_BREST_46_552_0,100,1.0,1.0,0.5255002415410622,7.19233700963816,0.4584549,1.0,0.93,0.99,-6.382,-6.421949999999999,-6.255,-6.368950000000001,0.06,0.0,1.0,1549.0154660471394,0.04651620090226725,100,1.0,0.9023903465637882,0.92,,-9.593,-9.585,,0.0,0.0
own,PHP_SULSO_1_314_0,100,1.0,1.0,0.40462308032317545,6.755677974598954,-0.011144300000000034,1.0,0.96,1.0,,,,,0.84,0.0,1.0,393.1570147269782,0.040198084487167246,100,0.4,0.482652104793193,0.13,,,,,0.0,0.0
own,MURA_ECOLI_1_419_catalytic_0,100,1.0,1.0,0.46874819306082194,6.614782622000341,-1.6164908,1.0,0.2,1.0,-6.4384999999999994,-6.4908199999999985,-6.2219999999999995,-6.403960000000001,0.11702127659574468,0.0,1.0,1247.735927403158,0.06393681703859583,100,0.96,0.855357376850836,0.65,,-6.997,-7.012,,0.0,0.0
