model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,CCPR_YEAST_69_361_0,100,1.0,1.0,0.45810338445275806,6.551582068696077,0.06475369999999996,1.0,1.0,1.0,-2.311,-1.889171717171717,-3.395,-3.535797979797979,-4.966,-5.220848484848485,0.59,0.33,0.79,346.98220307692975,0.012412480912906133,100,0.89,0.8775761325792009,0.38,,-4.53,-4.526,-5.915,0.01,0.01
own,DPO4_SULSO_1_347_0,100,1.0,1.0,0.4438122177437032,6.350787161347,-0.35794230000000005,1.0,1.0,0.97,-0.894,-0.82402,-1.756,-1.7379599999999997,-4.0845,-3.9668799999999993,0.39,0.07,0.94,410.5705793616205,0.03940827686756507,100,0.96,0.8663112634068864,0.36,,-3.699,-3.625,-4.94,0.0,0.0
own,CHOD_BREST_46_552_0,97,1.0,1.0,0.46486233162556356,6.952702237234039,0.2128136082474226,1.0,0.979381443298969,0.9690721649484536,-2.304,-2.1671546391752576,-3.813,-3.8908041237113404,-5.234,-5.496484536082474,0.20618556701030927,0.30927835051546393,0.7731958762886598,816.5056545326488,0.03960028119028313,97,1.0,0.9071125883489872,0.6288659793814433,,-9.593,-9.585,-9.649,0.0,0.0
own,PYRE_BACAN_1_210_0,97,1.0,1.0,0.5094845361507515,6.335271061444661,-0.04731835051546399,1.0,0.6082474226804123,0.9896907216494846,,,,,,,0.35051546391752575,0.6597938144329897,0.5876288659793815,510.08744168503245,0.07115472841859839,97,0.9587628865979382,0.8431173771199689,0.6597938144329897,,,,,0.0,0.0
own,PA2B8_DABRR_1_121_0,100,1.0,1.0,0.4678360194314767,6.729324203726816,0.016099799999999987,1.0,0.97,0.98,-1.081,-1.0396400000000001,-1.939,-2.00923,-4.395,-4.561199999999999,0.18,0.11,0.92,700.8076190799612,0.04001156287750386,100,1.0,0.9024290682960312,0.67,,-3.9,-3.872,-5.913,0.0,0.0
own,IPMK_HUMAN_49_416_0,95,1.0,1.0,0.562869542557536,6.610639887444401,-0.07290189473684222,1.0,0.7473684210526316,0.9894736842105263,,,,,,,0.5894736842105263,0.07368421052631578,0.9263157894736842,297.8109479737214,0.0691817994178086,95,0.631578947368421,0.773938319041784,0.2736842105263158,,,,,0.0,0.0
own,TRAR_RHIRD_1_234_0,95,1.0,1.0,0.5019521384690131,6.919259333745948,0.45600463157894744,1.0,1.0,0.9578947368421052,-4.272,-4.4709157894736835,-5.827,-6.0913894736842105,-7.173,-7.367642105263157,0.09473684210526316,0.3157894736842105,0.7684210526315789,906.3554743759411,0.05326781690067232,95,1.0,0.9136222447607891,0.7263157894736842,,-7.622,-7.597,-8.125,0.0,0.0
own,TBK1_HUMAN_1_303_0,95,1.0,1.0,0.5175531062670888,7.18875519679495,0.005474105263157837,1.0,0.9578947368421052,1.0,-3.927,-4.0784,-5.299,-5.0974315789473685,-6.293,-6.414326315789474,0.14736842105263157,0.12631578947368421,0.9052631578947369,1033.033171393854,0.051437388684823164,95,0.9473684210526315,0.8949596795156286,0.7446808510638298,,-7.946,-7.963,-8.647,0.0,0.0
own,BGL07_ORYSJ_25_504_0,96,1.0,1.0,0.4158658046526969,6.666396627683423,-0.5223644791666666,1.0,0.8333333333333334,0.9791666666666666,-2.297,-1.4012916666666666,-4.151,-4.274583333333333,-6.541,-6.7739166666666675,0.1875,0.875,0.6354166666666666,782.7507768724844,0.054001120805394154,96,1.0,0.8921527320931154,0.5729166666666666,,-10.768,-10.77,-10.805,0.0,0.0
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.5695846065518115,6.650285767295599,-0.33265670000000014,1.0,0.58,0.96,,,,,,,0.66,0.03,0.97,301.7506200591239,0.08581016857257763,100,0.76,0.6871368156472197,0.43,,,,,0.0,0.0
own,XANLY_BACGL_26_777_0,97,1.0,1.0,0.48319790740971175,6.167916465763902,-0.660627525773196,1.0,0.9278350515463918,0.9690721649484536,-2.729,-0.10122680412371125,-4.421,-4.383051546391753,-6.245,-6.2949793814433,0.44329896907216493,1.3814432989690721,0.5773195876288659,430.04429405291353,0.06932278647735313,97,1.0,0.8731887941106287,0.7525773195876289,,-6.218,-6.287,-7.338,0.0,0.0
