model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,TNKS2_HUMAN_948_1162_0,100,1.0,1.0,0.4404263269218077,6.884184373045809,0.2886641,1.0,0.08,0.99,-6.1175,-5.21056,-7.0065,-6.6193100000000005,-8.711,-8.794270000000001,0.31,0.37,0.78,700.8486482961722,0.059661787191475184,100,0.86,0.6858763505484791,0.66,,-12.255,-12.212,-12.31,0.0,0.0
own,PA21B_PIG_23_146_0,100,1.0,1.0,0.5512764260500177,7.1134640004557275,0.8092358999999999,1.0,0.81,1.0,,,,,,,0.33,0.03,0.97,759.1284566052684,0.046185716729002756,100,0.98,0.8088086905558082,0.71,,,,,0.0,0.0
own,HDAC8_HUMAN_1_377_0,100,1.0,1.0,0.41608052823488045,7.186034976915696,-0.03372850000000009,1.0,0.92,0.96,,,,,,,0.02,0.2,0.85,1643.334662906072,0.02590839899743279,100,1.0,0.8918046523311188,0.66,,,,,0.0,0.0
own,PHKG1_RABIT_6_296_ATPsite_0,100,1.0,1.0,0.37685085695869175,7.1669234762385505,0.5352083,0.99,0.0,0.99,-6.46,-6.515649999999999,-7.766500000000001,-7.554220000000002,-9.459,-9.30917,0.06,0.08,0.92,871.5827878220887,0.10146533852898056,100,0.93,0.6110922162955961,0.56,,-7.398,-7.99,-9.047,0.0,0.0
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.5202190286964226,6.638460329841597,0.4266464,1.0,0.99,0.92,-3.4985,-3.1750000000000007,-4.4825,-4.416219999999999,-5.595000000000001,-5.605629999999999,0.21,0.17,0.89,796.5943851054247,0.060066856850556787,100,1.0,0.9064413990422817,0.8686868686868687,,-4.563,-4.542,-5.189,0.0,0.0
own,SQHC_ALIAD_1_631_0,100,1.0,1.0,0.4316337627411269,7.140295394781597,0.5422584,1.0,0.68,0.93,-4.380000000000001,-0.62562,-6.765,-6.438389999999999,-8.695,-8.95011,0.05,2.2,0.47,1767.5245379587063,0.04656105191176213,100,1.0,0.8886600811503812,0.85,,-11.36,-11.395,-12.713,0.0,0.0
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.47045396186299165,6.037462932055276,-0.5142752,1.0,1.0,0.99,-1.727,-1.3438900000000005,-3.5895,-3.5589699999999995,-5.6865000000000006,-5.611039999999999,0.7,0.36,0.79,225.20520087120832,0.09242233592650333,100,0.91,0.846266987521221,0.26,,-2.969,-3.129,-4.912,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.4577251837549474,6.492624632411236,-0.41426720000000006,1.0,0.99,0.94,-3.2035,-2.97528,-4.0905000000000005,-4.08758,-4.9685,-5.08653,0.46,0.12,0.88,299.1679024344031,0.04376117651459221,100,0.92,0.896265527023891,0.49,,-3.697,-3.697,-3.54,0.0,0.0
own,POL_FOAMV_861_1060_0,100,1.0,1.0,0.4288788317836335,6.839723949830574,-1.0012998,1.0,0.61,0.98,,,,,,,0.14,1.7,0.36,1203.0635291404965,0.041839206836942665,100,0.99,0.891581930177219,0.74,,,,,0.0,0.0
own,BGAT_HUMAN_63_353_0,100,1.0,1.0,0.3734388608825763,6.5576680014491515,-0.7017994999999999,1.0,0.55,0.88,,,,,,,0.11,0.22,0.82,1107.5798729171042,0.08058756715283405,100,1.0,0.851599395639335,0.61,,,,,0.0,0.0
