model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,ABL2_HUMAN_274_551_0,100,0.94,0.32978723404255317,0.24225895025389593,6.557640896164701,0.23590308510638602,0.32978723404255317,0.776595744680851,0.9787234042553191,-7.492,-6.912499999999999,-7.833,-7.314350000000001,-8.233,-7.918379999999998,0.2826086956521739,0.06,0.96,2202.0947366251517,0.07444498272519172,94,0.9787234042553191,0.7933766420233129,0.7340425531914894,,-8.209,-8.216,-8.614,0.0,0.0
own,ACE_HUMAN_650_1230_0,100,1.0,1.0,0.2782195117890574,4.105729679543516,-2.456599999999999,1.0,1.0,1.0,-3.8175,-3.8133700000000004,-4.257,-4.2311,-4.7524999999999995,-4.94452,1.0,0.0,1.0,246.4250147913603,0.19999999999999996,100,0.01,0.0,0.01,,-4.487,-4.446,-4.68,0.0,0.0
own,AK1BA_HUMAN_1_316_0,100,1.0,0.4,0.6320312499602848,4.0229739629973,2.1234136000000006,1.0,1.0,0.98,,,,,,,0.43,0.02,0.98,1551.289515433233,0.04210422741996714,100,0.82,0.6250895855070762,0.25,,,,,0.0,0.0
own,AKT1_HUMAN_1_137_0,100,0.99,0.9595959595959596,0.5011427029358035,7.0925565596172895,0.4586562626262626,0.98989898989899,0.9090909090909091,0.9090909090909091,-6.0855,-4.42442,-7.771,-7.392430000000001,-9.361,-8.848769999999998,0.08080808080808081,2.13,0.53,1552.42995549255,0.032211813110330334,99,0.9696969696969697,0.859757913944264,0.9090909090909091,,-14.151,-14.334,-15.144,0.0,0.0
own,AROE_THET8_1_263_0,100,0.96,0.84375,0.31831484000406607,4.365385843682351,-1.7240568749999996,1.0,0.96875,0.9895833333333334,-4.3155,-1.7240899999999997,-4.7035,-4.745209999999999,-5.9795,-5.819920000000001,0.7526881720430108,1.39,0.7,500.24205644695184,0.10414392618389284,96,0.625,0.7691340898415419,0.21875,,-5.533,-5.587,-6.263,0.01,0.01
own,ATS5_HUMAN_262_480_0,100,0.99,0.1919191919191919,0.26053037155332204,5.198259789251047,-0.22061090909090775,1.0,0.7272727272727273,1.0,-3.8545,-3.4392999999999994,-4.805,-4.619720000000001,-6.5825,-6.4610199999999995,0.5612244897959183,1.23,0.19,1364.8357809281406,0.0653907495543814,99,0.9494949494949495,0.7495644941480264,0.30303030303030304,,-7.591,-7.975,-8.684,0.0,0.0
own,BACE2_HUMAN_76_460_0,100,1.0,0.9,0.2364287272203541,5.222045710281313,5.0859901000000045,0.2,0.25,1.0,,,,,,,0.33,0.23,0.8,2212.640207635511,0.11437422479028378,100,0.93,0.6345188772839663,0.48,,,,,0.0,0.0
own,BAPA_SPHXN_30_402_0,100,0.98,0.6122448979591837,0.381251752358572,6.241604881199802,-0.5314211224489785,0.9387755102040817,0.7755102040816326,0.9795918367346939,,,,,,,0.20408163265306123,1.23,0.23,1587.452697283112,0.0625725220411141,98,1.0,0.9352249247207262,0.826530612244898,,,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,100,0.94,0.6702127659574468,0.4483344489382682,6.221429858087975,0.5375051063829791,1.0,0.9680851063829787,0.9680851063829787,-2.121,-2.22768,-2.98,-2.9385299999999988,-5.097,-5.07953,0.07446808510638298,0.08,0.93,1960.5543747885758,0.04173376548876329,94,1.0,0.9377078919844156,0.723404255319149,,-4.114,-4.138,-5.463,0.0,0.0
own,BGAT_HUMAN_63_353_0,100,1.0,0.49,0.26135712518770815,6.061263668395148,-2.971848099999994,0.69,0.41,0.97,,,,,,,0.21,0.58,0.61,1927.3827824485306,0.10399631690341497,100,1.0,0.9045416529671642,0.74,,,,,0.0,0.0
