model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,CCPR_YEAST_69_361_0,100,1.0,1.0,0.4632319992939217,6.943982838362399,0.35600829999999994,1.0,0.98,0.98,-2.2295,-1.6747199999999998,-3.933,-4.049970000000001,-5.886,-5.991480000000001,0.2,0.44,0.72,791.8655348402656,0.018037555796718195,100,1.0,0.9125215269475198,0.59,,-4.53,-4.526,-5.915,0.0,0.0
own,XANLY_BACGL_26_777_0,100,1.0,1.0,0.44001777877783427,6.576910692890845,-0.7041503,1.0,0.73,0.99,-2.5869999999999997,-0.01639999999999991,-4.677,-4.741169999999999,-6.8870000000000005,-6.891579999999999,0.23,1.7,0.45,747.7766359025748,0.07638410349606635,100,1.0,0.8763838567504338,0.75,,-6.218,-6.287,-7.338,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2rhy_A_rec,100,1.0,1.0,0.4238710985768789,7.117671049762472,-0.13252720000000007,1.0,0.99,1.0,-1.5165,-1.6984899999999998,-2.408,-2.4009900000000006,-4.3165,-4.404310000000001,0.15,0.02,0.98,565.977014872795,0.035206918317934315,100,0.82,0.8534880492170653,0.38,,-2.888,-2.816,-3.684,0.0,0.0
own,GRK4_HUMAN_1_578_0,100,1.0,1.0,0.5616400633559119,6.806695371301825,-0.04702590000000008,0.99,0.35,0.98,-5.0325,-5.18346,-5.810499999999999,-5.853480000000001,-6.9015,-6.9531600000000005,0.41,0.04,0.96,365.9141449193022,0.09415091875674644,100,0.84,0.6838678256812578,0.45,,-6.741,-6.829,-7.4,0.0,0.0
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.53125681354391,6.319887017635872,-0.23179820000000007,1.0,0.29,0.97,,,,,,,0.27,1.03,0.4,611.3159311220064,0.07704810633876362,100,0.96,0.8017462843694554,0.81,,,,,0.0,0.0
own,ODBB_THET8_1_324_0,100,1.0,1.0,0.5418686546289666,7.2540181328769044,1.5350906999999996,1.0,0.24,0.99,-7.112,-7.16851,-8.8215,-8.644440000000001,-9.8875,-9.805169999999999,0.43,1.32,0.2,564.2265656028972,0.09756876003757645,100,0.58,0.46298677272755095,0.23,,-9.046,-9.036,-9.418,0.0,0.0
own,PHP_SULSO_1_314_0,100,1.0,1.0,0.43328558721850663,6.68869877666827,-0.018800200000000013,1.0,0.96,1.0,,,,,,,0.55,0.22,0.86,349.6443703599818,0.04438952685808681,100,0.76,0.7366668124804172,0.24,,,,,0.0,0.0
own,CHIA_SERMA_19_563_0,100,1.0,1.0,0.420461081468776,6.987709404706013,0.1846744,1.0,1.0,0.98,,,,,,,0.22,0.93,0.65,683.0869758499376,0.011025638038905302,100,0.98,0.9141646678806923,0.46,,,,,0.0,0.0
own,NPD_THEMA_1_246_0,100,1.0,1.0,0.46282486967533365,6.772180538703696,-0.0014512000000000524,1.0,0.99,1.0,,,,,,,0.09,0.37,0.72,1401.714987023722,0.04449365030580504,100,1.0,0.9120889260424959,0.73,,,,,0.0,0.0
own,TBK1_HUMAN_1_303_0,100,1.0,1.0,0.5768173341730212,6.931347637337682,0.055263299999999876,1.0,0.97,0.96,-5.313000000000001,-5.126169999999999,-6.645,-6.097599999999999,-7.5969999999999995,-7.394830000000001,0.3434343434343434,0.09,0.92,728.860584187054,0.06100602354541634,100,0.83,0.835699529169765,0.74,,-7.946,-7.963,-8.647,0.01,0.01
own,CPXB_BACMB_2_464_0,100,1.0,1.0,0.5017259419574767,7.13214248528279,0.9165164000000001,1.0,0.77,1.0,-4.3845,-4.32256,-6.0305,-6.06359,-7.7044999999999995,-7.865400000000002,0.21,0.56,0.67,922.6864223978805,0.047469238005258624,100,1.0,0.8807238673983308,0.74,,-6.203,-6.176,-5.822,0.0,0.0
own,CHOD_BREST_46_552_0,100,1.0,1.0,0.4623547041602032,7.134019983057601,0.22046099999999996,1.0,0.99,0.97,-2.707,-2.40062,-4.439500000000001,-4.5064,-6.093,-6.22817,0.1,0.38,0.78,1081.9327126594526,0.04380103990760352,100,1.0,0.9049009233636356,0.82,,-9.593,-9.585,-9.649,0.0,0.0
own,MURA_ECOLI_1_419_catalytic_0,100,1.0,1.0,0.4809961756684034,6.54127174507428,-1.0369888,1.0,0.76,0.98,-1.763,0.8436400000000001,-4.4485,-4.47789,-6.541,-6.788390000000001,0.33,1.76,0.41,680.3984564642294,0.05363539084736,100,0.98,0.8875437457221665,0.65,,-6.997,-7.012,-9.12,0.0,0.0
own,EXG1_CANAL_41_438_0,100,1.0,1.0,0.4608110553853561,6.535121854228823,-0.4901045,1.0,1.0,0.93,,,,,,,0.27,0.41,0.68,588.7993462775232,0.03032386018322131,100,0.97,0.8808878037416912,0.55,,,,,0.0,0.0
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.4091809539622131,6.692750597865187,-0.6660079000000002,1.0,0.79,0.93,-2.691,-1.5688799999999998,-4.749499999999999,-4.75665,-7.298,-7.285270000000001,0.15,1.14,0.56,908.2607097508205,0.05736857576426699,100,1.0,0.8895173895671075,0.69,,-10.768,-10.77,-10.805,0.0,0.0
own,IPMK_HUMAN_49_416_0,100,1.0,1.0,0.6070370146290691,6.654259945025233,-0.4770673000000002,1.0,0.81,0.99,,,,,,,0.6,0.08,0.95,370.18345276720163,0.0865689805666652,100,0.66,0.7137140128111632,0.34,,,,,0.0,0.0
own,BACE2_HUMAN_76_460_0,100,1.0,1.0,0.4154182981981964,6.426187714875035,0.9464316999999999,1.0,0.35,1.0,,,,,,,0.34,0.1,0.9,829.2061420657095,0.04224091742091862,100,0.98,0.6530032850328611,0.97,,,,,0.0,0.0
own,NOS1_HUMAN_302_723_0__4d7o_A_rec,100,1.0,1.0,0.4553523239775086,7.02698830573134,-0.031045000000000083,1.0,0.84,0.96,-0.46199999999999997,6.961560000000002,-3.6425,-3.35504,-7.177,-7.164289999999999,0.15,3.75,0.44,946.1218186037199,0.017856131362027853,100,1.0,0.8984998343166434,0.71,,-5.881,-6.164,-10.757,0.0,0.0
own,PA2B8_DABRR_1_121_0,100,1.0,1.0,0.46177538295945014,6.761464224397026,0.10035079999999999,1.0,0.87,0.97,-1.3525,-1.1591999999999998,-2.1285,-2.2352299999999996,-4.7725,-4.99517,0.15,0.15,0.9,988.6389543704133,0.044276380332172786,100,1.0,0.8982883024175555,0.72,,-3.9,-3.872,-5.913,0.0,0.0
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.5370084617615563,6.759740065156941,-0.2161805000000001,1.0,0.46,0.98,,,,,,,0.42,0.03,0.97,364.85542661875945,0.09393711403155793,100,0.72,0.6650727577285351,0.45,,,,,0.0,0.0
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.46702407888202574,7.0895512926326525,0.12800219999999995,1.0,0.91,0.99,-1.1669999999999998,2.72489,-4.6675,-4.71461,-6.177,-6.416690000000001,0.16,2.64,0.37,953.4062674941639,0.04964453987328322,100,1.0,0.9059942187315382,0.77,,-9.723,-9.795,-10.573,0.0,0.0
own,DPO4_SULSO_1_347_0,100,1.0,1.0,0.42023179557311885,6.483073995432457,-0.34002440000000006,1.0,0.98,0.96,-0.8725,0.31822000000000006,-1.9645000000000001,-1.92757,-4.297000000000001,-4.3850999999999996,0.17,0.47,0.92,829.7085948752617,0.0460626345410268,100,0.98,0.8714870929192302,0.46,,-3.699,-3.625,-4.94,0.0,0.0
own,TRAR_RHIRD_1_234_0,100,1.0,1.0,0.5083802846967953,6.909892537209235,0.45517430000000003,1.0,1.0,0.98,-4.9115,-4.422700000000001,-5.9395,-6.193490000000001,-7.736000000000001,-7.915350000000001,0.17,0.53,0.64,951.181387480051,0.05834655426248972,100,1.0,0.9042715486867613,0.71,,-7.622,-7.597,-8.125,0.0,0.0
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.5630308766779483,6.849140583691087,0.5330835999999999,1.0,1.0,0.95,,,,,,,0.45,0.01,0.99,378.7799508351912,0.059481854706307076,100,0.63,0.7288037059510173,0.42,,,,,0.0,0.0
own,PPIA_HUMAN_1_165_0,100,1.0,1.0,0.5190596166332352,6.940752072730683,-0.4215326,1.0,1.0,1.0,-4.382,-4.12181,-5.0615,-5.08927,-6.2725,-6.24355,0.51,0.15,0.95,460.93006777368055,0.07555484971174536,100,0.84,0.7000830339217462,0.41,,-5.686,-5.88,-6.069,0.0,0.0
