model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,TNKS2_HUMAN_948_1162_0,100,1.0,1.0,0.4411553465764304,7.189773255657013,0.06023589999999995,1.0,0.76,0.97,-5.534000000000001,-4.713579999999999,-6.634,-6.5363299999999995,-8.747499999999999,-8.757510000000002,0.02,0.6,0.71,2406.284566026361,0.0523002315966077,100,1.0,0.8991229254434364,0.95,,-12.255,-12.212,-12.31,0.0,0.0
own,PA21B_PIG_23_146_0,100,1.0,1.0,0.5869897453647632,6.543682761227145,0.3241593,1.0,0.97,0.99,,,,,,,0.75,0.06,0.95,471.00462460773286,0.059824433683609735,100,0.83,0.6129016194054462,0.58,,,,,0.0,0.0
own,HDAC8_HUMAN_1_377_0,100,1.0,1.0,0.4145279370567959,7.08104082801588,-0.11677300000000006,1.0,0.87,0.97,,,,,,,0.0,0.38,0.78,1929.6413413143803,0.026337483292627136,100,1.0,0.8943608130238064,0.69,,,,,0.0,0.0
own,PHKG1_RABIT_6_296_ATPsite_0,100,1.0,1.0,0.44749198532072837,7.172171414657816,0.7222196,1.0,0.0,0.99,-6.8535,-6.81581,-7.8454999999999995,-7.800979999999999,-9.2735,-9.316040000000001,0.16,0.07,0.93,902.1535402003492,0.11028220874493216,100,0.78,0.423407717874264,0.32,,-7.398,-7.99,-9.047,0.0,0.0
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.5082184351270684,6.429547939793715,0.3055192,1.0,0.95,0.98,-1.7065000000000001,1.6424599999999998,-4.2735,-3.54291,-6.023,-6.023660000000001,0.34,1.97,0.48,456.859600301918,0.05961871789514747,100,0.79,0.8343568636684306,0.61,,-4.563,-4.542,-5.189,0.0,0.0
own,SQHC_ALIAD_1_631_0,100,1.0,1.0,0.31239642490724623,7.021539342433844,-0.5116512,0.96,0.12,0.7,0.8875,3.5853099999999993,-6.2955000000000005,-4.7009,-9.9805,-9.964030000000001,0.08,4.33,0.1,1237.9299512327698,0.06493151514407451,100,0.99,0.7954201128519751,0.71,,-11.36,-11.395,-12.713,0.0,0.0
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.458402268019413,6.710364463576571,0.054110599999999946,1.0,1.0,0.99,-2.2435,-2.2260999999999997,-3.556,-3.59983,-5.4864999999999995,-5.482760000000001,0.79,0.11,0.9,109.27197917387889,0.06571703493788926,100,0.91,0.893007287501465,0.52,,-2.969,-3.129,-4.912,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.4601705825677744,6.474103870934496,-0.9956873,1.0,0.97,0.99,-2.496,-1.12417,-4.074999999999999,-4.090610000000001,-4.884,-5.216719999999999,0.58,0.86,0.69,318.70585856173693,0.06071097155649053,100,0.84,0.8471312197647934,0.43,,-3.697,-3.697,-3.54,0.0,0.0
own,POL_FOAMV_861_1060_0,100,1.0,1.0,0.4584360334253275,7.042297942775832,0.3916506000000001,1.0,0.75,0.96,,,,,,,0.08,2.08,0.23,1328.4429711696405,0.04648845540396787,100,1.0,0.8966852366572388,0.9696969696969697,,,,,0.0,0.0
own,BGAT_HUMAN_63_353_0,100,1.0,1.0,0.4304510244960705,6.368607777009196,-1.1091909000000002,1.0,0.35,0.9,,,,,,,0.07,0.47,0.73,1152.304920371282,0.07795145392524656,100,1.0,0.8232228779834592,0.83,,,,,0.0,0.0
own,ACE_HUMAN_650_1230_0,100,1.0,1.0,0.48215273394187996,5.231525210022759,-0.7734009000000002,1.0,1.0,1.0,-3.75,-3.7269399999999995,-4.2010000000000005,-4.17629,-4.754,-4.92619,1.0,0.01,0.99,79.91999214320201,0.10714285714285715,100,0.02,0.09888888888888892,0.01,,-4.487,-4.446,-4.68,0.0,0.0
own,EFTU1_ECOLI_2_178_0,100,1.0,1.0,0.46707340064115116,6.610822122326322,-0.5491885,1.0,0.0,1.0,,,,,,,0.76,1.08,0.07,590.0653073350837,0.11309383045251357,100,0.41,0.5117428120623673,0.3,,,,,0.0,0.0
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.5473016339490343,6.732544099608225,-0.34871390000000024,0.97,0.13,0.99,-4.122,-3.7255656565656565,-5.967,-5.895767676767676,-8.995,-8.89939393939394,0.61,0.67,0.59,474.17535083880114,0.10740372379986435,100,0.73,0.6567052893363479,0.53,,-7.182,-7.475,-8.656,0.0,0.0
own,GLMU_STRPN_2_459_0,100,1.0,1.0,0.48584088698806965,6.7597373023848935,-0.01159820000000002,1.0,0.98,0.97,-1.86,0.8290499999999998,-3.7039999999999997,-3.7532299999999994,-6.1395,-6.27932,0.18,1.2,0.73,913.0679220024409,0.04569411202002672,100,1.0,0.9074215333856868,0.79,,-7.314,-7.322,-6.765,0.0,0.0
own,CDK6_HUMAN_1_312_0__4aua_A_rec,100,1.0,1.0,0.5054425386339334,6.951332170184284,-0.24726999999999996,1.0,1.0,0.96,-4.002,-3.9969699999999992,-5.5845,-5.5525199999999995,-7.390000000000001,-7.4482099999999996,0.23,0.23,0.88,762.488742640269,0.04943453208617789,100,0.99,0.9075600624611063,0.86,,0.736,-2.224,-7.697,0.0,0.0
own,ATS5_HUMAN_262_480_0,100,1.0,1.0,0.4608004194378102,7.100301857592935,-0.4815374000000001,1.0,0.8,1.0,-4.8865,-4.730690000000001,-6.250500000000001,-6.37688,-8.0925,-8.20005,0.09,0.72,0.5,1272.0278500551838,0.0440868555357563,100,0.99,0.8686841063716808,0.88,,-7.591,-7.975,-8.684,0.0,0.0
own,RIBB_VIBCH_2_218_0,100,1.0,1.0,0.4688044874082687,5.387263302175654,-0.08199230000000003,1.0,0.01,0.99,,,,,,,1.0,2.8,0.0,240.29312733093207,0.13646531762810832,100,0.11,0.28281094680228136,0.01,,,,,0.0,0.0
own,NOS1_HUMAN_302_723_0__3tym_A_rec,100,1.0,1.0,0.48642162295783714,7.02355341585111,0.7165410000000001,1.0,0.68,0.97,0.6445000000000001,1.9983100000000003,-4.3955,-4.310740000000001,-8.293,-8.300489999999998,0.23,1.89,0.29,877.8694535854238,0.024158935261570667,100,0.96,0.8488826481879246,0.74,,-6.362,-6.564,-10.475,0.0,0.0
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3460044803237507,7.35895464582997,0.4433108999999999,1.0,0.97,1.0,,,,,,,0.13,0.04,0.97,840.9967850811447,0.12188631831532103,100,0.51,0.4700371805723754,0.39,,,,,0.0,0.0
own,IMA1_HUMAN_68_497_0,100,1.0,1.0,0.4095641902501037,6.17581706874892,-0.7564591000000002,1.0,0.85,0.94,,,,,,,0.16,0.07,0.93,728.4886683285455,0.017596999514968355,100,0.99,0.8802051659078104,0.6,,,,,0.0,0.0
own,CAT_ECOLX_1_219_0,100,1.0,1.0,0.546249580821093,6.117030712441714,1.0133208999999999,1.0,1.0,1.0,-3.1959999999999997,-3.079190000000001,-5.992,-5.89217,-8.1985,-8.217999999999998,0.46,1.17,0.37,398.644373540855,0.1572553457482465,100,0.24,0.28628000435850554,0.12,,-6.342,-6.328,-7.974,0.0,0.0
own,NOS3_HUMAN_65_480_0__4kcq_A_rec,100,1.0,1.0,0.47385031716266257,7.043341915005962,0.6096761000000004,1.0,0.59,1.0,-2.635,-1.4793900000000002,-4.673,-4.813860000000001,-8.657,-8.59725,0.15,1.02,0.58,958.2266662894467,0.029188712216475513,100,1.0,0.8964516752694917,0.91,,-5.3,-5.43,-8.676,0.01,0.01
own,VAOX_PENSI_1_560_0,100,1.0,1.0,0.6248580665413326,6.7088050176432485,0.16289669999999976,1.0,0.0,0.99,-7.4245,-7.47412,-8.851,-8.84749,-9.9805,-9.95818,0.93,0.12,0.89,317.48066643802315,0.12796997949031264,100,0.26,0.29335554895862104,0.15,,-9.531,-9.555,-10.435,0.0,0.0
