model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.3590609259904548,6.401438529551687,-1.0305101,1.0,1.0,0.99,0.57,0.9,0.55,160.94579700819762,0.07103647970330097,100,0.3,0.6800438014805377,0.24,,,,,0.0,0.0,,,,,,
own,DFPA_LOLVU_2_314_0,100,1.0,1.0,0.6344359820688877,7.309066217494856,0.8857466999999997,1.0,1.0,1.0,0.84,0.01,0.99,165.29771663225853,0.1180621897164353,100,0.15,0.21587417465492875,0.09,,-6.005,-5.998,-6.115,0.0,0.0,-5.803000000000001,-5.5224199999999986,-6.104,-5.96857,-6.475,-6.444969999999999
own,TIAM1_HUMAN_840_931_0,100,1.0,1.0,0.4664122414713334,6.316701909877055,-0.8475776000000002,1.0,0.81,0.89,0.15,0.22,0.82,787.6809784652069,0.040376858189729165,100,1.0,0.8642222955955959,0.69,,-3.822,-3.764,-5.623,0.0,0.0,-1.5150000000000001,-1.33303,-2.69,-2.6708799999999995,-4.584,-4.70712
own,SDIA_ECOLI_1_171_0,100,1.0,1.0,0.5036817029809548,6.35743936188804,-1.0554152999999997,1.0,0.99,0.98,0.87,0.16,0.94,272.09611186637676,0.055467350894654766,100,0.58,0.6331715888371996,0.21,,-5.641,-5.766,-6.685,0.0,0.0,-5.2490000000000006,-4.80256,-6.021,-6.03083,-7.046,-7.23182
own,NQO1_HUMAN_2_274_0__1dxo_C_rec,100,1.0,1.0,0.43098607943840045,6.514697405679683,-0.5886273000000002,1.0,0.55,0.9,0.1,0.34,0.82,966.027045066495,0.04715297605384963,100,1.0,0.8749284383791637,0.71,,-3.341,-3.251,-5.869,0.0,0.0,-1.1965,-0.73836,-2.9775,-2.9903999999999997,-6.0184999999999995,-6.10503
own,GSTP1_HUMAN_2_210_0,100,1.0,1.0,0.6980457123767377,6.401353002965859,1.0817412999999998,1.0,0.68,0.35,0.74,0.0,1.0,176.85387364864388,0.10909514560407586,100,0.07,0.14124636663609913,0.07,,-7.102,-7.094,-8.741,0.0,0.0,-6.851,-6.8264999999999985,-7.153,-7.13323,-8.714,-8.740149999999998
own,BAPA_SPHXN_30_402_0,100,1.0,1.0,0.52642927039819,7.003668648434235,0.19615249999999992,1.0,0.88,0.92,0.17,1.69,0.21,861.6396737454622,0.04860267583771063,100,1.0,0.9052156464439214,0.87,,,,,0.0,0.0,,,,,,
own,M3K14_HUMAN_321_678_0,100,1.0,1.0,0.5505316426011779,7.0968665767965184,-0.04851220000000006,1.0,0.97,1.0,0.35,0.68,0.63,538.9541916430635,0.08130190830719661,100,0.69,0.7620529649772081,0.61,,-4.781,-4.766,-7.221,0.0,0.0,-4.1835,-3.114609999999999,-5.4785,-4.751049999999999,-8.247,-8.217949999999998
own,OLIAC_CANSA_1_101_0,100,1.0,1.0,0.6241262865194906,6.413880104053379,0.4014429,1.0,1.0,1.0,0.53,0.03,0.97,259.4997891934585,0.07660904730388302,100,0.34,0.5739755329184084,0.11,,,,,0.0,0.0,,,,,,
own,F16P1_HUMAN_1_338_0,100,1.0,1.0,0.476833156292277,6.852235093232347,-0.1213862000000001,1.0,0.76,0.97,0.16,0.49,0.73,1586.4272579679,0.05475817275719902,100,0.98,0.9006583949139119,0.78,,-7.793,-7.678,-7.814,0.0,0.0,-3.593,-3.1981,-5.6405,-5.421800000000001,-6.864000000000001,-6.83706
own,PTGIS_HUMAN_20_500_0,100,1.0,1.0,0.632138489268095,6.832199798777108,-0.01000079999999992,1.0,0.96,1.0,0.53,0.25,0.84,349.474291935941,0.03695520224533256,100,0.87,0.849267060900314,0.74,,-4.367,-4.468,-6.569,0.0,0.0,-3.1580000000000004,-2.8596099999999995,-4.4575,-4.418669999999999,-6.927,-6.94369
own,NAGZ_VIBCH_1_330_0,100,1.0,1.0,0.5252525893182214,6.640458134477769,-0.8136311999999998,1.0,0.12,0.9,0.73,0.53,0.68,513.4725163030596,0.10829680682265051,100,0.57,0.522198740967261,0.49,,-5.324,-5.274,-6.995,0.0,0.0,-2.8615,-2.2725899999999997,-4.7325,-4.67448,-7.074,-7.020159999999999
own,UBE2T_HUMAN_1_156_0,100,1.0,1.0,0.5624108903618709,7.058134261023427,0.7016342,1.0,1.0,0.99,0.64,0.25,0.84,172.19345946294234,0.08876942774209581,100,0.43,0.705045878391596,0.32,,-4.231,-4.195,-4.832,0.01,0.01,-2.348,-1.89435,-3.827,-3.7687699999999995,-4.7585,-4.87622
own,NOS2_HUMAN_78_505_0,100,1.0,1.0,0.4713921072903583,5.8951091136182985,0.18781729999999996,1.0,1.0,0.96,0.66,0.21,0.84,184.41427168682628,0.01416783275610729,100,0.84,0.8753755989469321,0.68,,-2.539,-2.606,-3.801,0.08,0.05,-1.9365,-1.7360499999999996,-3.482,-3.5112400000000004,-6.51,-6.459960000000001
own,COAA_MYCTU_1_312_0,100,1.0,1.0,0.49868943677099603,6.866039622250359,0.22114170000000002,0.98,0.0,0.99,0.49,0.07,0.95,693.4671778165057,0.09989447388113963,100,0.65,0.5174217637871753,0.35,,-7.296,-7.362,-9.47,0.0,0.0,-5.9755,-5.95895,-7.048,-7.098040000000001,-9.5,-9.51707
own,Y635_MYCTU_1_158_0,100,1.0,1.0,0.5203909739193847,7.139425128550401,0.4029830999999999,1.0,0.97,0.96,0.22,0.22,0.82,982.5989599593582,0.048037030462520294,100,1.0,0.9008242406491449,0.79,,-8.665,-8.632,-8.71,0.0,0.0,-4.8565000000000005,-4.9324200000000005,-6.321,-6.33803,-7.984999999999999,-8.016529999999998
own,DPP2_HUMAN_27_492_0,100,1.0,1.0,0.5108023055881932,6.853450849012842,-0.06401010000000007,1.0,1.0,1.0,0.52,0.37,0.73,254.33701138524208,0.045392709973925714,100,0.96,0.8978090269158642,0.65,,-4.81,-4.809,-5.686,0.01,0.01,-3.0054999999999996,-2.2269,-4.721500000000001,-4.63692,-5.904,-5.96931
own,QPCT_HUMAN_33_361_0,100,1.0,1.0,0.4744937989002611,6.8129193980624585,-0.9161305000000003,1.0,1.0,1.0,0.97,0.62,0.38,161.23313155618297,0.037215439219165924,100,0.17,0.5400821991803089,0.08,,-5.434,-5.419,-6.283,0.0,0.0,-3.8120000000000003,-3.73176,-4.3325,-4.339429999999999,-5.396,-5.44404
own,PLCD1_RAT_134_756_0,100,1.0,1.0,0.6128652489284995,5.3856768316602,0.4457207,1.0,0.0,0.72,0.85,0.58,0.46,401.70091822185174,0.12141935193090614,100,0.22,0.3493837994716681,0.16,,-5.501,-5.586,-6.581,0.14,0.03,-5.1045,-4.942079999999999,-5.938000000000001,-5.807040000000001,-6.79,-6.819789999999999
own,CD38_HUMAN_44_300_0,100,1.0,1.0,0.40284372644914085,6.7457082802863315,-0.24043260000000008,0.99,0.01,0.87,0.1,1.63,0.35,784.5966783936096,0.05517792680484437,100,0.68,0.6559700731886658,0.44,,-9.943,-9.841,-10.071,0.0,0.0,-2.5125,-1.50975,-5.984,-5.871720000000002,-9.210999999999999,-9.13592
own,KS6A3_HUMAN_41_357_0,100,1.0,1.0,0.46437922874322224,7.135038880631291,0.4550098999999998,1.0,0.0,0.95,0.46,0.11,0.89,703.1441979065236,0.12341582865467401,100,0.52,0.37868242630502835,0.17,,-8.532,-8.596,-8.986,0.0,0.0,-7.229,-7.171889999999999,-8.7365,-8.59327,-9.397,-9.39561
own,HMD_METJA_1_358_0,100,1.0,1.0,0.2756493718605128,6.952046594563269,-1.2082793,0.7,0.0,0.84,0.32,2.26,0.21,813.1399456773435,0.10134413639157051,100,0.97,0.7125526950948751,0.93,,-9.087,-9.415,-9.865,0.0,0.0,-2.6125,-1.55178,-6.8075,-5.915239999999999,-8.8255,-8.71897
own,BSD_ASPTE_1_130_0,100,1.0,1.0,0.4344701927387431,6.484390865720405,-1.1415163,1.0,0.22,0.73,0.13,7.63,0.02,1076.5227485363516,0.059590922807033445,100,1.0,0.8740337138760851,0.93,,,,,0.0,0.0,,,,,,
own,AKT1_HUMAN_1_137_0,100,1.0,1.0,0.3880024799153089,7.2001781202355515,0.020016600000000037,1.0,0.76,0.96,0.02,0.26,0.83,2546.110255935406,0.03296771254481585,100,1.0,0.90004221113221,0.94,,-14.151,-14.334,-15.144,0.0,0.0,-6.0905000000000005,-5.97772,-6.679,-6.98698,-8.306,-8.601
own,PAC_ECOLX_27_846_0,100,1.0,1.0,0.49497286814000235,6.66364740213826,-0.2282407000000001,1.0,0.99,0.99,0.44,2.65,0.35,412.561756054498,0.07514934148741281,100,0.97,0.8581698295351636,0.52,,-6.871,-6.932,-6.968,0.0,0.0,-0.7685,3.0167699999999993,-4.2765,-3.4278899999999997,-5.9510000000000005,-6.01518
