model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,CCPR_YEAST_69_361_0,100,1.0,1.0,0.5652839867075956,6.481991119985671,0.11427969999999982,0.99,0.44,0.96,-3.1875,-0.9703800000000001,-5.7045,-5.836169999999999,-7.888,-7.941560000000002,0.58,1.42,0.52,429.88210008736417,0.03112973933199492,100,0.8,0.82162429171838,0.6,,-4.53,-4.526,-5.915,0.0,0.0
own,DPO4_SULSO_1_347_0,100,1.0,1.0,0.4946242333028551,6.707344143205026,-0.6437960000000003,1.0,0.44,0.96,-1.0565,2.3309800000000003,-2.7960000000000003,-2.6992700000000007,-5.67,-5.7302,0.09,1.5,0.65,1127.7831801375537,0.07182069100253546,100,1.0,0.8621992707337858,0.83,,-3.699,-3.625,-4.94,0.0,0.0
own,CHOD_BREST_46_552_0,100,1.0,1.0,0.6610516591634576,6.484007065889913,-0.2919026999999999,1.0,0.78,1.0,-2.2565,-0.96797,-5.3805,-5.0338,-7.9105,-7.802969999999999,0.75,1.36,0.4,358.4531110722854,0.04707967093670238,100,0.61,0.7860818543668335,0.39,,-9.593,-9.585,-9.649,0.0,0.0
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.5303583131896538,6.220826078969587,0.2982741999999999,1.0,0.05,0.92,,,,,,,0.5,1.65,0.31,595.7962362248518,0.08845328513562635,100,0.7,0.6728785923538525,0.49,,,,,0.0,0.0
own,PA2B8_DABRR_1_121_0,100,1.0,1.0,0.49690445611095674,6.807319943911282,-0.14684580000000003,1.0,0.49,0.97,-1.0095,-0.29298,-2.6174999999999997,-2.48176,-5.827,-5.87149,0.18,0.63,0.66,1173.7961230099752,0.041903287709290735,100,0.99,0.8890162136566406,0.84,,-3.9,-3.872,-5.913,0.0,0.0
own,IPMK_HUMAN_49_416_0,100,1.0,1.0,0.478653142565504,6.981996751851269,0.12050839999999984,0.99,0.0,0.97,,,,,,,0.23,0.44,0.66,768.9238114999919,0.11150899433735298,100,0.8,0.5949711915638571,0.5,,,,,0.0,0.0
own,TRAR_RHIRD_1_234_0,100,1.0,1.0,0.5262036884403484,7.189069661639277,0.3599159,1.0,0.97,1.0,-6.319,-5.541740000000001,-7.785500000000001,-7.516189999999999,-9.4555,-9.680660000000001,0.1,0.72,0.73,1214.0714987225258,0.06021859417018304,100,1.0,0.898666891784824,0.93,,-7.622,-7.597,-8.125,0.0,0.0
own,TBK1_HUMAN_1_303_0,100,1.0,1.0,0.5584515334900552,7.115289177812308,0.09714369999999993,1.0,0.86,0.99,-5.2505,-4.86943,-6.742,-6.31241,-7.9245,-7.84543,0.33,0.21,0.82,1000.8813698694526,0.06252951848981829,100,0.76,0.8354587755295225,0.68,,-7.946,-7.963,-8.647,0.0,0.0
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.2516880343441475,6.962221425323429,-0.4216893000000001,0.97,0.07,0.79,-1.2715,-0.46871,-6.3545,-6.02036,-9.885,-9.91655,0.07,3.02,0.09,1363.5744930861374,0.05531375306030037,100,1.0,0.85392221003463,0.95,,-10.768,-10.77,-10.805,0.0,0.0
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.38127153426615573,7.244979274804743,0.46570090000000003,1.0,0.0,0.96,,,,,,,0.09,0.11,0.89,1103.4256067278266,0.10991371382390992,100,0.92,0.6258126886438835,0.52,,,,,0.0,0.0
own,XANLY_BACGL_26_777_0,100,1.0,1.0,0.46938187540360027,6.419033126581422,-0.9922921000000001,1.0,0.68,0.87,-0.5225,1.0243699999999998,-4.8345,-4.80849,-7.045,-7.090449999999999,0.39,2.41,0.26,542.8229962957515,0.070989700737811,100,0.99,0.8602010516385736,0.82,,-6.218,-6.287,-7.338,0.0,0.0
own,EXG1_CANAL_41_438_0,100,1.0,1.0,0.48113785401311715,6.140361825837606,-0.6914214999999999,1.0,1.0,0.82,,,,,,,0.97,0.19,0.83,124.26846815224678,0.029657346960585015,100,0.12,0.2588854030066131,0.12,,,,,0.0,0.0
