model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean
own,BSD_ASPTE_1_130_0,100,1.0,1.0,0.3658786272555762,6.909212544443314,-1.2060348999999997,1.0,0.14,0.86,0.020833333333333332,0.36,0.96,34550.483831821824,0.06458894848325893,100,1.0,0.8803196342423937,0.95,,,,,0.0,0.0,,,,
own,LAT_MYCTU_1_449_0,100,1.0,1.0,0.49835608385736757,6.507213203633085,0.2252325999999999,1.0,0.88,0.99,0.27,0.0,1.0,464.2191932223885,0.09253405947736795,100,0.54,0.6550178109102177,0.3,,-6.276,-6.186,,0.0,0.0,-6.657500000000001,-6.6319791666666665,-6.9285,-6.849666666666668
own,GUX1_HYPJE_18_451_0,100,1.0,1.0,0.6819430014256044,7.3821278374545125,1.0450449000000004,1.0,0.96,0.98,0.06060606060606061,0.0,1.0,1286.2858437231066,0.046472644577665874,100,0.84,0.6621358152040354,0.47,,,,,0.0,0.0,,,,
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.5360106917839476,6.763358392979988,-0.2644544000000002,0.95,0.06,0.98,0.061224489795918366,0.0,1.0,1965.3381463194096,0.11049021424803561,100,0.71,0.643433334727125,0.57,,-7.182,-7.475,,0.0,0.0,-6.121,-6.108727272727273,-6.401,-6.350111111111111
own,IMA1_HUMAN_68_497_0,100,1.0,1.0,0.400714371256078,6.579388841722858,-0.9089223000000001,1.0,0.45,0.89,0.030612244897959183,0.0,1.0,1375.4940512464325,0.021380099998449174,100,1.0,0.8766519956858918,0.9,,,,,0.0,0.0,,,,
own,CCPR_YEAST_69_361_0,100,1.0,1.0,0.5625332510855992,6.702615012419996,0.2926715999999998,0.99,0.33,0.97,0.030927835051546393,0.02,0.99,3181.5578126665164,0.03445813394218862,100,0.79,0.7886447370708473,0.68,,-4.53,-4.526,,0.0,0.0,-6.0655,-5.91242,-6.314,-6.30822
own,DPO4_SULSO_1_347_0,100,1.0,1.0,0.46386037049508133,6.82156685450802,-0.5442349000000002,1.0,0.27,0.96,0.04081632653061224,0.02,0.99,2264.491076107656,0.07421021996660751,100,1.0,0.868398297118247,0.9,,-3.699,-3.625,,0.0,0.0,-2.141,-2.2464899999999997,-2.92,-2.9151299999999996
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.4656474503676949,6.4915657527564425,-0.8472658999999999,1.0,1.0,1.0,0.010638297872340425,0.03,0.98,6574.711486502945,0.03598389828183587,100,0.54,0.7558227101992814,0.47,,,,,0.0,0.0,,,,
own,UBE2T_HUMAN_1_156_0,100,1.0,1.0,0.6077387843026253,7.233759528179239,1.0207338,1.0,0.99,0.98,0.02,0.01,0.99,2895.3529048851,0.05732023932959441,100,0.91,0.873336870929748,0.71,,-4.231,-4.195,,0.0,0.0,-4.5235,-4.30334,-4.131,-4.057300000000001
own,CHOD_BREST_46_552_0,100,1.0,1.0,0.6157740468451119,6.327370462061607,-0.5240936999999998,1.0,0.62,1.0,0.010416666666666666,0.0,1.0,3056.757221626914,0.046801345911316045,100,0.5,0.7212402646514526,0.24,,-9.593,-9.585,,0.0,0.0,-5.515499999999999,-5.53596,-5.609,-5.6487799999999995
