model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,ABL2_HUMAN_274_551_0,100,0.97,1.0,0.1332093498005329,6.281981319506632,-0.535316494845356,0.0,0.9690721649484536,1.0,-7.9365000000000006,-8.05032,-8.4225,-8.59826,-9.011,-9.152360000000002,0.8969072164948454,0.0,1.0,1335.8139757232582,0.14746014138069927,97,0.9587628865979382,0.20173895526913155,0.061855670103092786,,-8.209,-8.216,-8.614,0.0,0.0
own,ACE_HUMAN_650_1230_0,100,1.0,1.0,0.2782195117890574,4.105729679543516,-2.456599999999999,1.0,1.0,1.0,-3.75,-3.7269399999999995,-4.2010000000000005,-4.17629,-4.754,-4.92619,1.0,0.01,0.99,240.50301859234756,0.19999999999999996,100,0.01,0.0,0.01,,-4.487,-4.446,-4.68,0.0,0.0
own,AK1BA_HUMAN_1_316_0,100,0.99,0.9696969696969697,0.614976815676723,3.9411456386413097,2.7563036363636386,1.0,1.0,1.0,,,,,,,0.4948453608247423,0.26,0.93,1125.126408562504,0.05881096276392058,99,0.494949494949495,0.1705582243718914,0.1111111111111111,,,,,0.0,0.0
own,AKT1_HUMAN_1_137_0,100,0.82,0.8902439024390244,0.39648116927982774,7.026793701404903,0.4012753658536589,0.975609756097561,0.8780487804878049,0.9878048780487805,-4.365,-4.498666666666666,-5.3165,-5.344260416666665,-6.7940000000000005,-6.877177083333332,0.05,0.6,0.68,1887.2587075556287,0.029914511228600137,82,1.0,0.9211974276828604,0.8048780487804879,,-14.151,-14.334,-15.144,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,0.98,0.30276435763986626,4.017190984004158,-2.1137032999999996,1.0,0.97,0.99,-4.663,-4.45903,-5.2065,-4.98631,-6.233499999999999,-5.992290000000001,0.95,0.09,0.95,360.6012257749321,0.12401958060477858,100,0.22,0.5093687363598333,0.09,,-5.533,-5.587,-6.263,0.0,0.0
own,ATS5_HUMAN_262_480_0,100,0.97,0.6701030927835051,0.3787210583761181,6.437458157021338,0.23672886597938217,0.979381443298969,0.8350515463917526,0.9896907216494846,-3.139,-3.2172929292929298,-4.535,-4.6339999999999995,-6.619,-6.701787878787878,0.16842105263157894,0.93,0.43,1913.1262697510647,0.04923587122034737,97,1.0,0.9358452209438887,0.7835051546391752,,-7.591,-7.975,-8.684,0.0,0.0
own,BACE2_HUMAN_76_460_0,100,0.99,0.5454545454545454,0.29305159416965676,5.984539313863527,2.00105878787879,0.5252525252525253,0.5757575757575758,0.9797979797979798,,,,,,,0.29896907216494845,0.58,0.58,2123.362163979187,0.0701321197298011,99,1.0,0.9019306655515975,0.8282828282828283,,,,,0.0,0.0
own,BAPA_SPHXN_30_402_0,100,0.95,0.6631578947368421,0.4048241182476072,5.806695190834891,0.1366805263157901,0.9473684210526315,0.8736842105263158,0.9894736842105263,,,,,,,0.25263157894736843,1.65,0.2,1581.7159033338132,0.06754175201753133,95,1.0,0.9364639331578319,0.7473684210526316,,,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,100,0.98,0.8367346938775511,0.4855035695077687,5.794323517446874,0.528154591836735,1.0,0.9897959183673469,0.9897959183673469,-3.159,-3.2182999999999997,-3.7095,-3.72641,-5.6884999999999994,-5.6798399999999996,0.2765957446808511,0.0,1.0,1153.0783222073858,0.047129271131746836,98,1.0,0.9371301809455702,0.7142857142857143,,-4.114,-4.138,-5.463,0.08,0.05
own,BGAT_HUMAN_63_353_0,100,0.98,0.6020408163265306,0.3178210826161869,5.8199452737815065,-2.5725959183673437,0.673469387755102,0.46938775510204084,0.9183673469387755,,,,,,,0.21428571428571427,0.66,0.6,1635.0666849809254,0.12662578293102525,98,0.9897959183673469,0.8957100030448071,0.8469387755102041,,,,,0.0,0.0
