model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,ABL2_HUMAN_274_551_0,100,1.0,0.27,0.16006512506973572,6.033962326220896,0.028171500000004467,0.02,0.82,1.0,-7.846,-7.851659999999999,0.03,0.0,1.0,1727.1383048476919,0.07593143993322646,100,0.98,0.28846830332192375,0.09,,-8.209,,,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,0.89,0.32738412551310325,4.514227801153137,-1.9746454999999994,1.0,0.98,0.98,-4.8705,-4.722389999999999,0.09,0.06,0.97,1116.4259214997523,0.10155166538936894,100,0.56,0.7872955245177529,0.25,,-5.533,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,100,0.92,0.6413043478260869,0.5276263773639007,5.577615335986966,0.9035961956521742,1.0,0.9891304347826086,1.0,-3.5785,-3.43537,0.11235955056179775,0.35,0.93,1002.6436206782462,0.047586906388999956,92,1.0,0.9347736910887856,0.7065217391304348,,-4.114,,,0.0,0.0
own,BTRN_BACCI_2_250_0,100,0.97,0.35051546391752575,0.18904076969332978,6.033832296614573,-4.016350721649478,0.24742268041237114,0.061855670103092786,1.0,-4.3025,-4.288889999999999,0.23958333333333334,0.88,0.52,1657.8227707399176,0.14676010099928993,97,0.9896907216494846,0.7177130223366053,0.422680412371134,,-8.326,,,0.0,0.0
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,100,1.0,0.98,0.4353197661479629,4.6085827260834655,-0.7454153000000002,1.0,0.98,1.0,-7.85,-7.690939999999999,0.64,0.07,0.93,863.9771770633914,0.03212935522740965,100,0.97,0.07743879595136682,0.04,,-7.547,,,0.0,0.0
own,CHIB_SERMA_1_499_0__1h0i_A_rec,100,0.95,0.7578947368421053,0.43985662768520234,4.867859876775325,-0.8663741052631574,0.9894736842105263,0.9789473684210527,1.0,,,0.07608695652173914,1.82,0.26,1151.0144297853765,0.09113822813829868,95,0.9789473684210527,0.890227670341985,0.631578947368421,,,,,0.0,0.0
own,CONA_CANCT_1_237_0,100,1.0,0.53,0.3380492380863309,4.8758465857751085,-2.0240964999999966,0.97,0.41,1.0,-4.0760000000000005,-3.5464800000000003,0.18,0.35,0.82,1345.602746430699,0.17964508131599088,100,0.8,0.8246214568223333,0.36,,-5.215,,,0.0,0.0
own,DHAK_ECOLI_1_356_0,100,1.0,0.49,0.3833400542407079,2.9378229983218658,-1.1786697,1.0,1.0,1.0,-1.754,-0.6634099999999999,0.14,0.5,0.9,554.7294391680964,0.14221007977887185,100,0.37,0.7250960535503033,0.08,,-2.459,,,0.0,0.0
own,DYRK2_HUMAN_145_550_0,100,0.98,0.8571428571428571,0.4118967690288845,6.115972512952509,0.393666734693879,1.0,0.9897959183673469,0.9897959183673469,-7.891500000000001,-7.36117,0.2653061224489796,0.15,0.95,1438.0239999361706,0.08090050113209882,98,0.9795918367346939,0.689657838798754,0.37755102040816324,,-8.83,,,0.0,0.0
own,FKB1A_HUMAN_2_108_0,100,1.0,0.44,0.25673796474855365,5.999342909924742,2.6228272000000015,0.84,0.17,1.0,-2.645,-2.7727400000000006,0.04,0.6,0.57,2742.0003488791845,0.10965006121429384,100,0.98,0.8357524042360501,0.75,,-7.352,,,0.0,0.0
