model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,ABL2_HUMAN_274_551_0,100,0.97,1.0,0.11965049086160774,6.262600735434058,-0.723674226804119,0.010309278350515464,1.0,1.0,-7.7330000000000005,-7.73213,0.9072164948453608,0.0,1.0,1205.2345669805018,0.14157481409259343,97,0.8556701030927835,0.2144634752349025,0.07216494845360824,,-8.209,,,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,0.98,0.3029287747780416,3.9646663570544223,-2.0550485999999997,1.0,0.99,1.0,-4.736,-4.56565,0.98,0.03,0.97,327.3913991434745,0.1273720947995577,100,0.18,0.4541423166984676,0.07,,-5.533,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,100,0.96,0.8541666666666666,0.5031855509580044,5.53758910787408,0.8330232291666672,1.0,0.9791666666666666,1.0,-3.315,-3.19691,0.34375,0.03,0.97,768.5218457447171,0.043519100340672745,96,0.96875,0.9266819878499901,0.6145833333333334,,-4.114,,,0.0,0.0
own,BTRN_BACCI_2_250_0,100,1.0,0.44,0.19053685239286908,5.899159877555194,-4.199040299999995,0.1,0.04,1.0,-3.7264999999999997,-3.61553,0.75,0.69,0.49,1085.494152406457,0.20199025727828335,100,0.89,0.48667352390452434,0.22,,-8.326,,,0.0,0.0
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,100,1.0,1.0,0.4316825495920231,4.607473360861234,-0.8223533000000003,1.0,1.0,1.0,-7.6045,-7.563760000000001,0.59,0.05,0.95,786.7014768437353,0.03175312446498887,100,0.9,0.024486799816345384,0.02,,-7.547,,,0.0,0.0
own,CHIB_SERMA_1_499_0__1h0i_A_rec,100,0.85,0.9058823529411765,0.43047707175996863,5.17003116474996,-1.1479604705882347,1.0,1.0,1.0,,,0.44047619047619047,2.06,0.25,698.1709211738103,0.10115632863790928,85,0.9176470588235294,0.8464531469353144,0.611764705882353,,,,,0.0,0.0
own,CONA_CANCT_1_237_0,100,1.0,0.81,0.3514140413345978,4.861846531741424,-1.917386299999997,0.92,0.45,0.96,-3.5705,-3.40881,0.69,0.24,0.81,645.1558333422788,0.21949237339085836,100,0.65,0.7495603614603863,0.37,,-5.215,,,0.0,0.0
own,DHAK_ECOLI_1_356_0,100,1.0,0.91,0.3875369541629156,3.353140370127238,-1.2056495000000003,1.0,1.0,1.0,-2.052,-1.7388099999999997,0.6,0.23,0.95,224.82399998352315,0.15043028953903564,100,0.29,0.6673604538941993,0.08,,-2.459,,,0.0,0.0
own,DYRK2_HUMAN_145_550_0,100,1.0,0.93,0.3669256538475361,6.215117895756241,0.21046630000000166,1.0,0.99,0.99,-7.686999999999999,-7.206429999999999,0.79,0.06,0.94,1178.0746602804181,0.08824734953304197,100,0.98,0.5861171545467779,0.26,,-8.83,,,0.0,0.0
own,FKB1A_HUMAN_2_108_0,100,0.99,0.6666666666666666,0.3271446653010591,6.351671325187219,2.0580320202020213,0.9494949494949495,0.32323232323232326,1.0,-2.92,-2.65341,0.23232323232323232,1.12,0.24,1819.9729389859097,0.10700434914045565,99,0.9595959595959596,0.81162004418575,0.8181818181818182,,-7.352,,,0.0,0.0
own,GUX1_HYPJE_18_451_0,100,1.0,0.99,0.766982009534906,3.7283227378538557,2.5865753000000007,1.0,1.0,1.0,,,0.85,0.02,0.98,524.2624959629695,0.3130582950878895,100,0.29,0.16075461540326275,0.1,,,,,0.0,0.0
own,IDHP_HUMAN_40_452_0,100,0.89,0.8764044943820225,0.4282989202942088,6.752619256145582,0.9071798876404502,0.9550561797752809,0.9101123595505618,0.9775280898876404,,,0.09090909090909091,5.68,0.04,1723.8373083470071,0.035034438075866065,89,1.0,0.9345480857273915,0.7191011235955056,,,,,0.0,0.0
own,LAT_MYCTU_1_449_0,100,1.0,0.99,0.3299185191156566,5.768705776943309,-1.9342169999999987,1.0,0.99,1.0,-4.4879999999999995,-4.70559,0.97,0.06,0.98,3469.213653850944,0.06744874899112185,100,0.47,0.11739351851851865,0.02,,-6.276,,,0.0,0.0
own,MCCF_ECOLX_1_344_0,100,0.97,0.711340206185567,0.3228989851353857,6.166278007296866,-2.2319714432989657,0.711340206185567,0.5567010309278351,0.979381443298969,,,0.31958762886597936,1.97,0.34,1034.084684050912,0.07103245375672164,97,1.0,0.9199783182835297,0.8144329896907216,,,,,0.0,0.0
own,NEP_HUMAN_54_750_0,100,0.97,0.5979381443298969,0.3369187293951452,5.44251319320876,-0.30568999999999874,0.9587628865979382,0.6494845360824743,1.0,-3.3685,-2.66993,0.35051546391752575,1.33,0.32,1371.2001061677124,0.06196919485426458,97,1.0,0.9123060460280282,0.7731958762886598,,-8.689,,,0.0,0.0
own,NOS3_HUMAN_65_480_0__1rs9_A_rec,100,0.94,0.851063829787234,0.4592899844062548,4.033860109190283,-0.4493563829787231,1.0,1.0,1.0,-1.963,-1.9214000000000004,0.5591397849462365,0.13,0.93,390.78466638296567,0.09145643903567503,94,0.9893617021276596,0.8838730948138437,0.32978723404255317,,-3.024,,,0.0,0.0
own,NQO1_HUMAN_2_274_0__1gg5_A_rec,100,0.94,0.7553191489361702,0.462960844991112,6.519973135261286,0.3396620212765969,0.9361702127659575,0.8297872340425532,1.0,-0.513,0.30146,0.18888888888888888,1.79,0.35,1683.4731504924926,0.05455806703200597,94,1.0,0.9239593670092235,0.8936170212765957,,-5.798,,,0.0,0.0
own,P2Y12_HUMAN_1_342_0,100,0.92,0.7717391304347826,0.37495885261472317,6.3136147238485245,0.7396009782608705,0.9239130434782609,0.7391304347826086,1.0,-1.527,0.10331632653061218,0.11956521739130435,4.58,0.07,1919.6869164154614,0.05256727604105562,92,1.0,0.9357827495369667,0.8043478260869565,,-10.428,,,0.0,0.0
own,PAK4_HUMAN_291_591_ATP_0,100,1.0,1.0,0.6254393182504289,4.111684271447663,1.7255000000000005,1.0,1.0,1.0,-7.2965,-7.2841200000000015,0.97,0.0,1.0,550.4884811738054,0.24590163934426226,100,0.1,0.0,0.01,,-7.77,,,0.0,0.0
own,PNTM_STRAE_2_398_0,100,1.0,0.9,0.5438661544393102,5.115542142457978,0.6662002,1.0,0.98,1.0,,,0.49,0.08,0.95,1473.2715220350467,0.13554425182581278,100,0.69,0.7854248293369903,0.44,,,,,0.0,0.0
