model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,ABL2_HUMAN_274_551_0,100,0.99,1.0,0.1466604211716137,6.39895331766688,-0.48116535353534884,0.020202020202020204,0.9696969696969697,1.0,-7.9615,-8.03789,0.6464646464646465,0.0,1.0,1424.6227956757612,0.14257889022379916,99,0.9393939393939394,0.16939970684075278,0.09090909090909091,,-8.209,,,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,0.98,0.30272727083673956,4.004105683795234,-2.1151771999999998,1.0,0.97,0.99,-4.6615,-4.4713,0.95,0.08,0.96,405.4745170327574,0.12401958060477858,100,0.23,0.5091796596382654,0.09,,-5.533,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,100,0.97,0.8350515463917526,0.47913946132805746,5.6783629158244775,0.4306051546391755,1.0,1.0,1.0,-3.2705,-3.23399,0.3020833333333333,0.05,0.98,1046.9359384412817,0.04787087101171517,97,0.979381443298969,0.936288057891183,0.7010309278350515,,-4.114,,,0.0,0.0
own,BTRN_BACCI_2_250_0,100,0.99,0.5050505050505051,0.19569496184786797,5.986926031704314,-4.032254040404035,0.1717171717171717,0.08080808080808081,1.0,-3.811,-3.6182300000000005,0.6060606060606061,0.78,0.52,1254.2560457636223,0.1963768369587516,99,0.898989898989899,0.5928520140666986,0.35353535353535354,,-8.326,,,0.0,0.0
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,100,0.99,1.0,0.4363608122560444,4.62156031832573,-0.7974615151515154,1.0,1.0,1.0,-7.6065000000000005,-7.494390000000002,0.6767676767676768,0.07,0.93,830.0073206632617,0.03213353094411672,99,0.9090909090909091,0.062096123529659764,0.030303030303030304,,-7.547,,,0.0,0.0
own,CHIB_SERMA_1_499_0__1h0i_A_rec,100,0.95,0.8947368421052632,0.4242703738967819,5.232813726536558,-1.064845368421052,0.9894736842105263,0.9894736842105263,1.0,,,0.30434782608695654,1.91,0.28,730.138731728605,0.1072303507201136,95,0.9473684210526315,0.8723967192577657,0.6947368421052632,,,,,0.0,0.0
own,CONA_CANCT_1_237_0,100,1.0,0.72,0.3478962645777582,4.9585741079092545,-2.0424645999999975,0.9,0.43,0.98,-3.6079999999999997,-3.17402,0.56,0.15,0.86,757.9166258312902,0.20571705070309843,100,0.77,0.792777947610203,0.41,,-5.215,,,0.0,0.0
own,DHAK_ECOLI_1_356_0,100,1.0,0.86,0.38031623498313116,3.3003796505936998,-1.2158657000000002,1.0,1.0,1.0,-1.8955,-1.44032,0.78,0.39,0.93,158.71373120166862,0.14528400309776612,100,0.35,0.7125664934819269,0.13,,-2.459,,,0.0,0.0
own,DYRK2_HUMAN_145_550_0,100,0.98,0.9285714285714286,0.3791556418785799,6.284332299609161,0.3318888775510217,1.0,0.9693877551020408,0.9897959183673469,-8.090499999999999,-7.2550300000000005,0.6458333333333334,0.03,0.97,1228.9191295581288,0.07596794527767495,98,1.0,0.7184385800816326,0.29591836734693877,,-8.83,,,0.0,0.0
own,FKB1A_HUMAN_2_108_0,100,0.99,0.5858585858585859,0.3073090036020632,6.184875811936712,2.241022121212123,0.9191919191919192,0.32323232323232326,1.0,-2.8810000000000002,-2.7568599999999996,0.11224489795918367,0.66,0.48,2436.0185722329343,0.11175595409642902,99,0.9696969696969697,0.8271596223762175,0.8181818181818182,,-7.352,,,0.0,0.0
own,GUX1_HYPJE_18_451_0,100,1.0,0.98,0.7677793658131258,3.6919381981915,2.6136880000000002,1.0,0.99,1.0,,,0.87,0.05,0.97,586.8742599997561,0.316818971998446,100,0.27,0.16401561014353971,0.1,,,,,0.0,0.0
own,IDHP_HUMAN_40_452_0,100,0.99,0.8787878787878788,0.42677850088917146,6.905538698180846,0.6155804040404046,0.9797979797979798,0.8585858585858586,0.98989898989899,,,0.05102040816326531,5.6,0.02,2153.30853460938,0.03716480167182273,99,1.0,0.9310335540267234,0.7070707070707071,,,,,0.0,0.0
