model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,ABL2_HUMAN_274_551_0,60,0.9833333333333333,1.0,0.14719014797118385,6.324069673035799,-0.5001857627118598,0.03389830508474576,1.0,1.0,-8.107,-8.184366666666667,0.8135593220338984,0.0,1.0,1339.0578615326103,0.14350728219795383,59,0.8813559322033898,0.2535684185951711,0.15254237288135594,,-8.209,,,0.0,0.0
own,AROE_THET8_1_263_0,60,0.8666666666666667,0.9230769230769231,0.34733189346037796,6.68342731614715,0.18455557692307717,0.9423076923076923,0.8461538461538461,0.9615384615384616,-1.105,-0.05005882352941169,0.09615384615384616,8.633333333333333,0.0,966.4387922040703,0.05758195939384507,52,1.0,0.9125183156397056,0.6923076923076923,,-5.533,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,60,0.9166666666666666,0.9272727272727272,0.4562984734036455,6.85459665328256,0.746505272727273,1.0,0.9272727272727272,0.9818181818181818,-2.941,-2.659483333333333,0.09259259259259259,0.08333333333333333,0.9333333333333333,2419.933260423669,0.047966028704837266,55,1.0,0.9210288089133778,0.7454545454545455,,-4.114,,,0.0,0.0
own,BTRN_BACCI_2_250_0,60,0.9666666666666667,0.39655172413793105,0.18746744548410949,6.239350469341003,-3.9174782758620625,0.1206896551724138,0.10344827586206896,1.0,-3.615,-3.643766666666666,0.5689655172413793,0.8166666666666667,0.48333333333333334,1344.8587131728405,0.17123492549084077,58,1.0,0.6753477657741498,0.4827586206896552,,-8.326,,,0.0,0.0
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,60,0.9666666666666667,0.7241379310344828,0.4325398285324766,6.52481134955721,0.14084137931034516,0.9655172413793104,0.7068965517241379,0.6896551724137931,-6.2669999999999995,-5.556883333333333,0.24561403508771928,0.9666666666666667,0.5166666666666667,1298.2235617650094,0.05705918541830381,58,0.9827586206896551,0.8911635343757902,0.9137931034482759,,-7.547,,,0.0,0.0
own,CHIB_SERMA_1_499_0__1h0i_A_rec,60,0.8333333333333334,0.74,0.378221876853203,6.748313240982529,-0.42558319999999905,0.94,0.84,1.0,,,0.08333333333333333,5.1,0.05,1836.82439515471,0.049934574781773086,50,1.0,0.9283880770059101,0.88,,,,,0.0,0.0
own,CONA_CANCT_1_237_0,60,0.95,0.8245614035087719,0.3840995595361137,5.931944516451802,-1.045948771929823,0.8596491228070176,0.6842105263157895,0.8947368421052632,-3.3575,-2.9393000000000007,0.2807017543859649,0.5666666666666667,0.6333333333333333,880.6240867684508,0.10373834138474723,57,1.0,0.8873922199909361,0.49122807017543857,,-5.215,,,0.0,0.0
own,DHAK_ECOLI_1_356_0,60,0.8833333333333333,0.8867924528301887,0.40060985294530455,6.856267087250335,0.5782090566037739,0.9622641509433962,0.9622641509433962,0.9811320754716981,-0.6785,2.419964285714286,0.11320754716981132,3.8666666666666667,0.43333333333333335,1644.6258864741494,0.04831639167786309,53,1.0,0.9205237666782742,0.7169811320754716,,-2.459,,,0.0,0.0
own,DYRK2_HUMAN_145_550_0,60,1.0,0.8333333333333334,0.4504117153004661,6.808450341875996,1.018027500000001,1.0,0.9833333333333333,1.0,-7.608,-7.090883333333333,0.45,0.13333333333333333,0.8833333333333333,1178.3409739332606,0.08630687828082322,60,0.8666666666666667,0.798015025476394,0.55,,-8.83,,,0.0,0.0
own,FKB1A_HUMAN_2_108_0,60,0.9333333333333333,0.9107142857142857,0.35052215566638606,7.172389762709499,0.861659821428572,0.9107142857142857,0.44642857142857145,1.0,-2.8675,-2.675816666666667,0.07142857142857142,1.0333333333333334,0.31666666666666665,1710.8706329017896,0.05658022928700246,56,1.0,0.8333115656308248,0.7857142857142857,,-7.352,,,0.0,0.0
