model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.4667199822010699,6.91843600099618,-0.30275910000000017,0.92,0.01,0.98,-6.888,-7.272040404040404,-7.174,-7.516070707070707,0.4536082474226804,0.0,1.0,786.4059550042491,0.10708398309830897,100,0.81,0.6832420122889111,0.69,,-7.182,-7.475,,0.0,0.0
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.501919177214782,6.343307415970248,0.6531735999999998,1.0,0.0,0.98,,,,,0.26,0.0,1.0,849.4123911174436,0.09273812234317087,100,0.7,0.6605772268200563,0.5,,,,,0.0,0.0
own,NQO1_HUMAN_2_274_0__1dxo_C_rec,100,1.0,1.0,0.38479946224702233,6.524542275371959,-0.9008695999999999,1.0,0.19,0.85,-2.3575,-2.42745,-3.1734999999999998,-3.3391,0.12,0.0,1.0,1170.69216700987,0.051485335665194365,100,1.0,0.8563929351963998,0.88,,-3.341,-3.251,,0.0,0.0
own,EFTU1_ECOLI_2_178_0,100,1.0,1.0,0.46707340064115116,6.610822122326322,-0.5491885,1.0,0.0,1.0,,,,,0.6666666666666666,0.0,1.0,746.6653761727584,0.11309383045251357,100,0.41,0.5117428120623673,0.3,,,,,0.0,0.0
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.21734575169047626,7.063464240958735,-0.3155968000000001,0.94,0.05,0.85,-9.2695,-9.1077,-8.932,-8.93708,0.05,0.03,0.99,2298.418794100347,0.054347780911035704,100,1.0,0.8610691975161666,0.95,,-10.768,-10.77,,0.0,0.0
own,XANLY_BACGL_26_777_0,100,1.0,1.0,0.42519869557587886,6.612939365745635,-0.976542,1.0,0.4,0.81,-5.782500000000001,-5.87428,-5.9235,-6.0078000000000005,0.22,0.0,1.0,945.8848025067556,0.06847748573776327,100,1.0,0.870710364916695,0.87,,-6.218,-6.287,,0.0,0.0
own,PAC_ECOLX_27_846_0,100,1.0,1.0,0.47590871140703145,6.914494644180963,-0.2333379000000001,1.0,0.91,0.99,-6.053000000000001,-6.087759999999999,-5.6785,-5.878819999999998,0.17708333333333334,0.0,1.0,1329.6208101348338,0.06433212634289073,100,0.99,0.8825106355043116,0.78,,-6.871,-6.932,,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.47990438000618296,6.963782882714645,-0.9732454,1.0,0.64,1.0,-5.5634999999999994,-5.580299999999999,-5.3870000000000005,-5.42024,0.13131313131313133,0.01,0.99,1091.5828508970612,0.04916782932383487,100,0.94,0.8654112324660329,0.79,,-3.697,-3.697,,0.0,0.0
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.4732730347014873,6.61155368630072,0.42053909999999994,1.0,0.81,0.94,-5.202,-5.264379999999999,-4.906499999999999,-5.030290000000001,0.25773195876288657,0.0,1.0,827.1558575631068,0.06236330162519163,100,0.77,0.8221197971628792,0.67,,-4.563,-4.542,,0.0,0.0
own,IDHP_HUMAN_40_452_0,100,1.0,1.0,0.42605561410593196,7.310288483626354,0.7828429000000002,1.0,0.63,0.98,,,,,0.0425531914893617,0.18,0.95,2980.349221352176,0.044710361230229756,100,1.0,0.895139009427107,1.0,,,,,0.0,0.0
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.4406304898738995,7.077546740685663,-0.0746297999999999,1.0,0.98,1.0,,,,,0.0,0.26,0.93,2407.087864443565,0.043965030325888596,100,0.99,0.8938169653115774,0.81,,,,,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,1.0,0.3872621890366842,6.706788442910668,0.22621819999999984,1.0,0.62,0.97,-6.089,-5.796222222222222,-6.295,-6.183585858585858,0.1,0.09,0.97,2217.0116631371234,0.06011185399877015,100,1.0,0.8928849445095475,0.85,,-5.533,-5.587,,0.0,0.0
own,RIBB_VIBCH_2_218_0,100,1.0,1.0,0.40845796859063255,6.455337190263883,0.45718719999999985,1.0,0.47,1.0,,,,,0.29292929292929293,0.4,0.85,1950.5765095683134,0.08981752710633167,100,0.83,0.8128773222492334,0.45,,,,,0.0,0.0
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.4472037739276672,6.975175740579282,-0.8322789999999998,1.0,0.5,0.96,-7.801500000000001,-7.6529300000000005,-7.257,-7.286019999999999,0.09183673469387756,0.03,0.98,1454.913517564425,0.06282825751595492,100,1.0,0.8896640584107336,0.9090909090909091,,-9.723,-9.795,,0.0,0.0
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.519650844580454,6.720652279757128,1.6868076000000005,1.0,0.91,0.95,,,,,0.04,0.01,0.99,1145.4880662438832,0.06870796367129162,100,0.73,0.8052549193427583,0.7,,,,,0.0,0.0
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3460044803237507,7.35895464582997,0.4433108999999999,1.0,0.97,1.0,,,,,0.03,0.0,1.0,915.1985893751319,0.12188631831532103,100,0.5,0.4700371805723754,0.39,,,,,0.0,0.0
own,BACE2_HUMAN_76_460_0,100,1.0,1.0,0.3573180141746883,6.8983250944350765,0.5065123000000002,1.0,0.48,0.96,,,,,0.4444444444444444,0.0,1.0,819.4872210370602,0.046081572522410734,100,0.88,0.7701604485759631,0.84,,,,,0.0,0.0
