pdbid,pose,native_score
1a30,1a30_128,19.510308166018
1a30,1a30_130,32.61824013971301
1a30,1a30_139,30.9289661553064
1a30,1a30_140,24.51397109391842
1a30,1a30_144,32.084678051004325
1a30,1a30_167,29.251070184140055
1a30,1a30_170,30.64694013776132
1a30,1a30_186,26.695048405097864
1a30,1a30_187,23.322548841873974
1a30,1a30_22,27.78302994391037
1a30,1a30_221,33.57330968201987
1a30,1a30_222,22.40518477236276
1a30,1a30_267,29.32212254747923
1a30,1a30_270,18.13817562652493
1a30,1a30_284,20.93850135324781
1a30,1a30_296,17.947111105787567
1a30,1a30_314,27.511671850189494
1a30,1a30_319,32.55451748648455
1a30,1a30_336,32.46537679409552
1a30,1a30_348,30.287769056860007
1a30,1a30_35,27.4420059427716
1a30,1a30_353,28.759522690672725
1a30,1a30_388,28.357680687252756
1a30,1a30_407,17.653301143722842
1a30,1a30_418,22.993567152654656
1a30,1a30_450,22.65399826388008
1a30,1a30_452,24.010456506201724
1a30,1a30_490,27.25678734262157
1a30,1a30_498,20.67124162481965
1a30,1a30_538,24.055440110599697
1a30,1a30_559,20.88957380208293
1a30,1a30_569,19.21741249675477
1a30,1a30_577,16.360476841016432
1a30,1a30_6,15.519774041996502
1a30,1a30_653,17.732492931435488
1a30,1a30_664,18.973315820889773
1a30,1a30_667,19.436718937915508
1a30,1a30_670,22.66568050058868
1a30,1a30_671,24.906013796341664
1a30,1a30_704,29.149470060168092
1a30,1a30_705,30.38741154831823
1a30,1a30_706,30.2712022665094
1a30,1a30_709,28.85465757878403
1a30,1a30_712,29.078965828023417
1a30,1a30_718,27.850906900467336
1a30,1a30_731,28.82831169261413
1a30,1a30_733,13.902277489929276
1a30,1a30_736,14.81540557283057
1a30,1a30_743,29.65182248762823
1a30,1a30_744,14.295798945418976
1a30,1a30_747,15.960335511002736
1a30,1a30_75,19.12202726305163
1a30,1a30_754,15.024118006647162
1a30,1a30_759,26.812625638203123
1a30,1a30_797,30.64678700321728
1a30,1a30_828,26.241343668278788
1a30,1a30_86,27.120149486733997
1a30,1a30_868,18.001750662979784
1a30,1a30_87,19.56147451733893
1a30,1a30_883,20.349233857629454
1a30,1a30_899,17.837220420705414
1a30,1a30_90,23.022345517108462
1a30,1a30_920,20.101626860602625
1a30,1a30_935,19.30950438597765
1a30,1a30_938,19.080978782999253
1a30,1a30_940,28.55604780220902
1a30,1a30_942,21.50495093477945
1a30,1a30_944,19.61544984728247
1a30,1a30_955,18.002660715133345
1a30,1a30_972,18.38711759856409
1a30,1a30_985,17.31042457810394
1a30,1a30_992,25.833990078315068
1a30,1a30_997,19.790139647068216
1a30,1a30_999,20.9924152741097
1bcu,1bcu_11,25.33934482441892
1bcu,1bcu_220,20.673579953001468
1bcu,1bcu_270,18.051952410318385
1bcu,1bcu_309,22.158532906986803
1bcu,1bcu_33,22.71688905408526
1bcu,1bcu_334,24.635864552520413
1bcu,1bcu_362,22.59127811229548
1bcu,1bcu_397,19.0783091841384
1bcu,1bcu_406,23.781698595372447
1bcu,1bcu_424,19.273636711008088
1bcu,1bcu_442,22.810895950715132
1bcu,1bcu_451,20.262308312461425
1bcu,1bcu_454,18.545526487074653
1bcu,1bcu_462,15.356989103673348
1bcu,1bcu_469,22.76369103186183
1bcu,1bcu_473,23.296396711669477
1bcu,1bcu_479,16.50403987074114
1bcu,1bcu_483,16.59548422192346
1bcu,1bcu_495,16.138380505107445
1bcu,1bcu_564,3.051193507928682
1bcu,1bcu_585,3.386980272341181
1bcu,1bcu_591,6.915697821480759
1bcu,1bcu_595,10.084013180339731
1bcu,1bcu_608,3.5589802065901504
1bcu,1bcu_617,15.15553729640575
1bcu,1bcu_634,19.03940965731186
1bcu,1bcu_653,18.94064735224763
1bcu,1bcu_661,19.587995410462533
1bcu,1bcu_684,18.77819010176741
1bcu,1bcu_695,12.554398876311224
1bcu,1bcu_701,17.451624129601683
1bcu,1bcu_703,22.51646465642684
1bcu,1bcu_708,4.335615736401907
