pdbid,pose,rmsd,head,pll
1a30,1a30_128,7.020,-5.823309,-1.824087
1a30,1a30_130,2.090,-1.006685,-1.531821
1a30,1a30_139,3.030,-1.651277,-1.818692
1a30,1a30_140,2.700,-1.852552,-2.474410
1a30,1a30_144,2.910,-1.012857,-1.700107
1a30,1a30_167,5.280,-3.344934,-1.808667
1a30,1a30_170,2.970,-1.632734,-1.583025
1a30,1a30_186,4.120,-2.487359,-1.931920
1a30,1a30_187,5.140,-4.843225,-1.680883
1a30,1a30_22,3.870,-1.500495,-1.497286
1a30,1a30_221,4.590,-1.560787,-1.901942
1a30,1a30_222,4.470,-2.195042,-1.642744
1a30,1a30_267,3.760,-2.664539,-1.725421
1a30,1a30_270,8.260,-8.305871,-2.461232
1a30,1a30_284,3.700,-1.839405,-1.647598
1a30,1a30_296,4.510,-2.840972,-1.504151
1a30,1a30_314,4.030,-2.858791,-2.061549
1a30,1a30_319,5.030,-2.863158,-2.107776
1a30,1a30_336,3.000,-1.679250,-1.837222
1a30,1a30_348,2.090,-1.252695,-1.959954
1a30,1a30_35,3.570,-2.006369,-1.845677
1a30,1a30_353,3.150,-1.761857,-1.533612
1a30,1a30_388,4.550,-3.819355,-2.168423
1a30,1a30_407,6.420,-4.903210,-2.623669
1a30,1a30_418,6.020,-4.227975,-1.869854
1a30,1a30_450,6.070,-4.083346,-2.342541
1a30,1a30_452,2.740,-2.456970,-1.630405
1a30,1a30_490,1.790,-1.702942,-1.405663
1a30,1a30_498,4.520,-3.181459,-1.603146
1a30,1a30_538,4.190,-2.960222,-2.486152
1a30,1a30_559,6.230,-5.753316,-2.206314
1a30,1a30_569,5.070,-3.476624,-1.809840
1a30,1a30_577,6.780,-7.441160,-3.071617
1a30,1a30_6,9.650,-8.362328,-2.342667
1a30,1a30_653,5.800,-5.540774,-3.403434
1a30,1a30_664,5.140,-6.140211,-1.767825
1a30,1a30_667,3.510,-2.721696,-2.127463
1a30,1a30_670,5.530,-4.153925,-1.686376
1a30,1a30_671,2.010,-2.422242,-2.245539
1a30,1a30_704,1.900,-1.469425,-2.163450
1a30,1a30_705,1.790,-1.381170,-2.165721
1a30,1a30_706,1.810,-1.335164,-2.187800
1a30,1a30_709,1.910,-1.335772,-2.005222
1a30,1a30_712,1.930,-1.348912,-2.073374
1a30,1a30_718,1.950,-1.547148,-2.188422
1a30,1a30_731,1.840,-1.304449,-1.952241
1a30,1a30_733,9.150,-8.355664,-2.271386
1a30,1a30_736,9.000,-8.361808,-2.431372
1a30,1a30_743,1.880,-1.602614,-1.856931
1a30,1a30_744,9.050,-8.349192,-2.427701
1a30,1a30_747,8.770,-7.923716,-2.086929
1a30,1a30_75,8.070,-8.189031,-2.848230
1a30,1a30_754,8.760,-8.365948,-2.087639
1a30,1a30_759,4.150,-2.393160,-1.476163
1a30,1a30_797,2.820,-2.368832,-1.960568
1a30,1a30_828,3.530,-2.843924,-1.874883
1a30,1a30_86,2.290,-1.648848,-1.940141
1a30,1a30_868,5.560,-5.849670,-2.469715
1a30,1a30_87,9.320,-8.346386,-1.698911
1a30,1a30_883,5.480,-4.616656,-1.795133
1a30,1a30_899,5.380,-4.345756,-1.812003
1a30,1a30_90,3.870,-2.038217,-1.298982
1a30,1a30_920,8.580,-8.196623,-2.458531
1a30,1a30_935,9.200,-8.306231,-2.563086
1a30,1a30_938,9.210,-8.179268,-2.285917
1a30,1a30_940,4.120,-2.139914,-1.989084
1a30,1a30_942,7.330,-8.102349,-2.678616
1a30,1a30_944,8.690,-8.169954,-2.354538
1a30,1a30_955,9.330,-8.317796,-2.355249
1a30,1a30_972,8.830,-8.265169,-2.996788
1a30,1a30_985,8.630,-8.095542,-2.946733
1a30,1a30_992,3.160,-2.078436,-1.638811
1a30,1a30_997,8.430,-8.154052,-2.339379
1a30,1a30_999,7.880,-7.800806,-2.317605
1bcu,1bcu_11,1.000,-1.261998,-2.505292
1bcu,1bcu_220,1.130,-1.092658,-1.621173
1bcu,1bcu_270,3.320,-2.834507,-3.323777
1bcu,1bcu_309,0.360,-0.789251,-1.217982
1bcu,1bcu_33,1.200,-1.324240,-2.200322
1bcu,1bcu_334,0.630,-0.766974,-1.410076
1bcu,1bcu_362,0.590,-1.535448,-2.631550
1bcu,1bcu_397,0.660,-1.009738,-2.449290
1bcu,1bcu_406,0.870,-1.253403,-1.640646
1bcu,1bcu_424,1.830,-3.050909,-2.189964
1bcu,1bcu_442,1.960,-1.821720,-2.364910
1bcu,1bcu_451,3.560,-2.909737,-1.775449
1bcu,1bcu_454,4.570,-4.845973,-2.460990
1bcu,1bcu_462,2.530,-1.490630,-1.753069
1bcu,1bcu_469,2.570,-2.650473,-2.257817
1bcu,1bcu_473,2.560,-2.417909,-1.850015
1bcu,1bcu_479,1.440,-1.384653,-2.368946
1bcu,1bcu_483,2.150,-1.677957,-2.089478
1bcu,1bcu_495,1.780,-2.626670,-3.066984
1bcu,1bcu_564,6.110,-5.366168,-4.245626
1bcu,1bcu_585,5.890,-5.544618,-3.818534
1bcu,1bcu_591,4.490,-4.650426,-3.345844
1bcu,1bcu_595,3.320,-3.489125,-2.447967
1bcu,1bcu_608,6.860,-5.947837,-4.844795
1bcu,1bcu_617,2.900,-2.330435,-1.714779
1bcu,1bcu_634,2.550,-2.027158,-1.962790
1bcu,1bcu_653,3.250,-2.737228,-0.936123
1bcu,1bcu_661,2.080,-1.881822,-1.820707
1bcu,1bcu_684,0.920,-0.950306,-2.750525
1bcu,1bcu_695,3.450,-2.078424,-2.481881
1bcu,1bcu_701,1.860,-1.484249,-1.782141
1bcu,1bcu_703,0.610,-1.401986,-1.304802
1bcu,1bcu_708,8.320,-6.962234,-3.177391
1bcu,1bcu_712,8.210,-6.752649,-3.782028
1bcu,1bcu_715,6.420,-5.793465,-3.563242
1bcu,1bcu_717,7.050,-5.551916,-4.650067
1bcu,1bcu_718,9.180,-7.075663,-4.390118
1bcu,1bcu_720,4.760,-3.780190,-2.466078
1bcu,1bcu_725,6.310,-4.894406,-4.095459
1bcu,1bcu_729,5.070,-4.958127,-3.602259
1bcu,1bcu_738,6.500,-6.248821,-3.845444
1bcu,1bcu_741,8.390,-7.194801,-4.245261
1bcu,1bcu_742,7.620,-6.921525,-4.555830
1bcu,1bcu_745,7.580,-6.274974,-4.109790
1bcu,1bcu_749,7.820,-7.344131,-2.988251
1bcu,1bcu_752,6.430,-5.837796,-4.220887
1bcu,1bcu_753,9.220,-7.869390,-4.688957
1bcu,1bcu_754,8.100,-6.350833,-4.557845
1bcu,1bcu_756,6.010,-5.085632,-3.970718
1bcu,1bcu_758,8.420,-7.406876,-5.041089
1bcu,1bcu_761,8.500,-7.070154,-5.011264
1bcu,1bcu_764,8.800,-6.875695,-4.945811
1bcu,1bcu_765,9.970,-7.899055,-3.358513
1bcu,1bcu_772,7.130,-6.742132,-3.580288
1bcu,1bcu_773,9.200,-7.504542,-4.927542
1bcu,1bcu_777,9.120,-7.306056,-3.868543
1bcu,1bcu_778,9.890,-8.262549,-4.856275
1bcu,1bcu_782,9.550,-7.764290,-4.368160
1bcu,1bcu_788,9.650,-7.758162,-4.151771
1bcu,1bcu_790,9.390,-8.123215,-4.890639
1bcu,1bcu_803,2.070,-1.645696,-2.734199
1bcu,1bcu_806,0.710,-1.040999,-1.983109
1bcu,1bcu_813,7.670,-6.880700,-3.683277
1bcu,1bcu_825,1.240,-1.586291,-1.698630
1bcu,1bcu_828,3.520,-3.149672,-2.731359
1bcu,1bcu_829,3.820,-3.429648,-2.694748
1bcu,1bcu_843,6.520,-7.000143,-3.746796
1bcu,1bcu_850,7.670,-6.133280,-4.802442
1bcu,1bcu_852,2.220,-1.416784,-1.879637
1bcu,1bcu_855,6.790,-5.674893,-6.903255
1bcu,1bcu_862,9.040,-7.682639,-5.130984
1bcu,1bcu_869,4.130,-3.180911,-3.056052
1bcu,1bcu_878,5.730,-5.494527,-3.639132
1bcu,1bcu_881,7.740,-6.963519,-4.028213
1bcu,1bcu_885,5.100,-5.553117,-3.358957
1bcu,1bcu_886,5.710,-5.172930,-3.437254
1bcu,1bcu_887,4.260,-4.171834,-3.737125
1bcu,1bcu_888,5.260,-4.421456,-2.484927
1bcu,1bcu_890,4.300,-4.092501,-2.299633
1bcu,1bcu_893,8.620,-7.627026,-4.027421
1bcu,1bcu_898,5.450,-3.662123,-2.937315
1bcu,1bcu_903,1.580,-1.770577,-2.029551
1bcu,1bcu_915,7.970,-6.033973,-3.261903
