pdbid,pose,rmsd,head,pll
1a30,1a30_128,7.020,-5.379231,nan
1a30,1a30_130,2.090,-1.215189,nan
1a30,1a30_139,3.030,-2.172032,nan
1a30,1a30_140,2.700,-1.656851,nan
1a30,1a30_144,2.910,-1.332933,nan
1a30,1a30_167,5.280,-2.924141,nan
1a30,1a30_170,2.970,-1.925878,nan
1a30,1a30_186,4.120,-3.163528,nan
1a30,1a30_187,5.140,-5.296290,nan
1a30,1a30_22,3.870,-1.127666,nan
1a30,1a30_221,4.590,-1.653533,nan
1a30,1a30_222,4.470,-1.465823,nan
1a30,1a30_267,3.760,-2.917501,nan
1a30,1a30_270,8.260,-8.404513,nan
1a30,1a30_284,3.700,-1.592947,nan
1a30,1a30_296,4.510,-2.752505,nan
1a30,1a30_314,4.030,-3.096604,nan
1a30,1a30_319,5.030,-2.370694,nan
1a30,1a30_336,3.000,-1.483848,nan
1a30,1a30_348,2.090,-1.458223,nan
1a30,1a30_35,3.570,-1.477499,nan
1a30,1a30_353,3.150,-1.564662,nan
1a30,1a30_388,4.550,-3.750543,nan
1a30,1a30_407,6.420,-4.638962,nan
1a30,1a30_418,6.020,-4.277658,nan
1a30,1a30_450,6.070,-4.507114,nan
1a30,1a30_452,2.740,-2.280993,nan
1a30,1a30_490,1.790,-1.386126,nan
1a30,1a30_498,4.520,-3.290428,nan
1a30,1a30_538,4.190,-2.784558,nan
1a30,1a30_559,6.230,-5.061440,nan
1a30,1a30_569,5.070,-3.063355,nan
1a30,1a30_577,6.780,-8.338125,nan
1a30,1a30_6,9.650,-8.540179,nan
1a30,1a30_653,5.800,-4.881904,nan
1a30,1a30_664,5.140,-5.895279,nan
1a30,1a30_667,3.510,-2.031359,nan
1a30,1a30_670,5.530,-3.389506,nan
1a30,1a30_671,2.010,-2.445504,nan
1a30,1a30_704,1.900,-1.361679,nan
1a30,1a30_705,1.790,-1.210078,nan
1a30,1a30_706,1.810,-1.206396,nan
1a30,1a30_709,1.910,-1.365679,nan
1a30,1a30_712,1.930,-1.340183,nan
1a30,1a30_718,1.950,-1.417554,nan
1a30,1a30_731,1.840,-1.485587,nan
1a30,1a30_733,9.150,-8.563958,nan
1a30,1a30_736,9.000,-8.550870,nan
1a30,1a30_743,1.880,-1.541921,nan
1a30,1a30_744,9.050,-8.527517,nan
1a30,1a30_747,8.770,-7.807972,nan
1a30,1a30_75,8.070,-8.223657,nan
1a30,1a30_754,8.760,-8.544647,nan
1a30,1a30_759,4.150,-2.556482,nan
1a30,1a30_797,2.820,-2.472964,nan
1a30,1a30_828,3.530,-2.816099,nan
1a30,1a30_86,2.290,-1.507755,nan
