pdbid,pose,native_score
1a30,1a30_128,17.73436994976312
1a30,1a30_130,49.73596685132666
1a30,1a30_139,39.63921615797226
1a30,1a30_140,41.81888733734723
1a30,1a30_144,40.77195731629279
1a30,1a30_167,34.20616547521987
1a30,1a30_170,33.59966096243951
1a30,1a30_186,23.71923218258813
1a30,1a30_187,26.816762168468305
1a30,1a30_22,21.087777680044432
1a30,1a30_221,30.92493710767926
1a30,1a30_222,18.26947809477688
1a30,1a30_267,25.74321584606608
1a30,1a30_270,18.334201311888663
1a30,1a30_284,19.02087495873885
1a30,1a30_296,10.198776966780956
1a30,1a30_314,43.08559916834435
1a30,1a30_319,35.025863450668766
1a30,1a30_336,33.98982990655997
1a30,1a30_348,43.10698378960914
1a30,1a30_35,27.824625075814385
1a30,1a30_353,31.96573179709332
1a30,1a30_388,27.45715680936707
1a30,1a30_407,18.468245857298385
1a30,1a30_418,22.63945392190738
1a30,1a30_450,24.482852434974216
1a30,1a30_452,30.857869742270573
1a30,1a30_490,31.95881190484292
1a30,1a30_498,14.872846095944707
1a30,1a30_538,25.61658072663685
1a30,1a30_559,18.299662432911447
1a30,1a30_569,15.09459029995551
1a30,1a30_577,7.893708713450944
1a30,1a30_6,22.9582206252064
1a30,1a30_653,15.660621693718696
1a30,1a30_664,13.868248072487896
1a30,1a30_667,13.53644543090392
1a30,1a30_670,22.61162723856925
1a30,1a30_671,32.24624090707098
1a30,1a30_704,38.41712141132598
1a30,1a30_705,40.18593811866216
1a30,1a30_706,39.79607776817736
1a30,1a30_709,38.25129249980876
1a30,1a30_712,38.01146930738968
1a30,1a30_718,37.87920803174429
1a30,1a30_731,40.55283612367843
1a30,1a30_733,16.50781719460086
1a30,1a30_736,18.017209575245086
1a30,1a30_743,38.2712727924656
1a30,1a30_744,17.57548778407898
1a30,1a30_747,27.79241984820197
1a30,1a30_75,21.00568801817873
1a30,1a30_754,17.369922987337233
1a30,1a30_759,24.88851488468261
1a30,1a30_797,44.42629895663089
1a30,1a30_828,32.10580535278155
1a30,1a30_86,44.06802847349121
1a30,1a30_868,19.89316051424975
1a30,1a30_87,23.349089889270854
1a30,1a30_883,17.16379496399525
1a30,1a30_899,18.06392295907934
1a30,1a30_90,24.384160991140803
1a30,1a30_920,26.845352771103524
1a30,1a30_935,23.4727259642086
1a30,1a30_938,23.095999682934185
1a30,1a30_940,32.050081711131874
1a30,1a30_942,19.569026295663544
1a30,1a30_944,22.258751764495
1a30,1a30_955,22.655819436341744
1a30,1a30_972,21.97737956107561
1a30,1a30_985,18.79719071238135
1a30,1a30_992,20.530292707111045
1a30,1a30_997,20.45556976864996
1a30,1a30_999,26.20027748909112
1bcu,1bcu_11,54.63494602836828
1bcu,1bcu_220,41.11306360945608
1bcu,1bcu_270,26.72488533555858
1bcu,1bcu_309,55.97291223141796
1bcu,1bcu_33,47.51679784058041
1bcu,1bcu_334,56.850351877256784
1bcu,1bcu_362,51.1017319240116
1bcu,1bcu_397,39.45760651488514
1bcu,1bcu_406,40.82732159020639
1bcu,1bcu_424,33.40227175576312
1bcu,1bcu_442,30.71680373081418
1bcu,1bcu_451,26.691632608510865
1bcu,1bcu_454,32.20766228568292
1bcu,1bcu_462,21.381478324331088
1bcu,1bcu_469,36.95910924517492
1bcu,1bcu_473,37.77765729301025
1bcu,1bcu_479,24.88734613790171
1bcu,1bcu_483,23.8189494146368
1bcu,1bcu_495,25.15655954643728
1bcu,1bcu_564,3.8307497717315937
1bcu,1bcu_585,5.804334719119959
1bcu,1bcu_591,11.618067176265228
1bcu,1bcu_595,15.99574661916387
1bcu,1bcu_608,5.399401724402577
1bcu,1bcu_617,21.7109299443721
1bcu,1bcu_634,24.581797660314475
1bcu,1bcu_653,25.57402995885451
1bcu,1bcu_661,36.46599389588481
1bcu,1bcu_684,37.80112931559607
1bcu,1bcu_695,18.000447997166376
1bcu,1bcu_701,25.349067754900275
1bcu,1bcu_703,53.25844818836877
1bcu,1bcu_708,6.07547941127929
1bcu,1bcu_712,4.503902365451999
1bcu,1bcu_715,11.94085374498905
1bcu,1bcu_717,1.9880735998037395
1bcu,1bcu_718,1.9621357698913504
1bcu,1bcu_720,14.141305484356076
1bcu,1bcu_725,1.460381344537505
1bcu,1bcu_729,9.11870764746246
1bcu,1bcu_738,9.484987855116268
1bcu,1bcu_741,2.8503388266438856
1bcu,1bcu_742,2.386169307695181
1bcu,1bcu_745,2.6360322226833266
1bcu,1bcu_749,9.977723332316492
1bcu,1bcu_752,3.554538995604654
1bcu,1bcu_753,2.945650905326418
1bcu,1bcu_754,1.9650012253856248
1bcu,1bcu_756,6.251068950161173
1bcu,1bcu_758,2.649052301893154
1bcu,1bcu_761,0.413805780856564
1bcu,1bcu_764,2.430186928998771
1bcu,1bcu_765,4.1577538720290965
1bcu,1bcu_772,7.00609109005254
1bcu,1bcu_773,2.3714348453701795
1bcu,1bcu_777,2.310306781754586
1bcu,1bcu_778,2.293216179771184
1bcu,1bcu_782,2.025795812680573
1bcu,1bcu_788,1.4303847145520856
1bcu,1bcu_790,0.8333701866807834
1bcu,1bcu_803,24.44600886308893
1bcu,1bcu_806,37.349661697404045
1bcu,1bcu_813,5.7318749923693
1bcu,1bcu_825,36.96080114183176
1bcu,1bcu_828,16.18104711217919
1bcu,1bcu_829,15.16109855882964
1bcu,1bcu_843,8.002718362095917
1bcu,1bcu_850,2.567528462079208
1bcu,1bcu_852,23.39344939053949
1bcu,1bcu_855,2.2941723646438694
1bcu,1bcu_862,0.2024320671825692
1bcu,1bcu_869,15.341779204600678
1bcu,1bcu_878,11.154100015462078
1bcu,1bcu_881,7.394171476769674
1bcu,1bcu_885,4.974016102308985
1bcu,1bcu_886,3.358797072915437
1bcu,1bcu_887,5.781000992600526
1bcu,1bcu_888,3.896288257121714
1bcu,1bcu_890,14.010801707086326
1bcu,1bcu_893,7.581218336576554
1bcu,1bcu_898,2.7882497389134544
1bcu,1bcu_903,38.04083229511259
1bcu,1bcu_915,4.08934068916303
1bcu,1bcu_919,15.464135527983249
1bcu,1bcu_920,12.26832717121938
1bcu,1bcu_923,40.15375668333402
1bcu,1bcu_931,4.966317378319863
1bcu,1bcu_933,8.706258699029375
1bcu,1bcu_939,4.660344383334377
1bcu,1bcu_949,6.878983732600802
1bcu,1bcu_967,15.557271273341804
1bcu,1bcu_971,4.674584186400248
1bcu,1bcu_977,15.677396940827132
1bcu,1bcu_980,7.326950026812241
1bcu,1bcu_981,12.45446048737528
1bcu,1bcu_983,6.863662219940244
1bcu,1bcu_984,1.813200864447322
1bcu,1bcu_989,5.833539915806851
1bcu,1bcu_991,5.587230001635525
1bcu,1bcu_996,19.19891066311157
1bzc,1bzc_101,50.74664629260819
1bzc,1bzc_111,51.94153025921994
1bzc,1bzc_142,68.65189335962906
1bzc,1bzc_190,64.9562701576642
1bzc,1bzc_217,66.59447467568204
1bzc,1bzc_223,70.20248583961386
1bzc,1bzc_225,60.16794539992597
1bzc,1bzc_260,61.32487426152506
1bzc,1bzc_265,62.25428387726468
1bzc,1bzc_300,62.174771439490506
1bzc,1bzc_323,65.37839063908066
1bzc,1bzc_375,62.97379314008781
1bzc,1bzc_409,17.50677683894016
1bzc,1bzc_412,23.67595650984877
1bzc,1bzc_414,24.414304770361923
1bzc,1bzc_427,19.36434221491508
1bzc,1bzc_43,63.74388412399853
1bzc,1bzc_439,24.46424922910972
1bzc,1bzc_440,27.70651270480967
