pdbid,pose,rmsd,head
1c5z,1c5z_753,5.800,1.0830
1c5z,1c5z_754,6.020,1.7780
1c5z,1c5z_759,4.750,2.6690
1c5z,1c5z_761,6.740,-0.6070
1c5z,1c5z_763,6.840,-0.1450
1c5z,1c5z_765,7.860,2.0510
1c5z,1c5z_766,7.590,2.1220
1c5z,1c5z_776,2.190,1.0740
1c5z,1c5z_781,5.450,3.4330
1c5z,1c5z_790,4.780,3.1380
1c5z,1c5z_8,0.450,5.4760
1c5z,1c5z_804,4.110,2.2480
1c5z,1c5z_805,3.170,1.1190
1c5z,1c5z_811,3.920,1.4560
1c5z,1c5z_826,5.000,2.3070
1c5z,1c5z_828,5.040,2.3550
1c5z,1c5z_829,7.080,2.0800
1c5z,1c5z_836,7.000,1.8840
1c5z,1c5z_839,2.990,3.1220
1c5z,1c5z_840,6.700,2.6590
1c5z,1c5z_844,4.800,3.2330
1c5z,1c5z_862,5.830,1.8420
1c5z,1c5z_892,4.770,1.4090
1c5z,1c5z_898,5.200,2.6840
1c5z,1c5z_536,7.120,2.0620
1c5z,1c5z_537,2.810,3.5130
1c5z,1c5z_542,5.430,3.0380
1c5z,1c5z_544,5.280,2.4970
1c5z,1c5z_546,3.740,3.0900
1c5z,1c5z_556,3.940,-2.0350
1c5z,1c5z_558,3.630,2.8610
1c5z,1c5z_563,3.980,0.8640
1c5z,1c5z_715,5.330,2.6610
1c5z,1c5z_722,6.900,1.5900
1c5z,1c5z_733,7.080,1.5640
1c5z,1c5z_734,3.500,2.6630
1c5z,1c5z_738,6.400,2.0210
1c5z,1c5z_739,7.050,1.5860
1c5z,1c5z_741,5.850,1.6250
1c5z,1c5z_743,7.120,2.1560
1c5z,1c5z_613,2.120,-5.9370
1c5z,1c5z_627,0.960,1.9730
1c5z,1c5z_642,1.330,0.7680
1c5z,1c5z_661,2.510,-0.5890
1c5z,1c5z_665,1.460,0.0520
1c5z,1c5z_698,2.040,-0.1870
1c5z,1c5z_700,1.460,-2.4420
1c5z,1c5z_711,4.440,1.8740
1c5z,1c5z_564,3.160,0.2990
1c5z,1c5z_577,1.710,0.7300
1c5z,1c5z_583,6.860,1.2820
