model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
diffsbdd,ABL2_HUMAN_274_551_0,99,1.0,1.0,0.5856797754467685,4.701441452358169,1.806431414141415,0.98989898989899,0.9090909090909091,0.9696969696969697,-6.486,-6.559141414141413,-7.164,-7.346191919191919,-8.05,-8.068383838383836,0.5151515151515151,0.1717171717171717,0.8888888888888888,387.92638810813514,0.10166001775191057,99,1.0,0.9077423932522974,0.9595959595959596,,-8.209,-8.216,-8.614,0.08080808080808081,0.08080808080808081
diffsbdd,ACE_HUMAN_650_1230_0,98,1.0,1.0,0.48158970327202455,4.664971665328258,0.11826326530612297,0.9591836734693877,0.826530612244898,0.9591836734693877,-5.1594999999999995,-4.721071428571428,-6.1370000000000005,-6.1420816326530625,-7.2485,-7.157826530612245,0.5612244897959183,0.42857142857142855,0.8061224489795918,375.0067518193853,0.09775337221517676,98,1.0,0.9034351107504864,0.826530612244898,,-4.487,-4.446,-4.68,0.24489795918367346,0.20408163265306123
diffsbdd,AK1BA_HUMAN_1_316_0,98,1.0,1.0,0.5531268736139028,4.269039713465373,1.9267505102040825,0.9795918367346939,0.9489795918367347,0.9591836734693877,,,,,,,0.5714285714285714,0.3979591836734694,0.8367346938775511,327.74454700210504,0.09999364232064996,98,1.0,0.903103025179527,0.8469387755102041,,,,,0.0,0.0
diffsbdd,AKT1_HUMAN_1_137_0,99,1.0,1.0,0.39780240329129235,4.873376668207053,2.211733333333335,0.8888888888888888,0.6363636363636364,0.9696969696969697,-7.842,-7.58869696969697,-8.476,-8.28550505050505,-9.602,-9.494969696969696,0.43434343434343436,0.18181818181818182,0.9292929292929293,436.1998867560127,0.08649177378571796,99,1.0,0.9058414588485094,0.9393939393939394,,-14.151,-14.334,-15.144,0.0,0.0
diffsbdd,AROE_THET8_1_263_0,99,1.0,1.0,0.4116447754510552,4.92709215666948,-0.4389082828282822,0.9494949494949495,0.7171717171717171,0.9595959595959596,-2.84,3.6095151515151525,-5.348,-4.9439090909090915,-7.272,-7.1282020202020195,0.5252525252525253,3.525252525252525,0.4444444444444444,498.6285867439884,0.12611771610067318,99,1.0,0.8946449021849029,0.8585858585858586,,-5.533,-5.587,-6.263,0.1111111111111111,0.1111111111111111
diffsbdd,ATS5_HUMAN_262_480_0,98,1.0,1.0,0.4624419569516928,4.284310314626227,0.4341380612244902,0.9897959183673469,0.826530612244898,0.9795918367346939,-5.461,-4.958234693877551,-6.314500000000001,-6.174428571428572,-7.3185,-7.266438775510204,0.673469387755102,1.1020408163265305,0.41836734693877553,256.5735941726241,0.10848363615193551,98,1.0,0.9073526232895024,0.7216494845360825,,-7.591,-7.975,-8.684,0.02040816326530612,0.02040816326530612
diffsbdd,BACE2_HUMAN_76_460_0,97,1.0,1.0,0.39415576652418655,4.991791004928028,1.0104326804123729,0.8865979381443299,0.5979381443298969,0.9587628865979382,,,,,,,0.4742268041237113,0.16494845360824742,0.8969072164948454,547.5894371763512,0.08949874622838655,97,1.0,0.9000179703977135,0.8969072164948454,,,,,0.0,0.0
diffsbdd,BAPA_SPHXN_30_402_0,96,1.0,1.0,0.4976102569498415,4.50227306458711,0.7653732291666673,0.9895833333333334,0.8333333333333334,0.9791666666666666,,,,,,,0.6354166666666666,0.3854166666666667,0.84375,269.3171394752336,0.11289487834279781,96,1.0,0.9031541141286404,0.8315789473684211,,,,,0.0,0.0
diffsbdd,BAZ2A_HUMAN_1795_1898_0,100,1.0,1.0,0.5780539451831577,3.750010186033933,1.1438713000000003,1.0,0.99,0.97,-4.055,-3.2699090909090915,-4.901,-4.89929292929293,-5.779,-5.852373737373737,0.71,0.49,0.84,136.30581347927233,0.10256826652739875,100,1.0,0.9263066956046272,0.78,,-4.114,-4.138,-5.463,0.28,0.21
diffsbdd,BGAT_HUMAN_63_353_0,99,1.0,1.0,0.4961539983920643,3.821348078197791,0.05591777777777789,1.0,1.0,0.9595959595959596,,,,,,,0.7171717171717171,1.3737373737373737,0.8181818181818182,125.0740405038085,0.07921804885094086,99,1.0,0.9265470926669324,0.6464646464646465,,,,,0.0,0.0
diffsbdd,BGL07_ORYSJ_25_504_0,98,1.0,1.0,0.32115305684443235,4.988145001349573,0.5885311224489818,0.7755102040816326,0.47959183673469385,0.9795918367346939,-6.681,-5.981112244897959,-7.525,-7.415173469387754,-9.0335,-8.742887755102043,0.3877551020408163,0.45918367346938777,0.8571428571428571,566.9750380516462,0.0700112857785314,98,1.0,0.9018613069304234,0.826530612244898,,-10.768,-10.77,-10.805,0.01020408163265306,0.01020408163265306
